salary_max,salary_period,contract_type,published_at,name,education_level,updated_at,description,contract_duration_min,apply_url,experience_level,salary_min,remote,office.address,office.city,office.district,office.latitude,office.longitude,office.zip_code,profession.category.fr,organization.average_age,organization.creation_year,organization.default_language,organization.description,organization.industry
,none,FULL_TIME,2023-11-24T15:39:05.887634Z,Margo Analytics - Data Engineer - H/F,BAC_5,2023-11-24T15:39:05.900748Z,"Margo Analytics est l'entité experte  de Margo Group des problématiques  Data, Cloud et DevOps  créée en 2020 par leurs fondateurs Raphaël et Mounir. Aujourd’hui  60 consultants  ont intégré l'entité et nous avons commencé à travailler avec  18 nouveaux clients  (Banque, Industrie, Assurance, Énergie, E commerce, Santé). A leurs côtés, vous pourrez évoluer rapidement et développer de nouvelles compétences.  Deux ADN fondateurs forts  et spécifiques à Margo Analytics à l’origine de l’entité : -  Toujours se positionner sur  les plus beaux sujets  et sur les  missions à fortes valeurs ajoutées -  Recruter  des  consultants passionnés  et  curieux  qui cherchent à être  challengés  Aujourd’hui, Margo Analytics possède  4 communautés  de compétences :  - Data engineer   - Data Science/ IA  - Galaxy OPS (devOps, dataOps, cloudOps) - Architecte Big Data  Ainsi en rejoignant Margo Analytics vous aurez le choix des missions (#consultantfirst) sur lesquelles vous souhaitez travailler. Vous serez accompagné par les deux fondateurs ainsi que par le leader de votre communauté, dont les rôles sont de rechercher le projet qui correspondra le plus à vos attentes et de vous accompagner dans votre carrière. 🎯 Les missions Margo Analytics  :  Au sein de la communauté Data Engineer  vos missions   seront  :  -  Développer en mode agile  les cas d’usages métier  - Mettre en place des  processus de collecte, d’organisation, de stockage et de modélisation des données   - Développer des traitements de transformation et de production de données  - Assurer la  mise en production des modèles de prédiction  créés par les Data Scientists  - Participer à l’ amélioration continue  et au refactoring de code Besoin de projection ? Voici un exemple de mission :  Camille accompagne un grand compte dans le domaine de l’industrie sur son projet de mise en place d’un nouveau datalake en Azure databricks. L’objectif de cette mission est d’assurer la distribution de la donnée de manière optimisée pour créer une couche de distribution et permettre aux Data Scientists d’implémenter les use cases. Camille apporte son expertise sur les technologies suivantes : Spark, Scala, Azure, Databricks. Nos stack Technique :  - Langage : Python/Scala/Java - Framework : Spark/Hadoop  - Cloud: Azure/ AWS/ GCP  🙌 Les avantages :  - Tickets restaurants Swile  - Mutuelle Alan prise en charge à 100% - Pass Navigo pris en charge à 100% - Télétravail - Formations illimitées - Locaux en plein coeur de Paris - Places en crèches  🤝Notre processus de recrutement :   Notre processus de recrutement se fait en 3 étapes, réparties sur 7 à 15 jours maximum :  - Première rencontre !  Vous échangez avec un RH et un dirigeant sur votre parcours, vos aspirations professionnelles ainsi que sur Margo Analytics et les opportunités que nous proposons -   Challengez-vous  dans le cadre d’un entretien technique avec l’un de nos experts. C’est également l’occasion pour vous d’avoir son retour d’expérience - Dernier entretien de motivation  : pour finir, vous rencontrez un membre du board de Margo Analytics pour un entretien final  🔍 Vous êtes un(e) futur(e) Margo Analytics si :   Must-Have Vous êtes issu(e) d’une école d’ingénieur ou d’un cursus universitaire équivalent niveau  Bac + 5  / Master Vous aimez coder et vous êtes passionné(e) d’informatique et de Data Vous êtes curieux(se) et vous vous intéressez aux dernières technologies du marché Vous justifiez d’une première expérience en tant que Data Engineer Nice to Have Vous êtes ambitieux(se) et n’avez pas peur de travailler sur des projets challengeants dans des environnements à fortes contraintes techniques . Vous parlez et comprenez l’anglais.  ",,https://jobs.lever.co/margo-group/dfd990e5-a461-4b7a-8b81-74dfc1632ff8/apply?lever-origin=applied&lever-source=WTTJ,,,partial,"1, Rue de Saint-Pétersbourg, Paris",Paris,Paris,48.8797,2.32381,75008,Tech,30,2005,fr,"Plus qu’un simple groupe de conseil IT, MARGO est une alchimie de talents aux expertises constamment enrichies, à la dynamique toujours encouragée, à l’épanouissement toujours favorisé. Fidèles à notre esprit entrepreneurial, nous nous affranchissons des habitudes du secteur allant même jusqu’à casser les codes. Chez MARGO, nous savons que le dépassement de soi, ce n’est pas seulement franchir la haie du progrès, mais d’avoir toujours envie de la prochaine. En rejoignant MARGO, votre talent d’aujourd’hui restera d’actualité demain. Nous vous intégrons au groupe pas seulement pour ce que vous êtes aujourd’hui mais pour le potentiel que vous souhaitez développer. Chez MARGO, vous allez pouvoir construire votre propre parcours d’excellence au sein de nos équipes et de nos missions. Du sur-mesure au service de votre ambition et à la hauteur de votre talent.","Software, IT / Digital"
,none,INTERNSHIP,2023-12-19T14:02:47.012338Z,Stage - Data Analyst F/H,BAC_4,2023-12-19T14:02:47.012007Z,"Vos mission “Cette mission vous donnera l’opportunité de vous immerger dans les réseaux FTTx, au travers de projets très diversifiés et aux acteurs nombreux.” [Li Jiaqi, tuteur.] - Extraire des données requises à la production du livrable du système d’information - Analyser des données extraites pour identifier les problèmes d’incohérence ou decomplétude - Collaborer en transverse pour la résolution des problèmes identifiés - Valider des données dans le respect des processus pour garantir leur fiabilité - Produire et livrer des données dans le respect du modèle conceptuel en vigueur - Collaborer étroitement avec les membres de l’équipe projet",6,http://app.mytalentplug.com/redirection.aspx?ojid=Njf6yVm7Vj7T+Zi6nU0MxQ==,LESS_THAN_6_MONTHS,,no,,Lyon - 3ème Arrondissement,Rhône,45.7514,4.87592,69003,Tech,44,1994,fr,"Orange a besoin de vous pour conquérir de nouveaux territoires. Chez Orange, nous partons à la conquête de nouveaux territoires dans le big data, la cybersécurité, l’IA, la virtualisation des réseaux,  l’IoT, le Cloud, le développement, la 5G, et bien d’autres encore. Ces technologies et l’innovation vous passionnent ? Rejoignez nos équipes partout en France et à l’international. Il y a forcément un projet fait pour vous. ","Connected Objects, Big Data, Electronics / Telecommunications"
,none,INTERNSHIP,2023-12-19T13:41:13.692013Z,Data analyst et business analyst - Stage,BAC_5,2023-12-19T13:41:13.701908Z,"Véritable interface entre l’équipe technique et l’équipe Opérations, la mission du(de la) Data Analyst décline donc selon les axes suivants : S’assurer que nos données soient bien  à jour  , et les compléter si besoin
 Analyser les  données  de nos solutions
 Construire des  dashboards  et des visualisations de données pour les mettre à disposition des équipes 
 Identifier les  nouveaux besoins  d’analyse en collaboration avec l’équipe 
 Pousser la culture  data driven  au sein des équipes.
",6,,,,punctual,"16, Rue de Châteaudun, Paris",Paris,Paris,48.87602,2.33944,75009,Tech,30,2017,fr,"Lancée en 2017 par une infirmière, libheros est une startup en e-santé qui a pour objectif de coordonner la mobilisation de professionnels de santé, notamment infirmiers libéraux, partout en France et pour tous types de soins (soins à domicile, prévention en entreprise, programmes innovants en santé …). Pour cela, nous nous appuyons sur 3 piliers :  les outils digitaux développés en interne, 
 le réseau national de professionnel de santé (+20 000), 
 et notre équipe de coordinateurs de soins et de chefs de projets, ainsi que notre comité scientifique
 Notre mission : faciliter l’accès aux soins et à la santé partout et pour tous !","SaaS / Cloud Services, Health, Home Care Services, Corporate Support"
2000,monthly,INTERNSHIP,2023-12-19T11:00:56.681677Z,Data Analyst - Internship - Paris,BAC_4,2023-12-19T11:00:56.690318Z,"About Stockly Stockly is a retail-tech company that targets to solve the problem of out-of-stock products in e-commerce. With our technology, e-retailers can keep selling out-of-stock products, making other retailers ship them directly to consumers. Our product is live across Europe and convinces more clients every day. Our mission is to create the world first global inventory for retail. To better understand what we do, check out  our French pitch at BFMTV , or  our English pitch at Techstars . We are looking for a smart and talented Data Analyst Intern to join the BI team working closely with our CTO  Oscar , our Head of Network  Pierre , our Financial Officer  Etienne  and our Business Developers (e.g.  Matthieu  &  Yann) . The BI is currently composed of  Maria  and  Anouar . You can apply even if it is to start in 6 months! Position [This is not a Data “Scientist” position, there are no Machine Learning or Artificial Intelligence components for now] To tackle our cross team challenges, you are a candidate willing to actively participate to the company development. In our growing team, everyone is key including you as you will be working on the frontier of several domains: Develop and maintain SQL dashboards, to monitor data and analyse performance Extract and interpret data for business requirements Train colleagues on data extraction & interpretation Identify new features to make our product evolve according to usage and needs Everytime you will face recurring tasks or pain points, you will be in charge of finding and implementing solution to tackle this and help the company and team move to next stage. Challenges Tackling an international market in a fast growing startup, you’ll have three main challenges: •  Complexity : a lot can happen in an e-commerce transaction, specially when you connect multiple players. •  Performance : Stockly manages tens of millions of articles, that’s a hell of a lot of web requests per day. •  Scalability : Being focus on growth, we require that published code still work with ten times more volume. 💝 About your future benefits Competitive packages : for this position, package range is typically  1500-2000€  depending on the profile (e.g. basic knowledge to expert). We have a well defined and objective salary grid that is based on both  skills level  and  scarcity of profiles  💸 Meal vouchers  by Swile 🍽️ 50%  reimbursement of your  Navigo Pass  🚋 A central and amazing  working environment  in  le Sentier  (Paris) 💼 Flexible and  remote-friendly policy  🏡 Possibility to take a  few paid days-off  to be discussed with Team Leader 🏄 Stockly dinners  together every other Thursday 🍻 Stockly breakfasts together  every other Friday 🥐 Coffee, tea and fruits  available everyday 🍇 Climbing, football & more  teams 🧗 If your internship goes well for both you and Stockly, why not join us?  We are growing fast, there is space for every amazing people! ⚙️ About how we work Every team has a  daily meeting  to align on priorities and solve issues ⇒  You won’t be left alone! Every Monday we have a global  weekly meeting  where every team shares what they are working on and what they will do for the coming week ⇒  You will have visibility on the whole company! Every quarter we have our  OKR meeting  ( Objectives, Key Results)  where each team shows the results of the previous quarter and the objectives of the following one ⇒  You will see the company grow and your own role inside of it! During all these meetings  everyone can challenge  each other and all questions are more than welcome ⇒  Transparency is one of our key values, and we are always open to new ideas!",5,,,1500,punctual,"8, Rue du Sentier, Paris",Paris,Paris,48.86857,2.3457,75002,Tech,28,2018,fr,"🔭  Stockly  is a  tech-retail company  solving the supply/demand mismatch in e-commerce. With our technology,  we connect in real-time e-commerce websites  in need for stock  with the inventory of hundreds of other retailers  who have the same products available, and who can fulfill the order on their behalf. E-retailers can  sell products they don’t own , while others can gain additional sales, in a  seamless experience for the end-consumer . 🏆 Our mission is to create the  world’s 1st globally shared inventory  for retail. To better understand what we do, check out  our french pitch at BFMTV  (🇫🇷), or  our English pitch at Techstars  (🇬🇧). 🚀 We’ve already raised  $20M+  with European top-tier investors among which  Daphni ,  Eurazeo  and  Raise . Our  proprietary technology , coded in-house from scratch,  is already live across Europe with 450+ e-retailers , we  grow x4 each year  and won’t stop there.","Software, E-commerce"
,none,INTERNSHIP,2023-12-19T10:31:50.713030Z,Intern - Sales Operations and Data Analyst,,2023-12-19T10:37:19.080261Z,"Mission You will be part of the Operations team whose objective is to ensure the proper structuring of the company’s growth. You will be managed by the  Sales Operations Manager. As a Sales Operations Intern within our dynamic Operations department, you will be playing a pivotal role in enhancing GitGuardian’s CRM/sales automation systems and conducting insightful data analyses on a variety of sales and strategic topics. Support in refining sales processes and workflows to bolster efficiency and effectiveness. Conduct detailed data analysis on sales metrics to spot trends, predict sales outcomes, and assess performance. Manage and maintain the integrity and accuracy of CRM system data. Work on improving CRM automations, document these improvements, and effectively communicate changes to their beneficiaries. Develop sales reports and dashboards for real-time performance tracking. Collaborate closely with the Sales team to design and implement process improvements grounded in data-driven insights. Engage in cross-functional projects to help achieve sales objectives and broader company goals. What you will learn? Acquire practical experience in sales operations within a fast-paced tech environment. Develop robust analytical skills through hands-on data analysis and problem-solving. Gain a comprehensive understanding of CRM systems and their pivotal role in sales management. Enhance communication and teamwork abilities by interacting with diverse groups. Expand knowledge in cybersecurity. Benefits 💰 Attractive compensation 🏡 Remote-friendly environment: up to 3 days/week 🍜 Lunch voucher (Swile) 👥 Lots of team-building activities including 1 per month for the whole company 🐕 Pet-friendly offices, every Guardian gets to bring their dog from time to time 👊 Working on a meaningful product, we already helped more than 400k developers around the world! 🤝 Direct, hands-on experience in a rapidly growing tech company. 🌎 A vibrant, international work culture with a team of industry experts. 🚀 Many opportunities for professional advancement and skill development",6,https://careers.gitguardian.com/jobs/3461341-intern-sales-operations-and-data-analyst/applications/new?promotion=860935-welcome-to-the-jungle,,,partial,"35, Rue du Louvre, Paris",Paris,Paris,48.8664,2.34351,75002,Support,33,2017,en,"GitGuardian is a global post-series B cybersecurity startup; we’ve raised $44M by the end of 2021 with American and European investors including top-tier VC firms. More than ever in 2023, we have a very solid business model with a fast-growing ARR, multi-year contracts and great customer retention rates.  Among our early investors who saw our market value proposition, are the co-founder of GitHub, Scott Chacon, along with Docker co-founder / CTO Solomon Hykes 👀 We develop code security solutions for the DevOps generation and are a leader in the market of secrets detection & remediation.  Our solutions are already used by hundreds of thousands of developers in all industries and GitGuardian Internal monitoring is the n°1 security app on the GitHub marketplace 🔥 We work with some of the largest IT outsourcing companies, publicly listed companies like Talend or tech companies like Datadog.  More than 85% of our customers are in the United States.","IT / Digital, SaaS / Cloud Services, Cyber Security"
,none,INTERNSHIP,2023-12-19T10:34:56.955436Z,Stagiaire Data Analyst (H/F) en Stage,,2023-12-19T10:34:56.974415Z,"Dans le cadre de sa campagne de stage AXA recrute un Stagiaire Data Analyst (H/F) en Stage. Dans la direction d’AXA Santé & collectives, vous rejoindrez l’équipe inforce Santé chargée de la lutte contre la fraude et des services clients en Santé. Vous travaillerez aussi pour notre société Sigmage qui gère les remboursements santé et prévoyance pour des contrats d’assurances collectives. Sigmage est une société détenue à 100% par le groupe AXA. Elle bénéficie à ce titre de l’expertise du groupe sur la lutte contre la fraude, la sécurité physique et numérique, la protection des données personnelles et l’expertise métier et IT.  - Lutte contre la fraude et orientation ItelisDans le cadre de la détection de fraudes en santé :  - En lien avec les investigateurs de l’équipe Inforce santé, analyser les données et identifier les comportements atypiques susceptibles d'indiquer des cas de fraude. - Être force de proposition sur les données à utiliser et sur les atypismes à détecter - Simplifier les processus manuels complexes et de créer des solutions automatisées pour des résultats plus rapides et plus précis. - Travailler de façon itérative en mode test&learn - Mesurer via un reporting les gains réalisés grâce à ces détections - Présenter ses résultats dans les powerBI  - Contribuer à la maîtrise des données :En lien avec le responsable de la gouvernance des données de santé, aider à consolider les connaissances et la fiabilité des données et à les diffuser auprès de tous les différents acteurs participants au projet afin de leur permettre de tirer le meilleur parti du Datalake Santé.  - Déployer la culture des données auprès de tous les acteurs (développeurs, data scientists) et garantir le bon usage des données non seulement en termes de pertinence, mais également en termes de sécurité - Documenter les travaux réalisés - Faciliter la transmission des travaux de data science aux équipes internes et à Itelis  - Sigmage Permettre à Sigmage, grâce à la data, d’automatiser ses process, et d’améliorer son pilotage grâce à la mise en place d’outils pour automatiser différents process : - Contrôles - appels de cotisation - suivi encaissement - suivi activité - sortie de statistiques de consommation médicale",,https://recrutement.axa.fr/nos-offres-emploi/23102494?src=JB-BB-12100&at_medium=affiliate&at_type=partner&at_identifier=welcometothejungle&at_campaign=5,,,partial,313 Terrasses de l'Arche ,Nanterre,Hauts-de-Seine,48.8965814,2.2237665,92727,Tech,41,1985,fr,"Avec 6 000 recrutements par an en France rejoignez AXA, un leader mondial de l’assurance et de la gestion d’actifs. Ils accompagnent plus de 93 millions de clients qui leurs font confiance pour leurs biens, leur famille, leurs collaborateurs, leur patrimoine ou les actifs de leur entreprise. Chaque jour, ils agissent ensemble pour vous protéger en donnant à chacun les moyens de vivre une vie meilleure.  Un challenge qui donne le sourire !","Banking, Insurance, FinTech / InsurTech"
,none,FULL_TIME,2023-12-19T10:38:57.473651Z,Data Privacy Analyst F/H,,2023-12-19T10:38:57.491705Z,"Data Privacy Specialist F/H Paris, France Le contexte de création du poste :  Le  Chief Data Protection Officer (CDPO) est chargé de mettre en place la stratégie de protection des données de la division AXA XL et de diriger l'équipe de protection de la vie privée de la deuxième ligne de défense afin d'assurer une conformité continue aux exigences réglementaires et de protection des données du groupe AXA. Le Data Privacy Specialist jouera un rôle clé dans le soutien à la division AXA XL pour répondre à ses obligations en matière de lois sur la protection des données et pour garantir une utilisation responsable de l'IA au sein de la division AXA XL. Qui reportera directement au Divisional Chief Data Privacy Officer (CDPO), le Data Privacy Spécialist sera lui en charge de la protection des données, soutiendront les questions de conformité en matière de protection des données et d'IA et assistera le CDPO. DÉCOUVREZ votre opportunité Quelles seront vos responsabilités essentielles ? • Participer à la protection continue de l'utilisation des systèmes d'IA au sein de la division : • Effectuer l'examen des systèmes d'IA conformément aux orientations existantes en collaboration avec l'équipe de la direction des données (CDO) et les activités commerciales, et en collaboration avec d'autres membres de l'équipe de protection des données, • Participer à l'examen et à la mise à jour du cadre d'évaluation des risques liés à l'IA, suivre la réglementation et les orientations • Participer aux projets de conformité pour répondre aux exigences réglementaires en matière de protection des données en collaboration, lorsque cela est nécessaire, avec la première ligne de défense et l'équipe de protection des données • Adapter, lorsque cela est nécessaire, les orientations et les instructions pour se conformer aux nouvelles exigences en matière de protection des données en évolution, coordonner et diriger des formations • Réalisation d'évaluations de l'impact sur les transferts et d'évaluations de l'impact sur la protection des données sur les projets et les outils. • Réalisation de contrôles de la deuxième ligne de défense lorsque cela est nécessaire, soutien de l'équipe de protection des données dans l'exécution de ces contrôles lorsque cela est nécessaire, formation des nouveaux membres de l'équipe • Examen de l'adéquation des contrats de service ou d'entreprise dans le cadre desquels des activités de traitement de données personnelles sont effectuées. • Mise à jour du registre des activités de traitement avec l'activité commerciale • Assister le CDPO dans : • Coordination de la collecte d'informations auprès des membres de l'équipe de protection des données, remise en question des informations reçues, préparation de présentations pour le CDPO, prise de notes lors des réunions, examen des mises à jour de l'équipe de protection des données pour suivre le processus, et autres tâches d'organisation • Suivi du travail des DPO locaux et juridiques, notamment dans la région APAC, • Travailler avec l'assistant exécutif du RPD sur l'agenda des livrables de l'équipe de protection des données, mettre à jour les politiques de protection des données annuelles pour les entreprises juridiques, Vous rendrez compte au CDPO.",,https://recrutement.axa.fr/nos-offres-emploi/230009PC?src=JB-BB-12100&at_medium=affiliate&at_type=partner&at_identifier=welcometothejungle&at_campaign=5,2_TO_3_YEARS,,partial,RUE DE LA VICTOIRE ,Paris,Paris,48.87513,2.33789,75009,Support,41,1985,fr,"Avec 6 000 recrutements par an en France rejoignez AXA, un leader mondial de l’assurance et de la gestion d’actifs. Ils accompagnent plus de 93 millions de clients qui leurs font confiance pour leurs biens, leur famille, leurs collaborateurs, leur patrimoine ou les actifs de leur entreprise. Chaque jour, ils agissent ensemble pour vous protéger en donnant à chacun les moyens de vivre une vie meilleure.  Un challenge qui donne le sourire !","Banking, Insurance, FinTech / InsurTech"
,none,FULL_TIME,2023-12-19T10:37:34.871011Z,Investment & Finance Data Analyst,,2023-12-19T10:37:34.880402Z,"AXA IM est un gestionnaire d'actifs international faisant partie du groupe AXA, leader mondial de l’assurance. Notre équipe comprend de nombreuses compétences et expériences pour mieux répondre aux besoins de nos clients. Le titulaire du poste est membre de l'équipe Analytics Integrity, qui fait partie du département Data & Analytics Management, le centre d'expertise interne en matière d'administration, de qualité et de gouvernance des données et des analyses. DECOUVREZ votre opportunité L'équipe Analytics Integrity est principalement impliquée dans l'administration et la qualité des données et des analyses, au sein des systèmes les plus critiques d'AXA IM, en lien avec la décision d'investissement et la comptabilité des investissements (actif et passif). Le support du middle office étant externalisé à State Street, la maintenance de l’IBOR des SCD (Investment Book Of Records) ne fait pas partie de la mission de l’équipe.La collecte des flux entrants des agents de transfert est en partie externalisée à State Street. Ainsi l'équipe, ainsi que d'autres parties prenantes internes, sont responsables de la mise en place d'une solution pour les flux entrants restants. L'équipe se concentre principalement sur l'apport de solutions à haute valeur ajoutée aux utilisateurs finaux (principalement Front & Middle Office, Performance & Reporting, Finance & Control) grâce à l'amélioration continue des processus au sein de ces systèmes critiques, entre autres : mettre en œuvre des processus de contrôle pour répondre aux problèmes de qualité des données rencontrés par les utilisateurs finaux, effectuer le rapprochement des transactions/positions, être un contact clé pour l'équipe Technology et les parties prenantes internes et externes, garantir un BAU fluide et une gestion efficace des évolutions de projet et à petite échelle requises pour les systèmes couverts. Rôle et responsabilités: 1- Administration des bases de données, contrôle de la qualité des données et amélioration continue Maîtriser l'intégralité des flux de données (IN & OUT) autour des systèmes critiques dédiés à nos Actifs (SCD / DALI ASSET) et Passifs (ADJUTO) ; Veiller à ce que l'ensemble du flux de travail et tous les processus qui l'entourent répondent constamment aux exigences des utilisateurs finaux en termes de rapidité, d'actualisation, de cohérence et d'exactitude ; Être le contact clé de l'équipe AXA IM Finance & Control pour les cut-offs mensuels ; Surveiller de près les activités externalisées à AXA Global Business Services, ADJUTO et State Street DATA GX (contrôles, collecte de données d'agent de transfert, collecte manuelle de données, etc.) ; Créer/développer des outils et processus efficaces et industrialisés pour effectuer des rapprochements de masse (transaction/position et diverses données analytiques calculées associées) ; Gérer les demandes complexes des utilisateurs finaux impliquant une analyse approfondie ; Diriger les initiatives d'amélioration des processus lorsque nécessaire. 2- Coordination et gestion de projet Diriger et coordonner des évolutions et des projets à petite échelle autour des systèmes couverts ; Contribuer à la documentation des exigences commerciales/spécifications fonctionnelles, à la définition d'un modèle de données durable et des processus BAU, conformément à la politique de données d'entreprise d'AXA IM ; Surveiller les livraisons et les tests du projet à un niveau transversal, lorsque cela est nécessaire ; Être l'interlocuteur privilégié des équipes IT, Finance & Contrôle d'AXA IM, ainsi que des prestataires externes (AXA GBS, ADJUTO, State Street DATA GX, …) pour tous les sujets transversaux. 3- Gouvernance Mettre en place et animer une gouvernance opérationnelle avec les grands acteurs (AXA IM Finance & Control, Equipes IT, AXA GBS, ADJUTO, State Street DATA GX, …) pour suivre la qualité des données, le niveau de service, et soulever/discuter des problématiques transversales ; Contribuer à démocratiser les meilleures pratiques conformément à la politique de données de l'entreprise auprès des utilisateurs finaux ; Contribuer à la gouvernance des données d'AXA IM en alimentant de manière appropriée les comités de gouvernance internes, permettant une surveillance efficace des données et des analyses au sein de nos applications critiques. #LI-JB1",,https://recrutement.axa.fr/nos-offres-emploi/23000B3M?src=JB-BB-12100&at_medium=affiliate&at_type=partner&at_identifier=welcometothejungle&at_campaign=5,,,partial,VILLE DE PUTEAUX,Puteaux,Hauts-de-Seine,48.87725,2.24416,92400,Audit / Finance / Assurance,41,1985,fr,"Avec 6 000 recrutements par an en France rejoignez AXA, un leader mondial de l’assurance et de la gestion d’actifs. Ils accompagnent plus de 93 millions de clients qui leurs font confiance pour leurs biens, leur famille, leurs collaborateurs, leur patrimoine ou les actifs de leur entreprise. Chaque jour, ils agissent ensemble pour vous protéger en donnant à chacun les moyens de vivre une vie meilleure.  Un challenge qui donne le sourire !","Banking, Insurance, FinTech / InsurTech"
,none,FULL_TIME,2023-12-19T10:38:46.735385Z,Data Analyst (F/H),BAC_5,2023-12-19T10:38:46.752093Z,"Dans un contexte multi-sites avec plus de 4 millions d’appels et 2,5 millions de courriers/mails par an, l’Hypervision garantit et optimise l’efficacité du dispositif opérationnel.  Le pôle Operations Analytics, composée de data analysts et data scientists, a pour missions principales de prévoir le comportement de nos clients, le volume de leur demande et d’assurer que les équipes opérationnelles soient correctement dimensionnées pour y faire face. Cela concerne des activités de ventes, de service clients et de gestion des sinistres.   Rattaché(e) au responsable Operations analytics sinistres au sein de l'Hypervision, vous aurez à cœur de traiter les différentes données concernant les clients, les produits et les performances opérationnelles des centres d’appels afin de dégager des indicateurs aidant à la prise de décision. Le poste concerne principalement le suivi des activités Sinistres. Missions principales : Suivi opérationnel des centres d’appels Sinistres ·         Partager des analyses et synthèses quotidiennes, hebdomadaires et mensuelles avec les différents interlocuteurs des centres d'appels et les directeurs de Direct Assurance;  ·         Travailler en collaboration étroite avec les experts métier pour comprendre les problématiques opérationnelles et traduire les enjeux métier dans les prévisions de la demande client (appels, mails); ·         Créer, maintenir et améliorer des Dashboard  interactifs pour suivre la performance des Conseillers En Assurance (CEA) ; Modélisation & Prévisions ·         Prévoir le besoin client selon différents canaux de contact par des analyses de saisonnalité, de comportement client et des KPI de production des centres d'appels ; ·         Suivre les prévisions et proposer des ajustements aux sites en fonction du réalisé ·         Contribuer aux exercices budgétaires de l'entreprise en traduisant le besoin client en un besoin en recrutement de conseillers. Suivi du capacitaire des centres d’appels sinistres ·         Travailler avec les équipes pilotage des centres d’appels pour comprendre les évolutions des effectifs et de leur affectation, pour anticiper des recrutements ·         Proposer des évolutions de répartition Missions transverses : ·         Participer aux différents projets d’entreprise (ex. refonte SVI, migration sur le Cloud …) ; Documenter ses projets et appliquer les bonnes pratiques de programmation de l’équipe .",,https://recrutement.axa.fr/nos-offres-emploi/23000BF9?src=JB-BB-12100&at_medium=affiliate&at_type=partner&at_identifier=welcometothejungle&at_campaign=5,2_TO_3_YEARS,,partial,,Suresnes,Hauts-de-Seine,48.869798,2.219033,,Relation client,41,1985,fr,"Avec 6 000 recrutements par an en France rejoignez AXA, un leader mondial de l’assurance et de la gestion d’actifs. Ils accompagnent plus de 93 millions de clients qui leurs font confiance pour leurs biens, leur famille, leurs collaborateurs, leur patrimoine ou les actifs de leur entreprise. Chaque jour, ils agissent ensemble pour vous protéger en donnant à chacun les moyens de vivre une vie meilleure.  Un challenge qui donne le sourire !","Banking, Insurance, FinTech / InsurTech"
,none,INTERNSHIP,2023-12-19T10:38:33.102804Z,Data Analyst Transformation (H/F) en stage,,2023-12-19T10:38:33.111629Z,"Dans le cadre de sa campagne de stage AXA recrute un Data Analyste Transformation (H/F) en Stage. Au sein de l’équipe ""Transformation, Qualité et Conformité"" et dans le cadre de la sécurisation de nos activités de gestion avec une logique d'amélioration continue, le stagiaire effectuera les missions suivantes : - Analyser les données et fiabiliser les flux de données pour faciliter leur intégration dans notre systeme applicatif, - Identifier des pistes d'amélioration avec les acteurs et les contributeurs, - Définir le modèle opérationnel.",,https://recrutement.axa.fr/nos-offres-emploi/23102643?src=JB-BB-12100&at_medium=affiliate&at_type=partner&at_identifier=welcometothejungle&at_campaign=5,,,partial,313 Terrasses de l'Arche ,Nanterre,Hauts-de-Seine,48.8965814,2.2237665,92727,Tech,41,1985,fr,"Avec 6 000 recrutements par an en France rejoignez AXA, un leader mondial de l’assurance et de la gestion d’actifs. Ils accompagnent plus de 93 millions de clients qui leurs font confiance pour leurs biens, leur famille, leurs collaborateurs, leur patrimoine ou les actifs de leur entreprise. Chaque jour, ils agissent ensemble pour vous protéger en donnant à chacun les moyens de vivre une vie meilleure.  Un challenge qui donne le sourire !","Banking, Insurance, FinTech / InsurTech"
