intitule,description,date_publication,date_modif,contrat,competences,duree_travail,type_contrat,secteur_activite,agence,niveau_etudes,salaire,entreprise,description_entreprise,ville,code_postal
Data Analyst Assistant (H/F),"À propos d'Ubisoft 

Les équipes d'Ubisoft comptent 20 000¿personnes réparties sur plus de 30¿pays aux quatre coins du monde et sont liées par une mission commune¿: enrichir la vie des joueurs et des joueuses au moyen d'expériences de jeu originales et mémorables. Leur énergie et leur talent ont permis de donner vie à de nombreuses franchises acclamées telles que Assassin's Creed, Far Cry, Watch Dogs, Just Dance, Rainbow Six et bien d'autres à venir. Ubisoft est une entreprise soucieuse de l'égalité des chances et estime que la diversité des origines et des perspectives est essentielle pour créer des mondes qui permettent l'épanouissement et l'expression de tous-tes. Si vous êtes enthousiaste à l'idée de relever des défis passionnants, d'exploiter des technologies de pointe et de prendre part au futur du divertissement, rejoignez-nous pour créer l'inconnu.¿    

Ubisoft Bordeaux  

Fondé en septembre 2017, Ubisoft Bordeaux travaille avec passion sur les plus grands jeux AAAA afin de proposer les meilleures expériences de jeu. Aujourd'hui, le studio compte plus de 400 talents, issus de 15 nationalités différentes, qui travaillent sur des licences telles que Assassin's Creed, Beyond Good & Evil 2, ainsi que d'autres jeux free-to-play non-annoncés. Nous travaillons également sur des technologies passionnantes avec les équipes Anvil, Online services et avec La Forge qui cherche à valider la valeur des innovations technologiques. 

Contexte 

Le studio de Bordeaux recherche un(e) Data Analyst Assistant (F/H/NB) pour rejoindre l'équipe Online Services, une équipe transverse du groupe Ubisoft présente à l'international, qui développe des services mutualisés à destination des productions. Ces services sont utilisés par l'ensemble de nos jeux, qu'ils soient en phase de développement, ou live et accessibles aux joueurs. 



Job Description
Ubisoft Bordeaux est à la recherche d'un.e Data Analyst Assistant pour rejoindre notre équipe Online Services, en charge de la plateforme de services en ligne destinée à fournir des solutions permettant d'améliorer l'expérience connectée de nos joueurs à travers l'ensemble de nos jeux. 

Vos missions seront de : 

- Comprendre les questions et problématiques des équipes partenaires, définir les données à récupérer  

- Proposer des analyses pertinentes en collaboration avec les data analysts de votre équipe  

- Restituer ces analyses via des dashboards fiables et visuels (l'équipe utilise principalement Tableau) et/ou des présentations Power Point 

- Développer et maintenir des scripts ETL scalables et efficaces sur Hadoop  

- Automatiser les traitements et mettre en place un monitoring de qualité 



Qualifications
Profil 

- Etudiant.e en analyse de données, BI, informatique/statistique à la recherche d'une alternance d'un an. 

- Bonne maîtrise de SQL (requêtes complexes, créations de tables) 

- Bonnes connaissances d'un outil de Dashboarding (idéalement Tableau)  

- Connaissance d'au moins un langage de programmation (idéalement Python, PySpark) 

-  Bonne maîtrise de l'anglais - notre équipe est internationale 

 

Compétences bonus 

-  Bonnes connaissances dans le développement d'ETL dans un écosystème à forte volumétrie 

- Bonnes connaissances d'un outil de datawarehousing (idéalement Hive), Airflow et Git 

 

Soft skills : 

- Vous savez vous adapter et vous êtes curieux.se des divers projets  

- Vous avez de l'intérêt pour le secteur du jeu vidéo",2024-01-10 15:51:28+00:00,2024-01-10 15:51:30+00:00,CDD,"[{'code': '109527', 'libelle': 'Adapter les outils de traitement statistique de données', 'exigence': 'E'}, {'code': '109528', 'libelle': ""Rédiger l'information produite"", 'exigence': 'E'}, {'code': '109529', 'libelle': 'Présenter et diffuser les résultats des études réalisées', 'exigence': 'E'}, {'code': '109542', 'libelle': 'Réaliser une étude', 'exigence': 'E'}]",37H Travail en journée,Temps plein,"Post-production de films cinématographiques, de vidéo et de programmes de télévision",,,"Mensuel de 1400,00 Euros sur 12 mois",UBISOFT BORDEAUX,,33 - BORDEAUX,33000
Data Analyst (H/F),"Notre société :

Iris Galerie est une société internationale qui propose l'expérience unique de révéler la beauté des yeux grâce au procédé de macrophotographie.
Nous créons à partir de l'iris de nos clients une photographie d'art unique et originale disponible à travers un large panel de formats et finitions. 

Nous offrons une expérience artistique inoubliable et pleine de surprises, accessible au plus grand nombre.
Iris Galerie dispose d'un réseau de 120 galeries ouvertes en moins de 2 ans dans 17 pays et un projet d'ouvertures de plus de 100 galeries pour l'année 2024 en France et à l'international dans des villes à fort attrait culturel.

Iris Galerie poursuit son développement et recherche un Data Analyst H/F pour accompagner sa croissance.

Si vous souhaitez participer à une aventure entrepreneuriale originale et ambitieuse et devenir un des futurs ambassadeurs d'Iris Galerie, rejoignez-nous !

Votre mission:

Sous la responsabilité du Directeur du Système d'Information, vous prenez en charge la transformation des données brutes en informations utiles qui peuvent aider à la prise de décisions stratégiques au sein de l'entreprise.
Le Data Analyst utilise une variété d'outils pour collecter, nettoyer, analyser et visualiser des données afin de fournir des informations exploitables

Pour cela vos missions principales seront les suivantes :

- Recueil et extraction de sources de données qui seront ensuite traduites en statistiques;

- Analyse des données recueillies et leur tri en fonction de leur pertinence pour la problématique de l'entreprise;

- Gestion et le stockage des données grâce à la mise en place de solutions;

- Confection et maintenance d'un entrepôt de données (data warehouse) permettant de conserver et d'utiliser régulièrement les données;

- Synthétisation et diffusion des données afin de les rendre accessibles aux dirigeants de l'entreprise ainsi qu'aux autres services concernés;

- Amélioration constante du système de récupération des données client afin d'optimiser et de développer le stock de données possédé par l'entreprise;

- Connaissance et veille des évolutions technologiques.

Les missions confiées au Data Analyst sont des missions d'engagement et de responsabilité dont la liste ne peut être exhaustive.

Votre profil :

De formation supérieure (de type Bac+5) dans le domaine de l'informatique, spécialisée en Data et/ou Master spécialisé en big data et business analytics. Vous justifiez d'une première expérience (stage ou alternance) sur un poste similaire.

Vous êtes passionné par les chiffres, les statistiques ainsi que les problématiques commerciales.

Vous faites preuve de rigueur et de polyvalence en ayant un esprit d'initiative et le sens du travail en équipe.

Vous maniez avec agilité le langage du data management et des bases de données. La qualité rédactionnelle de manière à rédiger des rapports clairs pour la compréhension des tableaux de données est primordiale.

Vous parlez couramment l'anglais pour communiquer avec nos équipes à l'international.

Vous avez une bonne maîtrise de l'univers Mac et Windows.

Nos conditions :

Type de contrat : CDI
Statut: Agent de maîtrise
Lieu de travail : 8ème arrondissement de Paris
Télétravail : 1 jour par semaine

Rémunération et avantages:

Rémunération selon le profil et expérience
Participation aux frais de transport à hauteur de 50%
Mutuelle d'entreprise
Tickets restaurant
Ordinateur portable et téléphone professionnel.",2024-01-09 16:03:25+00:00,2024-01-10 15:38:57+00:00,CDI,"[{'code': '109527', 'libelle': 'Adapter les outils de traitement statistique de données', 'exigence': 'E'}, {'code': '109528', 'libelle': ""Rédiger l'information produite"", 'exigence': 'E'}, {'code': '109529', 'libelle': 'Présenter et diffuser les résultats des études réalisées', 'exigence': 'E'}, {'code': '109542', 'libelle': 'Réaliser une étude', 'exigence': 'E'}]",35H Travail en journée,Temps plein,Activités photographiques,,Bac+5 et plus ou équivalents,"Mensuel de 2000,00 Euros à 3000,00 Euros sur 12 mois",IRIS GALERIE,,75 - PARIS 08,75008
Data Analyst (H/F),"Au sein du département Digital & Emerging Technologies, vous accompagnerez nos clients sur les enjeux liés à la Data et à la mise en production de solutions innovantes en travaillant en équipe selon la méthode Agile.

Vos missions et responsabilités :

-	Comprendre les besoins clients en identifiant, avec le métier, les données pertinentes à acquérir et à traiter pour y répondre 
-	Définir et modéliser le problème dans le vocabulaire via les instruments de mesure métiers.
-	Implémenter la solution, via des scripts, pour extraire, transformer et charger les données
-	Fusionner, réaliser des jointures et concaténer des données imbriquées
-	Mettre en place le packaging et la structuration du code pour automatiser et assurer la maintenabilité
-	Créer et mettre en place le schéma de bases de données, construction de diagramme UML
-	Mettre en place des bases de données et charger les données
-	Créer des requêtes sur des données métiers pour extraire les données
-	Modéliser les chaines de collecte, de stockage, de traitement et de restitution des données
-	Traiter et analyser les données en fonction des besoins exprimés
-	Réaliser des analyses quantitatives et qualitatives des bases de données 
-	Utiliser des méthodes de data visualisation pour partager les analyses et les résultats en réalisant et proposant des dashboards interactifs
-	Présenter, analyser et synthétiser les résultats.
-	Analysez la spécification d'un outil à développer par les équipes informatiques.
-	Identifier des axes d'optimisation et être force de propositions",2024-01-09 14:13:30+00:00,2024-01-10 12:41:40+00:00,CDI,,38H30 Travail en journée,Temps plein,"Ingénierie, études techniques",,,"Annuel de 46000,00 Euros à 47000,00 Euros sur 12 mois",EXPLEO FRANCE,"Expleo propose une offre unique de services intégrés d'ingénierie, qualité et conseil stratégique pour la transformation digitale.
Dans un contexte d'accélération technologique sans précédent, nous sommes le
partenaire de confiance des entreprises qui innovent.
Expleo est présent dans tous les secteurs à forte intensité technologique qui contribuent à une société plus connectée, plus durable et plus sûre.
Nos 15 000 collaborateurs interviennent dans plus de 25 pays.",78 - MONTIGNY LE BRETONNEUX,78180
Data Analyst (H/F),"À propos de SkillsFirst :

SkillsFirst accompagne les entreprises ayant un besoin d'assistance technique par :

L'intervention de compétences d'experts
Le développement d'applications sur mesure
La mise en place d'un lieu dédié aux collaborateurs, l'IT Corner.
Nos valeurs : Ecoute, Réactivité, Professionnalisme.


SkillsFirst affiche une grande ambition de croissance et recherche pour cela un profil ambitieux avec des perspectives d'évolution.


Nous recherchons un.e Data Analyst confirmé.e, globalement vos missions seront les suivantes :

Contribuer au bon fonctionnement du socle data et des applications clientes :

o Documenter les procédures de collecte, traitement, analyse et restitution des données
o Documenter les flux de données
o Documenter les règles de gestion concernant les différentes offres
o Opérer les traitements nécessitant une intervention manuelle
o Opérer les traitements délégués par les offreurs au cas par cas

Vérifier le bon fonctionnement du socle data et des applications clientes :

o Contrôler la conformité des traitements et la qualité des données
o Vérifier la fréquence de collecte des données sources et des traitements programmés
o Analyser les erreurs et anomalies et proposer des plans de corrections
o Vérifier la disponibilité et la performance des applications clientes
o Produire des KPI de suivi du socle data et d'usages des applications clientes

Assurer le support des clients dans l'utilisation des applications :

o Générer des reportings à la demande
o Donner des explications/éclairages sur les données fournies
o Conseiller dans l'utilisation des applications

 
Connaissances techniques :

Data & Automatisation : Processus et cycle de vie data, bases de données (SQL), analyse et qualité des données, sécurité des données, RGPD, batch de traitement, Excel avancé, POWER BI avancé.

La connaissance des environnements Microsoft 365 est un énorme plus.

 

Compétences attendues :

Rigueur, logique, méthode, volonté de simplifier
Autonomie, bon relationnel et pédagogie
Bonne communication, capacité à vulgariser
Capacité à écouter et à travailler en équipe


Vous avez impérativement un anglais à minima professionnel (parlé).",2024-01-05 15:43:43+00:00,2024-01-10 11:37:06+00:00,CDI,"[{'code': '109527', 'libelle': 'Adapter les outils de traitement statistique de données', 'exigence': 'S'}, {'code': '109528', 'libelle': ""Rédiger l'information produite"", 'exigence': 'S'}, {'code': '109529', 'libelle': 'Présenter et diffuser les résultats des études réalisées', 'exigence': 'S'}, {'code': '109542', 'libelle': 'Réaliser une étude', 'exigence': 'S'}]",35H Travail en journée,Temps plein,Formation continue d'adultes,,,"Annuel de 42000,00 Euros à 48000,00 Euros sur 12 mois",EDUGROUPE,,75 - PARIS 16,75016
Data analyst,"Nous sommes une entreprise de services numériques Lilloise créée en 2017, à taille humaine et qui met l'humain au centre de sa préoccupation.
Grâce aux compétences et à l'expérience de notre équipe, nous accompagnons aujourd'hui nos clients grands comptes et PME de la région Lilloise dans leurs défis numériques et nous créons également nos propres solutions BtoB et BtoC dans notre pôle de Recherche et Développement.

Objectifs et missions :
Nous recherchons un Data Analyst (H/F) avec une appétence à la Data Engineering pour une mission sur la métropole Lilloise. Les taches se composent comme suit :

Mettre en place les reportings et les analyses pour faciliter les prises de décision.
Poser la cartographie data des domaines concernés.
Accompagner les équipes IT Data dans la mise en place et la structuration des nouveaux environnements décisionnels.
Garantir la fiabilité et la cohérence des données et des reportings sur le périmètre.
Construire en autonomie des tableaux de bord avec les outils dataviz (Power BI et Looker)
Réaliser des analyses approfondies en croisant les différentes sources de données.
Contribuer à l'industrialisation et la simplification des outils et des process du métier.
Proposer des nouveaux regards et approches, en proximité avec les besoins et les priorités du métier.

Environnement technique :
Outils Dataviz (Power BI, Looker), SQL, BigQuery, Terraform

Profil que nous recherchons :
Tu as au moins 5 ans d'expérience.
Tu maîtrises la Dataviz.
Tu maîtrises SQL.
Tu maîtrises BigQuery.
Tu connais Terraform et tu as déjà travaillé avec.
La Data Engineering t'intéresse.

Bénéfices pour toi :
Tu pourras participer à un projet complexe et monter en compétences,
Tu seras autonome et tes prises d'initiatives seront encouragées,
Tu pourras en plus de ta mission contribuer et être force de proposition au développement de nos solutions internes et ainsi partager tes connaissances,
Tu auras un suivi personnalisé avec un manager qui parle le même langage technique que toi,
Tu pourras évoluer en fonction de tes aspirations pro.

N'hésites pas à visiter notre page officielle ou LinkedIn pour faire connaissance avec la Team !",2024-01-04 12:29:52+00:00,2024-01-09 15:49:13+00:00,CDI,"[{'code': '109527', 'libelle': 'Adapter les outils de traitement statistique de données', 'exigence': 'S'}, {'code': '109528', 'libelle': ""Rédiger l'information produite"", 'exigence': 'S'}, {'code': '109529', 'libelle': 'Présenter et diffuser les résultats des études réalisées', 'exigence': 'S'}, {'code': '109542', 'libelle': 'Réaliser une étude', 'exigence': 'S'}]",35H Travail en journée,Temps plein,Conseil en systèmes et logiciels informatiques,,,,VIRTUAL CONSULTING,"Virtual consulting est une société spécialisé dans l'accompagnement et le conseil en matière de l'innovation et de la transformation digitale, la veille commerciale,  le coaching en montage et en accélération. 

Nous utilisons notre créativité et notre expérience pour accompagner nos clients en proposant des solutions innovantes et de nouveaux produits en proposant de nouveaux vecteurs d'accélération.",59 - LILLE,59000
DATA BUSINESS ANALYST (H/F),"Vous êtes un(e) Data Business Analyst confirmé(e) ou Senior dans le domaine de la data et recherchez un nouveau défi professionnel au sein d'une entreprise ambitieuse et bienveillante (oui, c'est possible !) ? Rejoignez une équipe dont les compétences, la vision, l'état d'esprit, les valeurs et les clients favoriseront votre évolution, votre épanouissement et votre développement. 

Dans le cadre de la croissance continue de ses activités et d'une dynamique positive constante, Hardis Group Grenoble recrute activement un(e) Data Business Analyst. Nous recherchons des collaborateurs motivés et passionnés, alliant rigueur et engagement envers nos clients. 

Intégré(e) au sein d'équipes à taille humaine, vous contribuerez à l'un de nos projets clients. Votre compréhension des enjeux stratégiques et commerciaux actuels, ainsi que votre solide connaissance des environnements Data, vous permettront d'accompagner nos clients dans divers secteurs d'activité (Industrie, Retail, Santé, ...) sur leurs problématiques liées aux données (Qualité, processus, gouvernance, recueil de besoins, ...). Vous participerez à toutes les phases des projets, de l'analyse fonctionnelle aux tests. 

Chez Hardis, le rôle d'analyste est clé et contribue activement au succès des projets. En contact direct avec le client, vous évoluerez en autonomie pour accompagner le client dans ses réflexions, doutes et convictions. Vous saurez vous approprier le métier du client et le transmettre aux équipes techniques. 

Selon votre expérience et vos motivations, vous pourrez rejoindre l'équipe fonctionnelle d'un projet Data ou assumer le rôle de responsable fonctionnel en charge de l'analyse et du suivi du périmètre du projet Data. 

Vos missions incluent : 
- Analyser et interpréter le cahier des charges client. 
- Organiser, préparer, conduire et restituer les ateliers de recueil de besoins avec les interlocuteurs clients. 
- Construire la solution fonctionnelle et garantir sa cohérence. 
- Rédiger les spécifications fonctionnelles pour les équipes de réalisation, en assurant la compréhension par les parties prenantes. 
- Appuyer le chef de projet dans le suivi du périmètre ou assurer ce suivi pour les profils les plus seniors. 
- Mettre en œuvre une méthode de gestion des exigences pour assurer la traçabilité. 
- Collaborer avec l'équipe UX/UI pour concevoir une solution centrée sur l'utilisateur. 
- S'assurer que les développements produits répondent aux spécifications, définir la stratégie de test, contribuer à la rédaction des cas de test, exécuter les tests et suivre les campagnes. 
- Assurer les démonstrations du produit. 
- Analyser les retours de recette. 

Qualifications requises:
Vous êtes titulaire d'une formation supérieure Bac+5 et aspirez à développer vos compétences en tant que Data Business Analyst confirmé(e) ou Senior. Vous souhaitez partager votre savoir-faire Data avec une équipe et contribuer à la croissance de co-équipiers plus jeunes. Votre désir d'apprentissage, d'évolution et de changement de cadre vous conduit à découvrir une manière différente de travailler et d'être accompagné. 

Idéalement, vous maîtrisez l'anglais, et des expériences en contexte international et pluridisciplinaire seraient un atout. 

Reconnu(e) pour votre excellent relationnel, votre sens du client et votre curiosité, vous appréciez le travail en équipe et cultivez la bonne humeur au quotidien. Votre solide expérience en Data, combinée à votre capacité d'adaptation, votre esprit d'analyse, votre autonomie et votre proactivité, seront des atouts essentiels pour votre épanouissement au sein de notre société. 

Avantages :
- Parcours de formation technique et fonctionnelle de qualité et individualisé. 
- Dispositif de mobilité interne, télétravail. 
- Engagements RSE (Responsabilité Sociétale des Entreprises). 
- Tickets restaurant, participation aux frais de déplacement.",2024-01-04 10:30:01+00:00,2024-01-05 20:16:11+00:00,CDI,"[{'code': '109527', 'libelle': 'Adapter les outils de traitement statistique de données', 'exigence': 'S'}, {'code': '109528', 'libelle': ""Rédiger l'information produite"", 'exigence': 'S'}, {'code': '109529', 'libelle': 'Présenter et diffuser les résultats des études réalisées', 'exigence': 'S'}, {'code': '109542', 'libelle': 'Réaliser une étude', 'exigence': 'S'}]",37H30 Travail en journée,Temps plein,Programmation informatique,,Bac+5 et plus ou équivalents,,HARDIS GROUPE,"""Hardis Group est une ESN, une entreprise de conseil et, est éditeur de logiciels basée à Grenoble, Lyon, Paris, Nantes, Bordeaux, Lille, Madrid, Genève et Utrecht. 
Plus qu'une équipe, Hardis Group c'est avant tout un collectif solide de plus de 1100 collaborateurs en croissance constante depuis 34 ans. Indépendante depuis sa création Hardis Group a réalisé un chiffre d'affaires 116,4 M en 2018. """,38 - GRENOBLE,38000
Data analyst F/H (H/F),"Airbus SAS, leader mondial de l'industrie aéronautique, recherche actuellement un(e) Data Analyst F/H expérimenté(e) pour rejoindre son équipe dynamique à Blagnac. 
Le poste est à pourvoir en intérim pour une durée initiale de 6 mois, avec possibilité de renouvellement. 
Vous serez intégré(e) dans une équipe transnationale composée de 12 personnes réparties dans différents pays de l'Union européenne.

1 à 2 jours par semaine de télétravail sous condition managériale.


En tant que Data Analyst, vos missions principales seront les suivantes :

- Analyser l'évolution effective des données liées au plan de recrutement et à la formation.
- Participer à la digitalisation des données saisies et des processus de traitement des données.
- Collaborer avec l'équipe transnationale pour assurer le suivi des plans d'effectifs et des plans de formation de la division Airbus Commercial.
- Créer des rapports, effectuer des analyses de données et coordonner les contributions des équipes / MFTs.

Vous utiliserez principalement Gsheet et serez amené(e) à gérer une base de données importante en termes de volume de données.
 
Diplôme BAC + 5
Expérience minimale de 3 à 5 ans en tant que Data Analyst
Anglais : niveau avancé obligatoire
Bonne communication et esprit de collaboration
Sens de la confidentialité
Vos avantages Synergie:
+10% IFM + 10% CP,
CSE Synergie,
Prime Participation + CET à 6%,
Aides et Services (Mutuelle - Logement - Garde d'enfants...)",2024-01-04 09:41:23+00:00,2024-01-09 22:18:42+00:00,MIS,"[{'code': '109527', 'libelle': 'Adapter les outils de traitement statistique de données', 'exigence': 'S'}, {'code': '109528', 'libelle': ""Rédiger l'information produite"", 'exigence': 'S'}, {'code': '109529', 'libelle': 'Présenter et diffuser les résultats des études réalisées', 'exigence': 'S'}, {'code': '109542', 'libelle': 'Réaliser une étude', 'exigence': 'S'}, {'code': '300457', 'libelle': ""Définir et faire évoluer des procédés de traitement de l'information"", 'exigence': 'S'}]",35H Travail en journée,Temps plein,Activités des agences de travail temporaire,,,"Annuel de 35000,00 Euros à 40000,00 Euros sur 12 mois",Synergie,,31 - BLAGNAC,31700
Ingénieur / Ingénieure Data Analyst (H/F),"Ikos recherche un ingénieur data analyst (F/H) pour renforcer ses équipes.

Le travail consiste à réaliser pour l'un de nos clients les activités suivantes :
- Analyse de données
- Mise en forme des données
- Décodage

Les pré-requis indispensables pour la réalisation de ce projet sont :
-  Posséder un diplôme d'ingénieur ou équivalent dans le domaine de la data science
-  Posséder une première expérience dans le secteur du ferroviaire
- Maitriser Python",2024-01-02 18:40:18+00:00,2024-01-10 13:43:09+00:00,CDI,"[{'code': '109527', 'libelle': 'Adapter les outils de traitement statistique de données', 'exigence': 'S'}, {'code': '109528', 'libelle': ""Rédiger l'information produite"", 'exigence': 'S'}, {'code': '109529', 'libelle': 'Présenter et diffuser les résultats des études réalisées', 'exigence': 'S'}, {'code': '109542', 'libelle': 'Réaliser une étude', 'exigence': 'S'}]",38H30 Travail en journée,Temps plein,"Ingénierie, études techniques",,,"Mensuel de 2500,00 Euros à 4000,00 Euros sur 12 mois",IKOS CONSULTING,,92 - LEVALLOIS PERRET,92300
Data analyst (F/H),"Rejoignez une aventure professionnelle exceptionnelle au c?ur de l'innovation digitale en tant que Consultant Data BI - SAS SSIS (H/F) en CDI à Marseille. 


Votre mission:
En tant que membre clé de la DSI, votre rôle ne se limite pas à intégrer des données, mais à sculpter l'avenir de l'entreprise !
Véritable architecte des flux de données, vous contribuez à l'évolution constante de l'entrepôt de données.

Vos responsabilités :
- Analyser avec finesse les besoins fonctionnels et techniques pour développer des processus d'intégration innovants.
- Participer à la modélisation et à l'enrichissement de l'entrepôt de données en créant des rapports et des dashboards 
- Être le gardien de la bonne exécution des flux
- Intervenir en cas de problème
- Assurer une veille constante et proposer des solutions innovantes.
- Comprendre les besoins des différents services de l'entreprise et proposer des solutions qui correspondent à leurs attentes.
- Développer et modifier des rapports d'analyses BI 
- Contribuer à l'optimisation des performances des données et à l'intégrité physique des banques de données.
- Participer activement à l'architecture et au Design en collaboration avec les membres de la DSI 

Le profil idéal :
- vous êtes issu(e) d'une formation d'ingénieur, d'université ou équivalent
- vous bénéficiez d'une expérience d'au moins 2 ans dans le domaine de la BI
- vous appréciez le travail en équipe et faites preuve de rigueur et d'organisation

Compétences techniques requises:
- Maîtrise de la suite Microsoft BI (SSAS/SSIS/SSRS/MDS)
- Expertise du langage SQL (Oracle, SQL Server, PostgresSQL)
- Modélisation des bases de données
- Capacité à réaliser des petits développements en C#

Postulez dès maintenant et rejoignez une équipe visionnaire qui repousse constamment les frontières de l'innovation !   

CDI - Marseille",2024-01-02 16:51:50+00:00,2024-01-09 10:41:07+00:00,CDI,"[{'code': '109527', 'libelle': 'Adapter les outils de traitement statistique de données', 'exigence': 'S'}, {'code': '109528', 'libelle': ""Rédiger l'information produite"", 'exigence': 'S'}, {'code': '109529', 'libelle': 'Présenter et diffuser les résultats des études réalisées', 'exigence': 'S'}, {'code': '109542', 'libelle': 'Réaliser une étude', 'exigence': 'S'}]",35H Travail en journée,Temps plein,Activités des agences de travail temporaire,,Bac+5 et plus ou équivalents,"Annuel de 40000,00 Euros sur 12 mois",RANDSTAD,"Randstad Search, Cabinet Conseil en Recrutement et Approche directe, intervient dans la recherche et l'évaluation des profils Middle et Top Management. Le cabinet est présent dans les principales métropoles françaises.
Les consultants du Pôle Informatique & Télécommunications mettent à votre service leur expertise métier pour vous accompagner au mieux dans votre évolution professionnelle.",13 - MARSEILLE 16,13016
Data analyst SENIOR RSHINY (H/F),"Nous cherchons à renforcer notre équipe en recrutant un développeur statistique senior passionné par les données et désireux de contribuer à nos décisions stratégiques grâce à l'analyse approfondie des données.

Description du poste :

En tant que Développeur Statistique Senior, vous jouerez un rôle clé dans notre quête pour mieux comprendre nos clients, identifier des tendances significatives et favoriser la croissance continue de l'entreprise. Vous travaillerez en étroite collaboration avec la direction, les équipes de marketing, de vente et de développement pour fournir des informations exploitables basées sur une analyse précise des données.

Responsabilités principales :

Analyser les données recueillies et créer des rapports détaillés pour orienter les décisions stratégiques.
Identifier les tendances clés et les opportunités de croissance en examinant les informations tirées des données.
Développer des tableaux de bord et des rapports visuels pour présenter les résultats de l'analyse de données de manière claire et concise.
Exigences :

Au moins 3 ans d'expérience dans l'utilisation des technologies suivantes :
R (RShiny, data.table)
Python (Pandas)
MySQL
Outil de visualisation (ex : MetaBase)

Solide compréhension des bases de données relationnelles et non relationnelles.
Excellentes compétences en communication pour présenter efficacement les résultats de l'analyse de données à des parties prenantes internes et externes.
Diplôme universitaire en statistiques, informatique ou dans un domaine connexe.
Nous offrons :

Un salaire compétitif et des avantages sociaux attractifs.
Un environnement de travail stimulant et collaboratif favorisant la créativité et l'innovation.
L'opportunité de travailler sur des projets novateurs et de collaborer avec une clientèle diversifiée.
Des perspectives d'évolution de carrière et des possibilités de formation continue pour développer vos compétences.
Rejoignez Cosmospace et participez à une aventure passionnante où l'analyse des données façonne notre avenir !",2024-01-02 16:03:34+00:00,2024-01-10 14:22:21+00:00,CDI,"[{'code': '109527', 'libelle': 'Adapter les outils de traitement statistique de données', 'exigence': 'S'}, {'code': '109528', 'libelle': ""Rédiger l'information produite"", 'exigence': 'S'}, {'code': '109529', 'libelle': 'Présenter et diffuser les résultats des études réalisées', 'exigence': 'S'}, {'code': '109542', 'libelle': 'Réaliser une étude', 'exigence': 'S'}]",39H Travail en journée,Temps plein,Autres services personnels n.c.a.,,,,COSMOSPACE,,06 - VALBONNE,06560
