date_publication,contrat,intitule,description,secteur_activite,niveau_etudes,entreprise,description_entreprise,ville,date_modif
2024-01-12T13:29:19Z,Stage,Data Analyst Intern,"We are looking for a  Data Analyst Intern  to support our growth and assist Benjamin, co-founder, and the whole team on all our Data topics. You main missions will be: Build, maintain and update our data dashboards stack Derive KPIs from multi-source data to track our business performance Build a reporting pipeline with the strategic team to enable data-driven business decisions Coordinate efforts between the tech and business teams on data related topics Do precise analysis on Business Case and/or on specific metrics (e.g.: analysis of the share of wallet) Understand and prepare product-related improvements through product data Gradually, you may have some missions related to Data Science / Data Engineer: Explore Machine Learning opportunities and implement our first data science-based features Improve and automate our data pipelines along with their monitoring tools Continuously improve our data stack Develop any data projects that can improve the team efficiency This internship is available from  March 2024  for a duration of  6 months .","Software, FinTech / InsurTech, SaaS / Cloud Services",Bac +4,JUST,"1-click & chill ✨ We are JUST, the magic button which turns any online shopping experience into an unforgettable ride.  Our purpose? Make shopping easy, fun and smooth. Just as it should be!  For brands, we simplify the checkout step by offering a 1-click buying option. What for? To optimise your buying journey, increase your conversion rates and make your clients come back, and not only once. As e-commerce experts, we are here to help you develop your online business.  For shoppers, we remove everything that can make online shopping frictional: passwords, forms and accounts. In a word, we make them gain time AND spend a great moment.  Created in 2021, and supported by Otium Capital, BPI France and top business angels, our headquarters are based in Paris.  Wanna get to know us a little more? Discover our job offers right now! Our JUSTers can’t wait to meet you!",Paris,2024-01-12T13:29:20Z
2024-01-12T11:00:56Z,Stage,Data Analyst - Internship - Paris,"About Stockly Stockly is a retail-tech company that targets to solve the problem of out-of-stock products in e-commerce. With our technology, e-retailers can keep selling out-of-stock products, making other retailers ship them directly to consumers. Our product is live across Europe and convinces more clients every day. Our mission is to create the world first global inventory for retail. To better understand what we do, check out  our French pitch at BFMTV , or  our English pitch at Techstars . We are looking for a smart and talented Data Analyst Intern to join the BI team working closely with our CTO  Oscar , our Head of Network  Pierre , our Financial Officer  Etienne  and our Business Developers (e.g.  Matthieu  &  Yann) . The BI is currently composed of  Maria  and  Anouar . You can apply even if it is to start in 6 months! Position [This is not a Data “Scientist” position, there are no Machine Learning or Artificial Intelligence components for now] To tackle our cross team challenges, you are a candidate willing to actively participate to the company development. In our growing team, everyone is key including you as you will be working on the frontier of several domains: Develop and maintain SQL dashboards, to monitor data and analyse performance Extract and interpret data for business requirements Train colleagues on data extraction & interpretation Identify new features to make our product evolve according to usage and needs Everytime you will face recurring tasks or pain points, you will be in charge of finding and implementing solution to tackle this and help the company and team move to next stage. Challenges Tackling an international market in a fast growing startup, you’ll have three main challenges: •  Complexity : a lot can happen in an e-commerce transaction, specially when you connect multiple players. •  Performance : Stockly manages tens of millions of articles, that’s a hell of a lot of web requests per day. •  Scalability : Being focus on growth, we require that published code still work with ten times more volume. 💝 About your future benefits Competitive packages : for this position, package range is typically  1500-2000€  depending on the profile (e.g. basic knowledge to expert). We have a well defined and objective salary grid that is based on both  skills level  and  scarcity of profiles  💸 Meal vouchers  by Swile 🍽️ 50%  reimbursement of your  Navigo Pass  🚋 A central and amazing  working environment  in  le Sentier  (Paris) 💼 Flexible and  remote-friendly policy  🏡 Possibility to take a  few paid days-off  to be discussed with Team Leader 🏄 Stockly dinners  together every other Thursday 🍻 Stockly breakfasts together  every other Friday 🥐 Coffee, tea and fruits  available everyday 🍇 Climbing, football & more  teams 🧗 If your internship goes well for both you and Stockly, why not join us?  We are growing fast, there is space for every amazing people! ⚙️ About how we work Every team has a  daily meeting  to align on priorities and solve issues ⇒  You won’t be left alone! Every Monday we have a global  weekly meeting  where every team shares what they are working on and what they will do for the coming week ⇒  You will have visibility on the whole company! Every quarter we have our  OKR meeting  ( Objectives, Key Results)  where each team shows the results of the previous quarter and the objectives of the following one ⇒  You will see the company grow and your own role inside of it! During all these meetings  everyone can challenge  each other and all questions are more than welcome ⇒  Transparency is one of our key values, and we are always open to new ideas!","Software, E-commerce",Bac +4,Stockly,"🔭  Stockly  is a  tech-retail company  solving the supply/demand mismatch in e-commerce. With our technology,  we connect in real-time e-commerce websites  in need for stock  with the inventory of hundreds of other retailers  who have the same products available, and who can fulfill the order on their behalf. E-retailers can  sell products they don’t own , while others can gain additional sales, in a  seamless experience for the end-consumer . 🏆 Our mission is to create the  world’s 1st globally shared inventory  for retail. To better understand what we do, check out  our french pitch at BFMTV  (🇫🇷), or  our English pitch at Techstars  (🇬🇧). 🚀 We’ve already raised  $20M+  with European top-tier investors among which  Daphni ,  Eurazeo  and  Raise . Our  proprietary technology , coded in-house from scratch,  is already live across Europe with 450+ e-retailers , we  grow x4 each year  and won’t stop there.",Paris,2024-01-12T11:00:56Z
2024-01-12T09:27:17Z,CDI,Business Data Analyst - Digital Services,"Foxintelligence recherche un  Business Data Analyst  pour rejoindre le pôle Digital Services de l’équipe Digital & New Verticals, responsable de l’intégralité du dataflow sur nos verticales digitales (food delivery et ride sharing), du lancement de nouvelles industries innovantes telles que le gaming, le Buy-Now-Pay-Later ou le Travel, et de l’expansion de ces industries dans de nouveaux pays dans le cadre de notre expansion internationale (Canada, Australie, Japon, Kenya, etc). Tes responsabilités au quotidien: Expertise industrielle et gestion de partenariats stratégiques: Devenir l’expert de la donnée en comprenant les enjeux business sur nos deux verticales historiques chez Foxintelligence: la food delivery et le ride-sharing Étendre des partenariats stratégiques avec nos clients globaux sur ces industries, en comprenant leurs besoins et en fournissant des analyses et insights pertinents. Contribuer à l’expansion internationale de Foxintelligence en lançant ces industries dans de nouveaux pays sur les 5 continents. Lancement de nouveaux produits et développement de nouveaux enrichissements de données Participer activement au lancement de nouveaux produits sur ces industries, que ce soit via Tableau, la construction d’applications SaaS natives, ou d’autres méthodes innovantes (par exemple des Data Clean Rooms) Contribuer au développement de nouveaux enrichissements de données pour accroitre la valeur de nos datasets, par exemple, l’identification de programmes d’abonnement et de fidélité tels que Deliveroo Plus Optimisation des process et résolution des problématiques clients Optimiser et automatiser les process de l’équipe pour accroître notre productivité globale Répondre efficacement aux problématiques de nos clients tout en assurant la qualité de nos données, en étroite collaboration avec le pôle DataOps de notre équipe pour mettre en oeuvre des solutions appropriées et durables Projets stratégiques: Travailler sur des projets data à fort potentiel stratégique et commercial, qui pourront avoir un impact sur d’autres industries, tels que le redressement et l’extrapolation de notre panel.","Strategy, SaaS / Cloud Services, Big Data",Bac +5,Foxintelligence,"At Foxintelligence, we are data lovers ❤️‍🔥 Our mission is to make consumers and brands more intelligent thanks to our revolutionary market data that reaches across the world. For consumers, Foxintelligence makes accessible and useful transactional originating from their email inboxes. In anonymizing them, we create unique statistics which allowed brands to stay up to date with best sellers and consumers’ expectations 🛍️ We created an app, now used by millions of people (Cleanfox, 6m+ users, 4,8/5 ⭐on stores) and are preparing to launch another one that helps you measure your carbon footprint intuitively. Thanks to our in-house data platform, these apps will become a massive eye-opener to climate change issues and individual actions to fight against it 🌍. We believe that information is the key to change, especially when it comes from true data. Using this personal data, fully anonymized, our SaaS platform foxintelligence.io had become the reference in the European digital market intelligence community, with dozens of famous brands as clients. 📈 The common thread between Deliveroo, Backmarket, JustEat, and The Boston Consulting Group? They’re going fast and they put their trust in Foxintelligence. Supported by investors since the very beginning (17M from Daphni, Partech, GFC, and eFounders) and being recently incorporated into the NielsenIQ group, we are well on our way to conquering our space 🏘️ Our HQ is in Paris, but we are openly remote-friendly. Our team of 120 multidisciplinary talents (tech, data, business) works from all over France. We are convinced that the key to our collective success comes from our caring culture, our remote policy, and our continuous innovation through the way we work 👩‍💻 We have a transparent salary grid accessible to everyone, we provide training on climate issues and possible actions, and we try our best to communicate clearly and frequently on Foxintelligence’s strategies and decisions 😊",Paris,2024-01-12T09:27:18Z
2024-01-12T09:27:38Z,Stage,Business & Data Analyst – Stage,"Foxintelligence recherche un  stagiaire analyst full-stack data & business. Tu seras rattaché(e) à l’équipe  Digital & New Verticals , responsable de l’intégralité du dataflow sur nos verticales digitales (food delivery et ride hailing) et du lancement de nouvelles industries innovantes telles que le gaming, le Buy-Now-Pay-Later ou les hedge funds. Tes responsabilités au quotidien: Participer activement au  lancement de nouveaux produits  (via Tableau, ou la construction d’applications SaaS natives) et contribuer au développement de  nouveaux enrichissements de données  (par exemple pour notre dataset mobile apps, l’identification de l’application liée à chaque transaction, via du matching de logos). Contribuer à notre expansion internationale via le  développement de nouveaux pays  sur les 5 continents, des Etats-Unis au Canada, en passant par l’Inde et le Japon Participer à la gestion de  partenariats stratégiques avec des clients globaux  et clés pour Foxintelligence, en comprenant leurs besoins et en développant des nouvelles analyses (sous Tableau, ou Google Big Query) qui y répondent Explorer et mettre en oeuvre des  projets data à fort potentiel stratégique et commercial , tels que le redressement et l’extrapolation de notre panel, ou l’automatisation de nos process de qualité","Strategy, SaaS / Cloud Services, Big Data",Bac +5,Foxintelligence,"At Foxintelligence, we are data lovers ❤️‍🔥 Our mission is to make consumers and brands more intelligent thanks to our revolutionary market data that reaches across the world. For consumers, Foxintelligence makes accessible and useful transactional originating from their email inboxes. In anonymizing them, we create unique statistics which allowed brands to stay up to date with best sellers and consumers’ expectations 🛍️ We created an app, now used by millions of people (Cleanfox, 6m+ users, 4,8/5 ⭐on stores) and are preparing to launch another one that helps you measure your carbon footprint intuitively. Thanks to our in-house data platform, these apps will become a massive eye-opener to climate change issues and individual actions to fight against it 🌍. We believe that information is the key to change, especially when it comes from true data. Using this personal data, fully anonymized, our SaaS platform foxintelligence.io had become the reference in the European digital market intelligence community, with dozens of famous brands as clients. 📈 The common thread between Deliveroo, Backmarket, JustEat, and The Boston Consulting Group? They’re going fast and they put their trust in Foxintelligence. Supported by investors since the very beginning (17M from Daphni, Partech, GFC, and eFounders) and being recently incorporated into the NielsenIQ group, we are well on our way to conquering our space 🏘️ Our HQ is in Paris, but we are openly remote-friendly. Our team of 120 multidisciplinary talents (tech, data, business) works from all over France. We are convinced that the key to our collective success comes from our caring culture, our remote policy, and our continuous innovation through the way we work 👩‍💻 We have a transparent salary grid accessible to everyone, we provide training on climate issues and possible actions, and we try our best to communicate clearly and frequently on Foxintelligence’s strategies and decisions 😊",Paris,2024-01-12T09:27:39Z
2024-01-12T09:29:33Z,CDI,Data Analyst,"Foxintelligence recherche un(e)  Data Analyst  au sein de l’équipe Data Management Tes responsabilités au quotidien : Data Analysis/Engineering Automatisation & scale  : Construire des outils de productivité à destination des équipes Métiers pour leur permettre de gagner en efficacité (définition de process transverses, automatisation de tâches avec Python, mise à disposition de dashboards Tableau d’investigations etc…). Expertise technique  : Avoir une parfaite maîtrise de notre pipeline Data et être le/la référent(e) technique auprès des équipes Métiers. Les accompagner au quotidien, les former et les rendre autonomes. Analyses :  Faire des analyses approfondies sur une variété d’enrichissements comme l’âge des consommateurs ou la géolocalisation des commandes. Remettre en question ces enrichissements, identifier les améliorations nécessaires et construire la roadmap qui nous permettra de scaler à l’international. Product Management Data Projets stratégiques  : Orchestrer les initiatives majeures et à fort potentiel pour Fox sur le plan Data. Etre l’interlocuteur/trice des équipes internes et externes (NielsenIQ, partenaires stratégiques) et piloter les projets de A à Z : définition de la roadmap, structuration et exécution. A titre d’exemple, l’un de nos challenges actuels est l’intégration avec NielsenIQ pour rendre possibles des analyses omnicanales (online/offline). Product Owner de nos applications internes : Définir les besoins avec les équipes Métiers Concevoir de nouveaux outils et fonctionnalités, et accompagner les équipes dans leur prise en main Construire la roadmap, la décomposer en tickets, tester et communiquer auprès de l’ensemble des équipes","Strategy, SaaS / Cloud Services, Big Data",,Foxintelligence,"At Foxintelligence, we are data lovers ❤️‍🔥 Our mission is to make consumers and brands more intelligent thanks to our revolutionary market data that reaches across the world. For consumers, Foxintelligence makes accessible and useful transactional originating from their email inboxes. In anonymizing them, we create unique statistics which allowed brands to stay up to date with best sellers and consumers’ expectations 🛍️ We created an app, now used by millions of people (Cleanfox, 6m+ users, 4,8/5 ⭐on stores) and are preparing to launch another one that helps you measure your carbon footprint intuitively. Thanks to our in-house data platform, these apps will become a massive eye-opener to climate change issues and individual actions to fight against it 🌍. We believe that information is the key to change, especially when it comes from true data. Using this personal data, fully anonymized, our SaaS platform foxintelligence.io had become the reference in the European digital market intelligence community, with dozens of famous brands as clients. 📈 The common thread between Deliveroo, Backmarket, JustEat, and The Boston Consulting Group? They’re going fast and they put their trust in Foxintelligence. Supported by investors since the very beginning (17M from Daphni, Partech, GFC, and eFounders) and being recently incorporated into the NielsenIQ group, we are well on our way to conquering our space 🏘️ Our HQ is in Paris, but we are openly remote-friendly. Our team of 120 multidisciplinary talents (tech, data, business) works from all over France. We are convinced that the key to our collective success comes from our caring culture, our remote policy, and our continuous innovation through the way we work 👩‍💻 We have a transparent salary grid accessible to everyone, we provide training on climate issues and possible actions, and we try our best to communicate clearly and frequently on Foxintelligence’s strategies and decisions 😊",Paris,2024-01-12T09:29:35Z
2024-01-12T09:30:16Z,CDI,Senior Data Analyst - €50K to €60K,"Basé à  : Paris 11ème (politique de télétravail flexible avec 10 jours/mois de présence requise au bureau) Contrat  : CDI, Temps plein Manager  :  Clément  - CPO Team :  Marketing Package : €50K à €60K (dépendant du profil Confirmé or Senior) Le contexte : Chez Worklife, notre mission est d’aider chaque entreprise à devenir pionnière du monde de travail de demain. Notre première pierre à l’édifice ? Leur permettre d’offrir à leurs collaborateurs, des avantages avec un vrai impact sur leur vie personnelle au quotidien. Notre expertise et notre offre personnalisée nous placent parmi les acteurs les plus dynamiques sur le marché des avantages salariés et notamment le  n°1 des acteurs de la mobilité durable  😎 Nous recherchons un.e Data Analyst capable d'apporter plus d'efficacité dans tous les départements. Il s'agit d'un poste très visible et à fort impact,  en interface avec toutes nos fonctions.   Nous recherchons un profil hybride entre la  tech  et  business , capable de maintenir les processus et les outils. Tu devras être capable d'intégrer diverses problématiques sur plusieurs aspects de l'entreprise. Tu rejoindras l'équipe Product et travaillera directement avec notre CPO. Il s'agit d'une petite équipe de six personnes, très soudée, ce qui en fait un environnement parfait pour partager et améliorer tes compétences ! 🚧  Nous sommes en phase de développement et de test & learn . Tu auras donc l'opportunité de co-construire nos process et notre organisation au sein de Worklife. Mais pour cela, il est indispensable que tu aies un état d’esprit d’intrapreneur/euse et que tu saches ainsi retrousser tes manches pour gérer les turbulences passagères 🙂 Ton quotidien : -> Tu seras responsable de l'analyse des données de bout en bout.  Cela comprend l'identification des opportunités business, la collecte d'informations clés, la transformation des données, la visualisation des données et la communication des résultats aux parties prenantes. - > Tu travailleras en collaboration avec toutes nos équipes , telles que les équipes produit, marketing, sales, finance et support client. Parmi les exemples de tâches, on peut citer l'analyse de nouvelles fonctionnalités de produit, la mesure de l'impact de nouvelles stratégies marketing, la création de tableaux de bord (Metabase est un outil de visualisation de données très axé sur SQL) ou l'identification des opportunités d'upselling pour les clients. -> Tu es en charge d'identifier et de prioriser les projets d'analyse, et tu seras responsable de ta propre feuille de route. - >  Tu es le responsable de tes données, en utilisant SQL dans une data stack moderne (dbt, Airflow) pour adapter et créer des modèles et des métriques, en veillant à ce que ces modèles soient sous contrôle de version et bien documentés. ->  Tu collabores avec l'équipe backend pour assurer la collecte, la qualité, l'exactitude et l'exhaustivité des données. ->  Tu mènes une veille sur les tendances de l'industrie, les outils et les meilleures pratiques pour améliorer l'efficacité de nos efforts en matière d'analyse de données. Montée en compétences : J+30 : -> Formation sur les produits et l'industrie : acquérir une compréhension de nos offres, du domaine des avantages sociaux pour les employés et du marché FinTech/HR tech. -> Rencontrer les membres de l'entreprise et découvrir leurs rôles et responsabilités. -> Data stack onboarding : collaborer avec les membres de l'équipe pour identifier nos différentes sources de données, les explorer et avoir une idée de leur structure, de leur qualité et de leurs perspectives d'analyse. J+60 : -> Effectuer une analyse exploratoire des données : identifier les tendances, les patterns et les domaines à améliorer  -> Trouver des opportunités à exploiter pour l'équipe marketing produit. -> Collaborer avec les équipes : comprendre leurs besoins et recueillir des commentaires sur les améliorations possibles. -> Développer des tableaux de bord et des rapports : créer des outils conviviaux pour communiquer les résultats clés et les informations  -> Former les stakeholders : fournir une formation aux parties prenantes sur l'utilisation et l'interprétation des tableaux de bord et des rapports. J+90 : -> Surveiller et maintenir la qualité des données : garantir l'exactitude et l'intégrité des données utilisées pour l'analyse. -> Formuler des hypothèses : développer des hypothèses basées sur les données pour guider les analyses ultérieures. -> Se préparer pour une évaluation de performance : rassembler les réalisations et les défis rencontrés au cours des trois premiers mois. À propos de toi Nous croyons que la diversité des profils contribue au succès de Worklife et nous faisons onc tous les efforts nécessaires pour veiller à ce que l'inclusion, l'équité et l'accessibilité soient au cœur de nos processus de recrutement. - Sensibilité business, orientation solutions, capacité à communiquer des informations exploitables aux parties prenantes techniques et non techniques. - Tu peux communiquer efficacement en anglais et en français, à l'écrit comme à l'oral. - Excellentes compétences en SQL. - Autour de 3 ans d'expérience dans l'utilisation d'outils de visualisation des données pour créer des rapports et des tableaux de bord informatifs et attrayants. - Connaissance ou volonté d'en apprendre davantage sur DBT et git : version-controlled data modeling. - Familiarité avec Google Spreadsheet et ses fonctions avancées. Nos critères d’évaluation (scorecard) pour le culture fit : Be impactful  : communication, engagement & collaboration Never give up  : exigence, résilience & audace Level-up  : tester&apprendre, ouverture d’esprit, prise de recul & remise en question Si tu te reconnais, n’hésite pas à postuler ! Tu penses ne pas cocher toutes les cases ? Tente ta chance, car nous valorisons aussi la motivation et la capacité de la personne à apprendre rapidement ! Notre produit : Chez  Worklife, nous redéfinissons les avantages salariés  avec notre approche  Fin/HR tech  innovante ! Application unique accompagnée d'une carte de paiement individuelle, tout est réuni pour une utilisation simplifiée par les collaborateurs. Côté RH, une interface d'administration unique centralise le pilotage et permet d’analyser les tendances des équipes. Les avantages salariés sont souvent méconnus, sous-exploités et inadaptés aux nouveaux besoins des collaborateurs comme de l'entreprise. Pour répondre à ces enjeux, nous aidons nos clients à mettre en place une politique salariale qui ait  un impact et du sens pour les collaborateurs/trices et l'entreprise . En à peine 2 ans, Worklife couvre plus de 100 000 collaborateurs d'entreprises telles que Saint-Gobain, Amazon, Danone, Adecco, etc. Tu cherches à avoir un impact sur le monde du travail et souhaite rejoindre les équipes du n°1 en France de la mobilité durable ? C’est le bon moment pour nous rejoindre !","FinTech / InsurTech, SaaS / Cloud Services, Human Resources",,Worklife,"Worklife is the  first fintech  to disrupt the  Employee Benefits Programs , bringing them all together on a single app, combined with a single payment card for greater ease of use. To carry out our mission, we count on our  +100 employees worldwide  who are highly motivated and guided by common values (Care, Challenge, Curiosity).  🙌",Paris,2024-01-12T09:33:57Z
2024-01-12T09:27:33Z,Stage,Data Analyst Intern,"Foxintelligence recherche un(e) stagiaire  Data Analyst. Tu seras rattaché(e) à l’équipe Data Management et tu interviendras au niveau de l’enrichissement de la donnée. Cet enrichissement rend possible l’analyse de la donnée par nos équipes analytics et nos clients. Ton rôle sera de garantir que les champs enrichis aient le niveau de completion et de qualité attendues sur l’ensemble de nos industries (e-commerce, food delivery etc.) et territoires couverts (7 pays européens, ainsi que l’Inde). Tes responsabilités au quotidien : Analyses :  Faire des analyses approfondies sur une variété d’enrichissements comme l’âge des consommateurs ou la géolocalisation des commandes. Remettre en question ces enrichissements, identifier les améliorations nécessaires et aider à construire la roadmap qui nous permettra de scaler à l’international. Qualité des données :  Etre responsable d’une partie de la roadmap d’enrichissements, garantir la qualité de ces enrichissements et leur disponibilité à la date attendue. Travailler main dans la main avec les équipes commerciales pour répondre à leurs besoins avec les données les plus pertinentes. Automatisation & Scale :  Construire des outils de productivité à destination de ton équipe pour permettre de gagner en efficacité (définition de process transverses, automatisation de tâches avec Python, mise à disposition de dashboards Tableau/Looker d’investigations etc…). Projets stratégiques :  Participer à des initiatives majeures et à fort potentiel pour Fox sur le plan Data. A titre d’exemple, deux de nos challenges actuels sont l’intégration avec NielsenIQ pour rendre possibles des analyses omnicanales (online/offline) et l’ouverture de plusieurs nouveaux marchés simultanément.","Strategy, SaaS / Cloud Services, Big Data",,Foxintelligence,"At Foxintelligence, we are data lovers ❤️‍🔥 Our mission is to make consumers and brands more intelligent thanks to our revolutionary market data that reaches across the world. For consumers, Foxintelligence makes accessible and useful transactional originating from their email inboxes. In anonymizing them, we create unique statistics which allowed brands to stay up to date with best sellers and consumers’ expectations 🛍️ We created an app, now used by millions of people (Cleanfox, 6m+ users, 4,8/5 ⭐on stores) and are preparing to launch another one that helps you measure your carbon footprint intuitively. Thanks to our in-house data platform, these apps will become a massive eye-opener to climate change issues and individual actions to fight against it 🌍. We believe that information is the key to change, especially when it comes from true data. Using this personal data, fully anonymized, our SaaS platform foxintelligence.io had become the reference in the European digital market intelligence community, with dozens of famous brands as clients. 📈 The common thread between Deliveroo, Backmarket, JustEat, and The Boston Consulting Group? They’re going fast and they put their trust in Foxintelligence. Supported by investors since the very beginning (17M from Daphni, Partech, GFC, and eFounders) and being recently incorporated into the NielsenIQ group, we are well on our way to conquering our space 🏘️ Our HQ is in Paris, but we are openly remote-friendly. Our team of 120 multidisciplinary talents (tech, data, business) works from all over France. We are convinced that the key to our collective success comes from our caring culture, our remote policy, and our continuous innovation through the way we work 👩‍💻 We have a transparent salary grid accessible to everyone, we provide training on climate issues and possible actions, and we try our best to communicate clearly and frequently on Foxintelligence’s strategies and decisions 😊",Paris,2024-01-12T09:27:34Z
2024-01-12T08:28:42Z,Stage,Data Analyst Intern ,"We are looking for a Data Analyst intern to strengthen the R&D department focused on three challenges: Internal Optimization Empower all teams by providing them with clear, reliable, and comprehensive data. Enhance the impact of our sales team by implementing lead scoring to predict which salesperson should handle which lead. Proactively engage with the Customer Success Management (CSM) team by identifying early indicators that may lead to potential customer loss. Gain a deeper understanding of how our customers use our products, including process mining, with the broader goal of personalizing/simplifying the platform based on user profiles. Product Work Conduct statistical analyses of the purchasing behaviors of our end customers to assist them in better understanding their user base. Create a feature based on predicting the cancellation rates of athletes for their classes, allowing them to anticipate with theoretical overbooking. Develop a feature based on predicting the final fill rates of classes to suggest dynamic pricing to studios. Strategic Management Define and implement metrics at different levels, either globally or by team. The bsport data stack comprises a datalake consolidating all available data, a functional data pipeline (Airflow) on AWS infrastructure, and well-integrated visualization tools like Metabase for optimal project launches. The role, directly supervised by the Lead Data, collaborates with various team managers, including the CDO, Head of Sales, Head of CSM, and future COO. Compensation ranges from €1100 to €2000 monthly, depending on the profile.","Mobile Apps, SaaS / Cloud Services",,BSPORT SOLUTION,"We’re a Barcelona-based company and we combine the boutique fitness industry with the newest generation of technology to provide studios and businesses with an All-in-One platform to streamline their operations and to maximise their commercial success 🌟 Three years ago, we launched our platform, and today we have a presence on all continents, translated into five languages, and available in over ten currencies. Currently, we have secured a total of €4 million in funding from investors such as Seventure Partners, Bpifrance, and Seed4soft.  Thanks to their support, we have amassed over 1,200 partners in more than thirty countries, a team of over a hundred dedicated employees working towards our goal of becoming the leading European provider of software solutions for fitness boutiques. Born in Paris, we have now relocated to the sunny city of Barcelona 🚀",Paris,2024-01-12T08:28:43Z
2024-01-12T08:28:14Z,CDI,Data Analyst,"We are seeking a full-time Data Analyst to join our R&D team. The role will focus on three key objectives: Internal Optimisation Empowering all teams by providing clear, reliable, and complete data Improving the impact of our sales team through lead scoring that predicts which salesperson should handle each lead Taking proactive measures with respect to the CSM team by identifying upstream indicators that may result in potential customer losses Gaining a deeper understanding of how our clients use our products, including through process mining, with the broader goal of personalising/simplifying the platform based on user profile Product Work Conducting statistical analysis of end-customer purchasing behaviours to help them better understand their base Creating a feature to predict cancellation rates of athletes in their courses so they can anticipate with theoretical overbooking Developing a feature to predict final course fill rates and suggest dynamic pricing to studios Strategic Management Defining and implementing metrics at different levels, either globally or by team bsport has all the necessary tools to launch projects under the best conditions, thanks to our modern data stack, which includes: A datalake that consolidates all available data into a single database, including data from our platform, traffic, and external tools used by teams such as sales, marketing, and CSM. A functional data pipeline, Airflow, hosted on our AWS infrastructure. Well-integrated visualisation tools, such as Metabase, included in the stack.","Mobile Apps, SaaS / Cloud Services",,BSPORT SOLUTION,"We’re a Barcelona-based company and we combine the boutique fitness industry with the newest generation of technology to provide studios and businesses with an All-in-One platform to streamline their operations and to maximise their commercial success 🌟 Three years ago, we launched our platform, and today we have a presence on all continents, translated into five languages, and available in over ten currencies. Currently, we have secured a total of €4 million in funding from investors such as Seventure Partners, Bpifrance, and Seed4soft.  Thanks to their support, we have amassed over 1,200 partners in more than thirty countries, a team of over a hundred dedicated employees working towards our goal of becoming the leading European provider of software solutions for fitness boutiques. Born in Paris, we have now relocated to the sunny city of Barcelona 🚀",Paris,2024-01-12T08:28:15Z
2024-01-12T06:30:45Z,CDI,Data Analyst,"Nous travaillons avec  +400 startups et scale ups  de la scène tech française et européenne, à la recherche de Data Analysts expérimentés  de Confirmés à C-Level : Heetch, Scaleway, Skello, Blablacar, Sendinblue, Mirakl, Partoo, Frichti, Swan, Jellysmack, MangoPay, Coinhouse … mais aussi les startups d’eFounders comme Collective Work, Numeral, ou Folk… et bien d’autres. Nous développons une communauté de hauts talents avec pour vocation d’apporter du soutien à leur carrière tout au long de leur vie professionnelle. Événements, ressources, sessions de recrutement…",Recruitment,,The Product Crew,"Chez The Product Crew, ils cherchent à inventer le Futur du recrutement. Ils animent pour cela une communauté de membres sélectionnés pour leur talent en Product, Design, Data et Tech, avec pour vocation de leur apporter du soutien tout au long de leur vie professionnelle.  Leur mission est d’aider les membres de cette communauté à libérer leur potentiel. Mais également de permettre aux entreprises de construire et commercialiser les plus meilleurs produits technologiques. Pour cela, ils organisent du partage de connaissance (webinars, ateliers, meetups, masterclass, contenus exclusifs…) et des sessions intensives de recrutement en ligne. Fort d’une communauté de plus de 7500 talents et de plus de 400 entreprises technologiques partenaires; The Product Crew s’adresse spécifiquement aux métiers du Product, du Design, de la Data et de la Tech.",Paris,2024-01-12T06:30:46Z
