date_publication,contrat,intitule,description,secteur_activite,niveau_etudes,entreprise,description_entreprise,ville,date_modif
2024-01-15T13:40:22Z,CDI,Generative AI software Engineer - L'Oréal France,"As a Generative AI software Engineer in the R&I IT Algo Platform Team, you will be involved in Digital Products that leverage GenAI/AI models. You will apply IT common and standard processes, frameworks, templates, libraries, and best practices provided by the center of Excellence in Global Beauty Tech Data Team. In terms of use case expertise, you will participate in architecture design and validation sessions for various use cases and provide support to digital transformation program during critical project phases such as project setup, CI/CD, run, and monitoring. This role offers an exciting opportunity to showcase your expertise and drive innovation across the R&I.   IF YOU WANT TO GO FURTHER IN DETAILS, THIS IS WHAT YOU COULD EXPECT TO DO Ensure the team respects the best practices and is responsible of the quality of the work. Lead innovative topics based on Google PaLM and Azure OpenAI and Databricks for OpenSource LLM Technology watch & POC implementation Apply and improve GenAI reference architecture and project lifecycle. Contribute and share common and standard processes, frameworks, templates, libraries and best practices.","Luxury, Cosmetics, E-commerce",,L'Oréal France,"The desire for beauty has existed since the beginning of humanity. It’s a universal aspiration which crosses time, countries, and cultures. Beauty is a powerful force that moves us. We know that beauty is more than just looking good. Beauty gives us confidence in who we are, in who we want to be, and in our relationships with others. For over a century we have been dedicated to one sole vocation: creating beauty. We remain true to the pioneering spirit of our founder and enjoy the unwavering support of his family, who have always accompanied our development. Our goal is to offer each and every person around the world the best of beauty in terms of quality, efficacy, safety, sincerity and responsibility to satisfy all beauty needs and desires in their infinite diversity. Because beauty is a permanent quest, we harness the power of our innovation to continually enhance the performance of our products and services. Because we value diversity, we leverage each of our brands to celebrate all expressions of beauty. Because we strive to be exemplary with a long-term vision, we anchor our actions in our strong values and demanding ethical principles. And because we are the global leader in beauty, we are aware that everything we do can have a meaningful impact. Therefore: We act to shape the future of beauty by leveraging the best of science and technology, increasingly inspired by nature. We act to drive social innovation by offering the best working conditions, training, and social protection for our employees. We act to build a business with inclusivity at its heart by ensuring we are as diverse as the people we serve. We act to nurture lasting partnerships with our clients and suppliers based on mutual trust and collaboration. We act to create value for all our shareholders, by sustaining a robust business model. We act to champion the cause of women and to strengthen the communities with which we engage. We act to protect the beauty of the planet by fighting climate change, respecting biodiversity and preserving natural resources.",Clichy,2024-01-15T13:40:24Z
2024-01-15T10:05:59Z,CDI,Software Engineer - Data Platform F/H/X,"TLDR : Too long Didn’t read Tu es intéressé.e. par rejoindre une équipe de  passionné.e.s , par  craquer des problèmes  dont la réponse ne se trouve pas sur stack-overflow ? Tu souhaites rejoindre un  projet qui a du sens ? Embarque dans l’aventure et  disrupte les grands acteurs de la data  et pour devenir le  leader européen des plateformes data . Poste en  CDI basé en IDF ou Rouen  //  Télétravail hybride, tu peux travailler depuis l’un de nos bureaux basés à Rouen ou Paris (Opéra). Le collectif est une valeur forte chez nous qui se traduit par les “opéra commit” : nous nous retrouvons toutes et tous physiquement pendant 3 jours, une fois par mois, dans nos bureaux à Paris. Pour ce poste senior une  expérience de 4 ans  sur des missions similaires est attendue. 👀 Notre mission En 2020,  les 4 fondateurs partagent deux constats : Malgré l’étendue de l’offre de solutions,  les organisations peinent à réellement tirer parti de manière systématique de valeur business  que peuvent offrir les données Il n’existe pas d’acteur de confiance européen  pour traiter les données sensibles en confiance et en adéquation avec les réglementations européennes Nous nous sommes donné la folle ambition d’aller marcher sur les plates-bandes des AWS/GCP, DataBricks, Palantir & Co  pour redonner à chacun la possibilité de  décider en confiance . Donner aux organisations  une alternative  pour acquérir leur  indépendance technologique.  Offrir à chaque collaborateur le pouvoir d’éclairer ses décisions et d’avoir plus d’impact grâce aux données. Pourquoi ce recrutement ? Dans le cadre de notre dernière levée de fonds, nous agrandissons les équipes  Product  &  Engineering  pour accélérer sur la roadmap produit tout en gagnant en  rapidité ,  efficacité  et  diversité . 4 Feature Teams existantes (1 front et 3 back) actuellement, chacune des Features Teams est rattachée à un tech lead et un PO/PM dédié: Team ELT, ses missions : collecte des données (création des dataset / datasource / création de nos futures API pour se connecter et collecter de la donnée) - Environnements : Spark / Kube Team Gouvernance et Souveraineté, ses missions : permission/ gestion du catalogue en fonction des droits - Environnements : Keycloak / Java Spring / Base graph : Neo4j / graphQL Team Datadev, ses missions : transformation de la donnée (dataflow)- Environnements : Java Spring / Kafka / Postgre / Jupyter / Git Nous recherchons un.e Software Engineer pour renforcer la Team Gouvernance et Souveraineté. 🦿Ce qui t’attends si tu nous rejoins 🎯 A 3 mois : Intégration  au sein de l’équipe Engineer & Product Conception et développement des fonctionnalités dans de grands standards de qualité  (clean code, test driven) 🚀 A 1 an : Respect des jalons et engagements Le rôle pour cette mission est d’intervenir auprès de ta feature team en qualité de  leader technique , d’insuffler une  philosophie positive  à ta team,  trouver des solutions  aux problématiques techniques, apporter des solutions qui prennent en compte la  vision produit et business.  Tu interviendras aussi bien sur le développement que sur le lead technique de ta team. Mais Pourquoi rejoindre Cleyrop ? Ce que tu trouveras comme quasiment partout ailleurs car c’est le cadre légal : Une très bonne  mutuelle  qui rembourse tout ce dont tu as besoin (même ce que tu n’imaginais pas que tu avais besoin) 8 jours de  RTT  pour tout le monde en plus des 25 jours habituels de congés payés Ce que tu trouveras comme dans peu d’entreprises : Chaque personne contribue au succès de Cleyrop et reçoit des  BSPCE Carte  Ticket Restaurant Swile  (60% de prise en charge par Cleyrop) Indemnité Télétravail mensuelle Mobilité :  remboursement transport ou forfait mobilité ou abonnement SNCF Pack fourniture :  budget forfait co-working ou location de matériel Accès à la  plateforme d’avantages CSE Leeto Accès illimité à la  plateforme de formation Udemy Ce que tu trouveras nulle part ailleurs : Êtr au cœur du réacteur dans la création du  premier Datahub Européen , avoir un rôle de pionnier(e) et faire ce que personne d’autres n’a fait jusqu’à présent Travailler sur les  dernières technologies Collaborer avec toutes les Cleys en physique  pendant les Opéra Commit organisés une fois par mois, 3 jours généralement organisés à Paris (prise en charge totale par Cleyrop). Renforcer sa cohésion avec les équipes pendant chacun des  2 séminaires par an Profiter d’une grande flexibilité totale sur  Télétravail .","Artificial Intelligence / Machine Learning, SaaS / Cloud Services, Big Data",Bac +4,Cleyrop,"Créé en 2020 par 4 fondateurs, Cleyrop a pour mission de simplifier et démocratiser l’accès à la donnée dans un cadre de confiance. Cleyrop donne un accès clé en main à une Data platform complète, couvrant tout le cycle de vie de la donnée, pour le déploiement de cas d’usages innovants et la valorisation du patrimoine de données. Après une nouvelle étape de financement de 10 million réussie en Mai 2022, Cleyrop accélère sa trajectoire de développement produit et commercial.",Paris,2024-01-15T10:06:01Z
2024-01-15T09:03:06Z,CDI,Data Engineer - Transport,"L’environnement data vous anime, vous êtes sensibles par les enjeux de transitions énergétiques et environnementaux. MP DATA recrute un(e)  Data Engineer - Data visualisation (H/F)  afin de travailler pour des projets auprès d’un acteur majeur du Transport. Conception et développement de solutions permettant la collecte, l’organisation, le stockage et la modélisation des données. Ceux-ci doivent être suffisamment sécurisés et lisibles pour les Data Analysts et Data Scientists, Mise à jour permanente sur les technologies et les langages utilisés dans le but de partager ses connaissances et aider à l’avancement des projets, Contribution, sous la responsabilité opérationnelle de notre Architecte, aux meilleures pratiques, normes, politiques, méthodes, outils et procédures sur le Cluster Big Data, Assurer l’accès aux différentes sources de données, et veiller à la qualité des données, Donner un accès facilité aux Data Analysts et Data Scientists afin exploiter les données dans des conditions optimales, Accompagné par les équipes internes MP DATA , vous monterez en compétences sur le management des flux de données pour l’ingénierie (pré processing, feature engineering…), la modélisation et enfin l’industrialisation de vos modèles.","Artificial Intelligence / Machine Learning, IT / Digital, Big Data",,MP DATA,"MP DATA est une société spécialisée dans l’acquisition, le traitement, et la valorisation des données. Depuis sa création en 2015, MP DATA accompagne ses clients, majoritairement industriels, dans le management de leur performance et l’exploitation de leur données. Les collaborateurs, tous issus de grandes écoles, incarnent au quotidien les valeurs d’Excellence, de Partage et d’Engagement. Ils associent savoir-faire technique, méthodologie et passion et mettent leurs compétences au service de missions et projets au sein de grands groupes français. MP DATA accompagne ses clients sur toute la chaine au travers de 3 pôles d’expertise : Conseil et Stratégie, Infrastructure & CloudOPS, Data Science. Chez MP DATA, les équipes commerciales cherchent des missions en fonction des envies des collaborateurs et non pas l’inverse. Les consultants sont accompagnés dans tous leurs projets, de la mobilité géographique, au changement de secteur d’activité en passant par le développement de nouvelles compétences. Rejoindre MP DATA, c’est la garantie de travailler sur des sujets passionnants avec un cadre technique fort.",Boulogne-Billancourt,2024-01-15T09:03:07Z
2024-01-15T09:03:36Z,CDI,Data Engineer - Industrie (H/F),"Vous êtes motivé par les enjeux de la mobilité et de son évolution, MP DATA recrute un(e)  Data Engineer - Industrie (H/F)  mobile France afin de travailler sur des projets innovants et à impact auprès d’un acteur majeur du secteur des mobilités. Votre mission principale consistera en la conception et le développement de solutions Data permettant la collecte, l’organisation, le stockage et la modélisation des données dans un environnement industriel. Les outils et données seront à destination des Data Analysts et Data Scientists en charge de valoriser les données dans un contexte de transformation Usine 4.0. Plus précisément, votre rôle sera clé afin de : Permettre la collecte des données usine directement sur les machines et automates et mettre en place les flux de remontée de données Assurer l’accès fiable, efficace et sécurisé aux différentes sources de données métier et processus Mettre en place des outils et méthodes de contrôle et validation de la qualité des données Optimiser les processus de collecte, transfert et stockage de la données (ETL) en assurant l’adéquation avec les contraintes techniques et opérationnelles Maintenir les outils, technologies et processus à jour, en assurant une veille technique assidue et une supervision permanente de l’environnement Accompagné par les équipes internes MP DATA , vous monterez en compétences sur la mise en place et le management des flux de données industriel. Vous veillerez à son traitement massif et qualitatif, ainsi qu’à son stockage et sa mise à disposition.","Artificial Intelligence / Machine Learning, IT / Digital, Big Data",,MP DATA,"MP DATA est une société spécialisée dans l’acquisition, le traitement, et la valorisation des données. Depuis sa création en 2015, MP DATA accompagne ses clients, majoritairement industriels, dans le management de leur performance et l’exploitation de leur données. Les collaborateurs, tous issus de grandes écoles, incarnent au quotidien les valeurs d’Excellence, de Partage et d’Engagement. Ils associent savoir-faire technique, méthodologie et passion et mettent leurs compétences au service de missions et projets au sein de grands groupes français. MP DATA accompagne ses clients sur toute la chaine au travers de 3 pôles d’expertise : Conseil et Stratégie, Infrastructure & CloudOPS, Data Science. Chez MP DATA, les équipes commerciales cherchent des missions en fonction des envies des collaborateurs et non pas l’inverse. Les consultants sont accompagnés dans tous leurs projets, de la mobilité géographique, au changement de secteur d’activité en passant par le développement de nouvelles compétences. Rejoindre MP DATA, c’est la garantie de travailler sur des sujets passionnants avec un cadre technique fort.",Boulogne-Billancourt,2024-01-15T09:03:38Z
2024-01-15T08:55:23Z,CDI,Margo Analytics - Data Engineer - H/F,"Margo Analytics est l'entité experte  de Margo Group des problématiques  Data, Cloud et DevOps  créée en 2020 par leurs fondateurs Raphaël et Mounir. Aujourd’hui  60 consultants  ont intégré l'entité et nous avons commencé à travailler avec  18 nouveaux clients  (Banque, Industrie, Assurance, Énergie, E commerce, Santé). A leurs côtés, vous pourrez évoluer rapidement et développer de nouvelles compétences.  Deux ADN fondateurs forts  et spécifiques à Margo Analytics à l’origine de l’entité : -  Toujours se positionner sur  les plus beaux sujets  et sur les  missions à fortes valeurs ajoutées -  Recruter  des  consultants passionnés  et  curieux  qui cherchent à être  challengés  Aujourd’hui, Margo Analytics possède  4 communautés  de compétences :  - Data engineer   - Data Science/ IA  - Galaxy OPS (devOps, dataOps, cloudOps) - Architecte Big Data  Ainsi en rejoignant Margo Analytics vous aurez le choix des missions (#consultantfirst) sur lesquelles vous souhaitez travailler. Vous serez accompagné par les deux fondateurs ainsi que par le leader de votre communauté, dont les rôles sont de rechercher le projet qui correspondra le plus à vos attentes et de vous accompagner dans votre carrière. 🎯 Les missions Margo Analytics  :  Au sein de la communauté Data Engineer  vos missions   seront  :  -  Développer en mode agile  les cas d’usages métier  - Mettre en place des  processus de collecte, d’organisation, de stockage et de modélisation des données   - Développer des traitements de transformation et de production de données  - Assurer la  mise en production des modèles de prédiction  créés par les Data Scientists  - Participer à l’ amélioration continue  et au refactoring de code Besoin de projection ? Voici un exemple de mission :  Camille accompagne un grand compte dans le domaine de l’industrie sur son projet de mise en place d’un nouveau datalake en Azure databricks. L’objectif de cette mission est d’assurer la distribution de la donnée de manière optimisée pour créer une couche de distribution et permettre aux Data Scientists d’implémenter les use cases. Camille apporte son expertise sur les technologies suivantes : Spark, Scala, Azure, Databricks. Nos stack Technique :  - Langage : Python/Scala/Java - Framework : Spark/Hadoop  - Cloud: Azure/ AWS/ GCP  🙌 Les avantages :  - Tickets restaurants Swile  - Mutuelle Alan prise en charge à 100% - Pass Navigo pris en charge à 100% - Télétravail - Formations illimitées - Locaux en plein coeur de Paris - Places en crèches  🤝Notre processus de recrutement :   Notre processus de recrutement se fait en 3 étapes, réparties sur 7 à 15 jours maximum :  - Première rencontre !  Vous échangez avec un RH et un dirigeant sur votre parcours, vos aspirations professionnelles ainsi que sur Margo Analytics et les opportunités que nous proposons -   Challengez-vous  dans le cadre d’un entretien technique avec l’un de nos experts. C’est également l’occasion pour vous d’avoir son retour d’expérience - Dernier entretien de motivation  : pour finir, vous rencontrez un membre du board de Margo Analytics pour un entretien final  🔍 Vous êtes un(e) futur(e) Margo Analytics si :   Must-Have Vous êtes issu(e) d’une école d’ingénieur ou d’un cursus universitaire équivalent niveau  Bac + 5  / Master Vous aimez coder et vous êtes passionné(e) d’informatique et de Data Vous êtes curieux(se) et vous vous intéressez aux dernières technologies du marché Vous justifiez d’une première expérience en tant que Data Engineer Nice to Have Vous êtes ambitieux(se) et n’avez pas peur de travailler sur des projets challengeants dans des environnements à fortes contraintes techniques . Vous parlez et comprenez l’anglais.  ","Software, IT / Digital",Bac +5,MARGO,"Plus qu’un simple groupe de conseil IT, MARGO est une alchimie de talents aux expertises constamment enrichies, à la dynamique toujours encouragée, à l’épanouissement toujours favorisé. Fidèles à notre esprit entrepreneurial, nous nous affranchissons des habitudes du secteur allant même jusqu’à casser les codes. Chez MARGO, nous savons que le dépassement de soi, ce n’est pas seulement franchir la haie du progrès, mais d’avoir toujours envie de la prochaine. En rejoignant MARGO, votre talent d’aujourd’hui restera d’actualité demain. Nous vous intégrons au groupe pas seulement pour ce que vous êtes aujourd’hui mais pour le potentiel que vous souhaitez développer. Chez MARGO, vous allez pouvoir construire votre propre parcours d’excellence au sein de nos équipes et de nos missions. Du sur-mesure au service de votre ambition et à la hauteur de votre talent.",Paris,2024-01-15T08:55:24Z
2024-01-15T08:20:37Z,CDI,Data Engineer Confirmé(e) H/F - Lyon,"Dans le cadre de notre expansion ambitieuse mais contrôlée, et pour satisfaire aux besoins changeants de tous nos clients, nous recherchons une/un Data Engineer pour renforcer nos équipes. Dans le cadre du projet de migration de notre client, de leur ancien système BI vers leur nouvel écosystème Lakehouse (Discover) sur Databricks / AWS, nous sommes à la recherche d’une personne qui peut gérer : La récupération (et surtout la refonte) de leur modèle de données pour qu’il soit la base de leurs futurs cas d’utilisation des données (refonte des procédures SQL Server de Side vers des travaux Databricks en Python / SQL / Spark) La migration des tableaux de bord PowerBI ainsi que la refonte de leur modèle pour les simplifier, en les source sur le Lakehouse au lieu de Sid La refonte des rapports SSRS vers des tableaux de bord Databricks pour les rapports opérationnels La récupération des exports (principalement des fichiers CSV) gérés par Side aujourd’hui. La durée de ce projet devrait s’étaler sur 2023-2024.","Artificial Intelligence / Machine Learning, IT / Digital, Big Data",Bac +5,evoteo,"evoteo est une entreprise de prestation spécialisée en #DATA. L’évolution des structures, établies depuis plusieurs années, voire plusieurs décennies, est en marche et evoteo accompagne ses partenaires pour y faire face. Les équipes d’evoteo sont composées d’ingénieurs, de chefs de projets et de transformations managers tous passionnés par ce changement technologique. La réussite de l’entreprise repose sur un management de carrière simple et efficace de ses collaborateurs dont les axes principaux sont : L’évolution La curiosité L’exigence La collaboration",Lyon,2024-01-15T08:20:38Z
2024-01-15T08:30:22Z,CDI,Cloud Data Engineer H/F,"Au sein de notre entité Business Applications nantaise et intégré au sein d’une équipe projet, vous contribuez à l’élaboration et l’évolution des couches métiers des applications que nous réalisons pour nos clients. En tant que Cloud Data Engineer, vous participez à des projets innovants à forte valeur ajoutée pour nos clients, à la fois technologique et métier. Entouré de développeurs, lead développeur, architecte et Scrummaster, vous travaillez en méthode agile (Scrum). Notre vision du Cloud Data Engineer  : Vous êtes capable d’appréhender un contexte client et d’implémenter une plateforme pour valoriser sa donnée Vous avez déjà une expérience sur GCP ou AWS Vous êtes à l’aise sur l’un des langages suivants (Python, Java, JavaScript) Vous avez déjà utilisé un framework de calculs distribué (Spark, Beam, …) Vous connaissez et utilisez les différentes solutions de stockage (SQL, NoSQL, Search Engine…) Vous maitrisez les principes du développement Cloud Vous avez des connaissances en machine learning","IT / Digital, Supply Chain, SaaS / Cloud Services",Bac +5,Hardis Group,"Chez Hardis Group, nous accélérons la transformation durable du commerce et de la supply chain notamment grâce aux technologies du cloud et nos multiples expertises : conseil, services IT, intégrateur Salesforce et éditeur de logiciel dans la logistique. En Europe et à l’international, nos 1500 collaborateurs s’engagent sur des projets passionnants avec un fort impact chez nos clients.",Saint-Herblain,2024-01-15T08:30:23Z
2024-01-15T07:59:49Z,CDI,Data Engineer (H/F),"Chez MeltOne Advisory, il n’y a pas les fonctions métiers d’un côté et la technologie de l’autre. Tous les consultants sont polyvalents et ont un parcours qui leur confère une expertise indéniable à la fois sur vos problématiques métiers mais aussi sur la dimension IT. Tu interviendras en collaboration étroite avec nos managers et sur différents types de projet : Transformations digitales, Optimisation des processus, Amélioration de la qualité de l’information, Mise en oeuvre et évolution de systèmes d’information, Assistance à la gestion de projet Tes missions seront : Concevoir des solutions pertinentes et innovantes en tenant compte de tous les enjeux du contexte client Implémenter et optimiser ces solutions dans les règles de l’art Conseiller les clients dans leurs choix Transmettre ton savoir-faire et participer à la capitalisation de connaissance des utilisateurs Notre structure à taille humaine est un cadre parfait pour te permettre d’évoluer rapidement en t’offrant l’opportunité d’intervenir à la fois sur les différentes phases d’un projet : cadrage / conception et mise en oeuvre / conduite de projet et encadrement d’équipe, mais également sur des activités à dominante commerciale : conception d’offres / rédaction de proposition / soutenance en clientèle.","Software, IT / Digital, Change Management",Bac +5,MeltOne Advisory,"MeltOne Advisory est une société de conseil en management et en système d’information indépendante et à taille humaine. Leur objectif est d’accompagner leurs clients dans leurs projets de transformation et de les aider à optimiser leurs processus afin de se recentrer sur les tâches à forte valeur ajoutée. Pourquoi ? Pour leur permettre de jouer un rôle central dans le pilotage de leur entreprise. Comment ? En fédérant toutes les énergies. En effet, derrière chaque projet, il y a des femmes et des hommes, avec un état d’esprit, des attentes et des besoins qui leur sont propres. Leur force réside dans leur agilité et leur capacité à épouser fidèlement les contours de chaque projet. Ils en rassemblent toutes les parties prenantes autour d’un seul et même objectif : l’optimisation des processus. Chez MeltOne, ils sont très fiers d’être arrivés 1er au palmarès Best Place to Work 2017 des entreprises – de 50 collaborateurs, et n°3 au palmarès Best Place to Work 2021 pour la catégorie 50-250 collaborateurs ! L’entreprise est convaincue que l’épanouissement de ses collaborateurs contribue à l’enrichissement de l’entreprise et participe aux succès de leurs clients.",Paris,2024-01-15T07:59:58Z
2024-01-15T01:51:03Z,Stage,DATA ENGINEER - H/F,"En tant que stagiaire, vous serez intégré au sein du pôle « INNOV IA » dont les principales missions sont les suivantes :  Mettre en place de façon continue les Proofs of Concept (POC) fonctionnels et techniques issus des analyses d’opportunité ; Benchmarker de façon régulière les outils du Bigdata, data science et d’Intelligence Artificielle ; Réaliser et préparer l’industrialisation des POC identifiés comme pertinents ;  Au sein de cette équipe d’une dizaine de spécialistes (data scientists et data engineers) travaillant en mode agile, vous participerez sous la responsabilité de votre tuteur à divers travaux de développement en soutien au équipes chargées des innovations en Data science et Intelligence Artificielle.  Parmi les travaux et livrables attendus d'un stagiaire, on peut citer :  Développer une application de reporting des temps consommés sur les projets (Stack : Python, Streamlit, PostgreSQL) ; Renforcer les outils de supervision et de monitoring des modèles de ML en production, en particulier, benchmarker les outils utilisés dans les pipelines MLOps (ex. DAGsHub, DVC, MLFlow etc.) ;   Développer un pipeline de traitement bigdata en pyspark, orchestré avec AirFlow ; Selon les opportunités au moment du stage, participer à un projet de réalisation d’un Proof of Concept ou à l’industrialisation d’un Minimal Viable Product.","Banking, Insurance",,Banque de France,"La Banque de France est une institution indépendante, au cœur des enjeux économiques et financiers et du fonctionnement de l’Europe. Ce rôle central permet à nos collaborateurs d’exercer des missions uniques, avec une forte dimension internationale. Depuis 1999, la Banque de France est membre de l’Eurosystème, l’autorité monétaire de la zone Euro, composée de la Banque Centrale Européenne (BCE) et des banques centrales nationales des pays ayant adopté l’Euro. Notre institution exerce aujourd’hui 3 grandes missions : La stratégie monétaire. La Banque de France participe, par ses études et travaux de recherches, à la préparation et à la mise en œuvre de la politique monétaire décidée par la BCE. Elle est également la gardienne de la monnaie sur notre territoire (émission et contrôle de la qualité de la monnaie fiduciaire). La stabilité financière. La Banque de France est chargée de la règlementation, de la prévention des risques et de la sécurité des dépôts des épargnants. Elle assure, grâce à l’ACPR, le contrôle des établissements financiers : banques, assurances et mutuelles. Elle veille également au bon fonctionnement des systèmes de paiement. Les services à l’économie et à la société. La Banque de France accompagne au quotidien les Français et les entreprises : traitement des dossiers de surendettement ; médiation du crédit, cotation et accompagnement des TPE-PME. Pour l’État, elle tient le compte du Trésor public, les comptes courants de bons du Trésor et élabore la balance des paiements.",Paris,2024-01-15T01:51:04Z
2024-01-14T22:59:09Z,CDI,Data Engineer H/F,"Participer à la définition des besoins et à la rédaction des User Stories, Collaborer avec les Data Scientists au développement des modules d’analyse de donnée, Concevoir et construire des architectures de données, Intégrer des sources de données, S'assurer que les données sont facilement accessibles et que leur exploitation fonctionne comme demandé, même dans des circonstances hautement évolutives, Exécuter des processus ETL (extraire / transformer / charger) à partir d'ensembles de données complexes et / ou volumineux. #LI-DOP","Specialised Engineering, IT / Digital, Strategy",,EXTIA,"Société de conseil spécialisée dans les métiers de l’IT, du digital et de l’ingénierie , nous privilégions depuis notre création en 2007  une approche qui allie performance et bien-être au travail. Récompensée depuis 2012 par le label Great Place to Work®, cette conviction s’incarne au quotidien dans notre marque de fabrique : « D’abord qui, ensuite quoi »  ! Nous partons du « Qui », de la personne, de ses aspirations et ses talents, pour ensuite co-construire le « Quoi », un projet porteur de sens et de valeur ajoutée pour elle et pour Extia.  🎯 Cette vision de l’entreprise est aujourd’hui partagée par  plus de 2500 Extien·ne·s  en France et à l’international  qui accompagnent nos 250 clients dans la réalisation de leurs projets.",Lille,2024-01-14T22:59:10Z
