date_publication,contrat,intitule,description,secteur_activite,niveau_etudes,entreprise,description_entreprise,ville,date_modif
2024-01-15T12:53:14Z,Stage,Stagiaire / Intern NLP Data Scientist : Country Risk ,"We are looking for passionate Data Scientists, looking to use and develop their NLP skills to create economic and financial alternative indicators to estimate sovereign risk in real time. The internship would be starting in February 2024 (for 6 months). Your mission will include: Taking part in Big Data projects in which you will use Natural Language Processing, and Machine Learning techniques Develop a project from scratch to create alternative data indicators from structured and unstructured data, to estimate an economic indicator (like economic anxiety or reputation index …) Understand the indicator and explore the different factors affecting it Explore and assess the quality of available data sources, think about new use cases What we offer: You will have the opportunity during these assignments to quickly gain responsibility: to lead a project from A to Z from pre-processing to modelling; benefiting from weekly updates on the global economy ; to communicate directly with our IT and Data Science teams who are at the forefront of their field ; present your work to the whole team at the end of the internship. We are a close-knit, friendly and multicultural team. We are looking for motivated people to join the adventure and participate in the development of QuantCube. Nous recherchons des Data Scientists passionnés, cherchant à utiliser et développer leurs compétences NLP pour créer des indicateurs alternatifs économiques et financiers afin d’estimer le risque souverain en temps réel. Le stage débuterait en février 2024 (pour une durée de 6 mois). Votre mission consistera à : Participer à des projets Big Data dans lesquels vous utiliserez des techniques de traitement du langage naturel, et d’apprentissage automatique. Développer un projet à partir de zéro pour créer des indicateurs de données alternatifs à partir de données structurées et non structurées, pour estimer un indicateur économique (comme l’anxiété économique ou l’indice de réputation…). Comprendre l’indicateur et explorer les différents facteurs qui l’affectent Explorer et évaluer la qualité des sources de données disponibles, réfléchir à de nouveaux cas d’utilisation. Ce que nous offrons : Vous aurez l’opportunité au cours de ces missions de gagner rapidement en responsabilité : mener un projet de A à Z, du prétraitement à la modélisation ; bénéficier de mises à jour hebdomadaires sur l’économie mondiale ; communiquer directement avec nos équipes IT et Data Science qui sont à la pointe dans leur domaine ; présenter votre travail à l’ensemble de l’équipe à la fin du stage. Nous sommes une équipe soudée, amicale et multiculturelle. Nous recherchons des personnes motivées pour rejoindre l’aventure et participer au développement de QuantCube.","Big Data, Finance",Bac +3,QuantCube Technology,"QuantCube Technology has been using artificial intelligence and big data analytics to provide real-time macroeconomic insights since 2013. The company operates one of the world’s largest alternative data lakes, processing over 14 billion pieces of data. Sources include news, social media, satellite data, and sea and air traffic. QuantCube’s macroeconomic indicators (economic growth, inflation, employment, international trade), correlate strongly with official data and far exceed consensus. Financial institutions that use QuantCube data benefit from real-time insights, ahead of official figures, which they can transform into investment strategies. Based in Paris, our team is international, diverse and specialized in multilingual NLP, Deep Learning and Machine Learning techniques. The company’s shareholders include Moody’s and Caisse des Dépôts. And its R&D in computer vision has been partially funded by the European Space Agency (ESA) and CNES.",Paris,2024-01-15T12:53:15Z
2024-01-15T11:40:36Z,Stage,Data Scientist - Stage 6 mois,"En pleine croissance sur son offre à destination des entreprises, Kobi propose, dans le cadre d’une formation en Stage de 6 mois et pour participer à une aventure riche et sportive, un poste de Data Scientist. Chez Kobi, la data est bien plus qu’un simple élément, c’est notre moteur de croissance et d’innovation. Au sein d’une équipe dynamique, tu devras poursuivre la diffusion d’une culture de la data chez Kobi et donner aux équipes les moyens d’être plus autonomes avec leurs données. Tu travailleras également en collaboration avec l’équipe Produit ayant pour objectif de leur permettre de justifier chaque décision produit et choix stratégiques par la data. Concrètement, tu effectueras des analyses approfondies de nos vastes ensembles de données pour aider toutes les équipes (par exemple, produit, réussite client, ingénierie, ventes, marketing) à prendre des décisions basées sur les données. Tes principales responsabilités : Analyses approfondies : Vous travaillerez en étroite collaboration avec toutes les équipes pour extraire et partager les informations dont nous avons besoin pour comprendre les comportements de nos clients et utilisateurs, prendre les bonnes décisions en matière de produits et analyser les performances de nos produits. Données pour les entreprises : Vous travaillerez avec nos équipes pour fournir des tableaux de bord qui permettent de surveiller les activités opérationnelles et d’exploiter toutes les données de terrain collectées pour prendre de meilleures décisions. Reporting de l’entreprise : vous contribuerez à rendre nos KPI opérationnels disponibles et automatisés en les extrayant à travers nos sources de données et en créant d’excellents tableaux de bord et rapports. Infrastructure de données : Vous travaillerez avec notre équipe d’ingénierie pour améliorer continuellement le prétraitement des données structurées et non structurées, les pipelines de collecte de données et tous les outils permettant de mieux exploiter toutes nos données.","Digital Marketing / Data Marketing, FinTech / InsurTech, Sports",Bac +5,Kobi (ex-GoMyPartner),"KOBI est la première solution à financer l’activité sportive des Français et la rendre accessible à tous 🙌 Mais avant tout, KOBI à vu le jour en 2018 grâce à Louise, la fille d’Adam (un des co-fondateurs), qui souhaitait faire du poney. Malheureusement pour Adam, cette pratique pour sa fille était bien trop onéreuse pour lui.  C’est à partir de là que nous avons imaginé un porte monnaie dans lequel nous allions pouvoir récupérer de l’argent auprès de différents acteurs pour le compte d’Adam & sa fille (mais exclusivement dans le domaine du sport). Résultat ? Aujourd’hui Louise ne pratique plus un seul sport, mais bel et bien 3 sports différents ! 🫶 La solution proposée par la start-up est un wallet financier permettant de financer son / ses activité(s) sportive(s) grâce à la participation d’acteurs privés et publics. Parmi les acteurs, nous retrouvons aussi bien des entreprises, des enseignes partenaires mais également des collectivités. Ils sont tous présents afin que vous puissiez pratique du sport à moindre couts !   La société a su développer sa notoriété en signant plus d’une vingtaine d’acteurs privés & public et en collaborant avec le Ministère chargé des sports. Aujourd’hui présent sur toute la France, la start-up compte bien poursuivre son développement à l’international et offrir de nouvelles fonctionnalités à ses utilisateurs.",Paris,2024-01-15T11:40:37Z
2024-01-15T10:02:06Z,CDI,Consultant(e) Senior Data Scientist - WiTADA,"Dans le cadre du lancement de notre nouvelle entité data WiTADA, nous recherchons nos premiers pionniers pour rejoindre l’aventure ! Nous recrutons Un.e  Senior Data Scientist  afin de d’accompagner nos clients sur des problématiques techniques et business liées à la data et nous accompagner dans la co-construction de l’entreprise en interne. En tant que Consultant(e) Senior Data Scientist chez WiTADA, ton rôle principal sera d’aider nos clients à résoudre leurs problèmes liés à la gestion des données. Cela implique diverses responsabilités passionnantes, notamment : Gestion des Données : Tu travailleras sur le traitement et l’analyse de données, ainsi que sur la gestion des infrastructures et des outils de données. Big Data : Tu utiliseras tes compétences algorithmiques pour traiter de grandes quantités de données, qu’elles soient structurées ou non. Statistiques et Machine Learning : Tu concevras des modèles pour aider nos clients à prendre des décisions éclairées, en utilisant des techniques d’apprentissage automatique et de statistiques. Recherche Opérationnelle : Tu contribueras à la conception de solutions d’optimisation dans des situations complexes. Communication Clairvoyante : Tu créeras des rapports et des présentations synthétiques et visuellement attrayants pour mettre en lumière les résultats de manière compréhensible. Lors de tes missions, tu auras l’occasion de : Gérer des Projets : Tu seras responsable de la gestion de projets de A à Z, avec une grande autonomie pour garantir la satisfaction de nos clients. Encadrer les Consultants : Tu aideras à former et guider nos consultants juniors et confirmés, et tu agiras en tant que référent pour le manager. Établir des Relations Clientèles Solides : Tu construiras des relations solides avec nos clients, en devenant un expert reconnu dans les domaines que tu traites. Contribuer au Développement de WiTADA : Tu participeras à la croissance de notre entreprise en proposant de nouvelles idées et en identifiant de nouvelles opportunités de collaboration avec nos clients. Promouvoir WiTADA : Tu contribueras à la notoriété de notre cabinet en publiant des articles, en participant à des études et en représentant notre cabinet lors d’événements professionnels. Renforcer nos Offres : Tu contribueras à améliorer nos services grâce à la formation, la collaboration interne, et la communication externe. En résumé, en tant que Consultant(e) Senior Data Scientist, tu auras un rôle clé tant dans la résolution de problèmes passionnants pour nos clients tout en contribuant au succès et au développement de WiTADA.","IT / Digital, Organization / Management, Digital",,Wivoo,"Wivoo est LA référence en conseil dans le Product Management et Product Design ! Créée en 2018, nous sommes déjà plus de 120. Notre objectif ? 150 collaborateurs d’ici 2024. 🔥 Nous serons et resterons 150 : notre volonté afin de conserver notre ADN.  Nos équipes exercent des rôles de Product Manager et Product Designer. C’est pour cela que nous recrutons les talents passionnés de la culture du produit avec une sensibilité UX, Tech, Marketing et Business, mais surtout les profils entrepreneurs pour rejoindre l’aventure ! Des grands groupes aux scale-up, nous accompagnons nos clients dans la construction de leur produit numérique de A à Z. ",Paris,2024-01-15T10:02:07Z
2024-01-15T09:52:52Z,CDI,Chargé(e) d'études micro-simulation Ines - Data Scientist F/H,"Vous souhaitez rejoindre une équipe expérimentée et mettre votre talent et votre énergie au service des Allocations Familiales, c'est ici ! Rejoignez notre direction des Statistiques, des Etudes et de la Recherche et participez au développement du modèle de micro-simulation Ines ! Qui sommes-nous ? L'entreprise  : La CNAF (Caisse Nationale des Allocations Familiales), tête de réseau des 101 CAF, représente la branche Famille de la Sécurité sociale et a pour mission de piloter la politique familiale et l'aide aux populations en situation de précarité ainsi que la politique d'action sociale. Votre futur service  : La Direction des Statistiques, des Etudes et de la Recherche (DSER) est composée d'une mission chargée de l'animation du réseau des chargés d'études des Caf et de trois départements : Le département statistiques, système d'information et big data  qui assure la production et la qualité des données statistiques et conduit l'implémentation des technologies « big data ». Le département Recherche, études et valorisation scientifique  qui s'occupe de construire la politique de recherche de la Branche, et des publications statistiques et de recherches ainsi que la réalisation de colloques et séminaires. Le département des analyses statistiques et économiques (Danse),  qui via des analyses économiques et statistiques, contrôle les évolutions des dépenses de prestations et des bénéficiaires de la branche, participe à la conception et la mise en œuvre des politiques publiques et des services en direction des allocataires. Rattaché(e) au département Danse, vous intégrez le pôle « prévisions, analyses des prestations légales » (9 personnes) qui couvre le champ des prestations familiales et des prestations de solidarité (RSA, prime d'activité, AAH, allocations logement…) servies par la branche famille. Concrètement votre futur quotidien ? Sur ce poste, vous travaillez en binôme dans le pôle et plus largement avec l'ensemble de l'équipe Ines de la Drees et de l'Insee pour produire le modèle, l'améliorer et l'utiliser pour des travaux de chiffrages et des études. Pour ces travaux, vous aurez également l'opportunité de mobiliser les données de la Cnaf sur ses 14 millions de bénéficiaires. Plus concrètement : Vous participez chaque année à la mise à jour du modèle pour prendre en compte la nouvelle enquête sur les revenus fiscaux et sociaux (ERFS) produite par l'Insee et intégrer l'évolution de la législation sociale et fiscale. Vous prenez part aux travaux de développement pour améliorer le modèle, par exemple la création d'un module spécifique pour simuler les modes d'accueil des jeunes enfants ou l'intégration des données sur les revenus infra-annuels dans Ines). Vous répondez aux demandes de chiffrage sur l'impact budgétaire et redistributif de nouvelles mesures. Vous contribuez aux études et aux évaluations menées à partir du modèle sur les effets redistributifs du système socio-fiscal, sur les politiques familiales et sociales, ou sur le non-recours aux prestations. Vous valorisez ces travaux par des notes, des présentations et des publications dans les collections de la Cnaf, ou dans celles de nos partenaires, Insee et Drees. Votre futur environnement de travail ? Vous évoluerez au sein d'un environnement de travail collaboratif, engageant, et en mouvement ! Intégrer la CNAF, c'est aussi pouvoir bénéficier de nombreux avantages : Travailler dans Paris  à proximité immédiate du parc Montsouris et accessible via le RER B, métro ligne 4 et 6, Possibilité de  télétravail , Flexibilité des horaires  de travail, Jusqu'à 20 RTT / an, Transport : remboursement à 50% de votre abonnement, bénéfice d'un forfait mobilité durable d'un maximum de 500€/an si vous utilisez des modes de transport alternatifs à la voiture individuelle, Pour votre  déjeuner  : Tickets restaurant (pris en charge à hauteur de 60%) et un restaurant d'entreprise, CSE avec des  œuvres sociales avantageuses  (sport, loisirs, voyages…), Une prime d' intéressement . Cette offre vous intéresse ?  Cliquez sur postuler ! Dans le cadre de sa politique de diversité, la CNAF ouvre ses offres d'emploi à toutes les candidatures.",Public Administration,Bac +5,La Sécurité Sociale,"Système de protection universel auquel chacun contribue à la hauteur de ses moyens, la Sécurité sociale accompagne tous nos concitoyens pour les protéger et les accompagner dans tous les moments de leur vie. La Sécurité sociale se compose de cinq grandes branches : La branche Famille aide les personnes dans leur quotidien et développe la solidarité envers les plus vulnérables. La branche Maladie et Accidents du travail-maladies professionnelles permet à chacun de se faire soigner et gère les risques au travail. La branche Retraite suit les carrières des salariés, les aide à préparer leur retraite et verse les pensions. La branche Autonomie aide à l’autonomie des personnes âgées et des personnes handicapées. La branche Recouvrement collecte les cotisations sociales pour les restituer au bénéfice des autres branches. Ce sont elles, ainsi que des régimes spécifiques à certaines catégories de population, qui forment le premier acteur de la solidarité en France. Chaque jour et dans toute la France, les 300 organismes de Sécurité sociale agissent pour améliorer le quotidien de chacun.",Paris,2024-01-15T09:52:55Z
2024-01-15T08:21:44Z,CDI,Data Scientist,"Vous participerez au développement de solutions  analytiques / IA ayant un vrai impact dans l’industrie. Les missions sont variées, avec des contextes et environnement techniques spécifiques à chaque projet. Vous devrez proposer des solutions articulant les modèles et algorithmes pertinents dans le respect des délais, avec un haut niveau de qualité. Le terrain de jeu est large. La plupart des développements sont en Python ou PySpark. Vous travaillerez au quotidien dans une équipe de haut niveau (X, ENS, Centrale, Ensimag, Supaero, etc.). Vous contribuerez au développement de briques technologiques propriétaires à fort impact (plateforme D3S et algos spécifiques). Une R&D active sur projet client et en interne nous permet de rester à la pointe sur les technologies développées","Organization / Management, Strategy, Change Management",,STEP Consulting,"STEP est un cabinet de conseil en stratégie et amélioration de la performance, reconnu comme un « cabinet à impact ». Il améliore la compétitivité de ses clients, leaders français et européens de l’industrie, en déployant des approches analytiques pour opérer des transformations pérennes. Leurs clients reconnaissent les atouts et les spécificités de leur positionnement: 60+ consultants expérimentés issus de grandes écoles (X, Supaéro, Centrale, …) et passionnés par les industries complexes 20 ans d’expérience dans l’industrie avec des engagements de long-terme avec leurs clients Une conviction forte sur la nécessité de renforcement de la souveraineté européenne Une équipe analytique dédiée (D3S) innovant dans la data science, travaillant en binôme avec les experts métier et assurant un transfert complet des solutions au client",Grenoble,2024-01-15T08:21:45Z
2024-01-15T08:55:20Z,CDI,Margo Analytics - Data Scientist - H/F,"Entité experte  de Margo Group des problématiques  Data, Cloud et DevOps  créée en 2020 par leurs fondateurs Raphaël et Mounir. Aujourd’hui  60 consultants  ont intégré l'entité et nous avons commencé à travailler avec  18 nouveaux clients  (Banque, Industrie, Assurance, Énergie, E commerce, Santé). A leurs côtés, vous pourrez évoluer rapidement et développer de nouvelles compétences.  Deux ADN fondateurs forts  et spécifiques à Margo Analytics à l’origine de l’entité : -  Toujours se positionner sur  les plus beaux sujets  et sur les  missions à fortes valeurs ajoutées -  Recruter  des  consultants passionnés  et  curieux  qui cherchent à être  challengés  Aujourd’hui, Margo Analytics possède  4 communautés  de compétences :  - Data engineer   - Data Science/ IA  - Galaxy OPS (devOps, dataOps, cloudOps) - Architecte Big Data  Ainsi en rejoignant Margo Analytics vous aurez le choix des missions (#consultantfirst) sur lesquelles vous souhaitez travailler. Vous serez accompagné par les deux fondateurs ainsi que par le leader de votre communauté, dont les rôles sont de rechercher le projet qui correspondra le plus à vos attentes et de vous accompagner dans votre carrière. 🎯 Les missions Margo Analytics  :  Au sein de la  communauté Data Scientist  vos missions seront :  -  Traiter, analyser et modéliser les données  puis et interpréter les résultats -  Définir les algorithmes  d’analyses   - Développer les  modèles descriptifs et prédictifs   - Faire de la veille sur les modèles de données et partage des bonnes pratiques  -  Collecter de grands volumes de données  afin de les transformer en lien avec les data engineer Nos stack Technique :  - Python - ML, Deep learning - IA - Spark 🙌 Les avantages :  - Tickets restaurants Swile  - Mutuelle Alan prise en charge à 100% - Pass Navigo pris en charge à 100% - Télétravail - Formations illimitées - Locaux en plein coeur de Paris - Places en crèches  🤝Notre processus de recrutement :   Notre processus de recrutement se fait en 3 étapes, réparties sur 7 à 15 jours maximum :  - Première rencontre !  Vous échangez avec un RH et un dirigeant sur votre parcours, vos aspirations professionnelles ainsi que sur Margo Analytics et les opportunités que nous proposons -   Challengez-vous  dans le cadre d’un entretien technique avec l’un de nos experts. C’est également l’occasion pour vous d’avoir son retour d’expérience - Dernier entretien de motivation  : pour finir, vous rencontrez un membre du board de Margo Analytics pour un entretien final  🔍 Vous êtes un(e) futur(e) Margo Analytics si :   Must-Have Vous êtes issu(e) d’une école d’ingénieur ou d’un cursus universitaire équivalent niveau  Bac + 5  / Master Vous êtes curieux(se) et vous vous intéressez aux dernières technologies du marché Vous justifiez d’une première expérience dans la data Nice to Have Vous êtes ambitieux(se) et n’avez pas peur de travailler sur des projets challengeants dans des environnements à fortes contraintes techniques . Vous parlez et comprenez l’anglais.  ","Software, IT / Digital",Bac +5,MARGO,"Plus qu’un simple groupe de conseil IT, MARGO est une alchimie de talents aux expertises constamment enrichies, à la dynamique toujours encouragée, à l’épanouissement toujours favorisé. Fidèles à notre esprit entrepreneurial, nous nous affranchissons des habitudes du secteur allant même jusqu’à casser les codes. Chez MARGO, nous savons que le dépassement de soi, ce n’est pas seulement franchir la haie du progrès, mais d’avoir toujours envie de la prochaine. En rejoignant MARGO, votre talent d’aujourd’hui restera d’actualité demain. Nous vous intégrons au groupe pas seulement pour ce que vous êtes aujourd’hui mais pour le potentiel que vous souhaitez développer. Chez MARGO, vous allez pouvoir construire votre propre parcours d’excellence au sein de nos équipes et de nos missions. Du sur-mesure au service de votre ambition et à la hauteur de votre talent.",Paris,2024-01-15T08:55:21Z
2024-01-14T22:08:29Z,CDI,DATA SCIENTIST H/F,"L'équipe Normes-Consolidation-Assurances au sein de la direction RisquesOpérationnels Contrôle Permanent & Filière Risques (ROCPF) est composée d'une responsable encadrant 4 analystes risques qui ont en charge les normes, méthodologie et procédures internes au sein de la direction, la consolidation de l'activité groupe du risques opérationnels et contrôle permanent, les assurances pour compte propre de CNP Assurances, le datamining. Dans ce cadre, nous recherchons un(e) Data Scientist. A ce titre, nous pourrons vous confier les missions suivantes :En tant que Data Analyste, vos objectifs seront la recherche proactive de pistes d'amélioration des processus opérationnels en matière de contrôle permanent et de gestion des risques, l'identification d'économies potentielles et l'amélioration de l'efficacité via un monitoring et une analyse continues des données de l'entreprise. Dans l'exercice de ce rôle, vous travaillez en collaboration avec toute la direction afin de :- Etudier, qualifier et exploiter les sources de données (BO, SAS, ...)- Mettre en œuvre, exploiter et faire évoluer différentes technologies de traitement de données et de restitution pour produire différents jeux d'indicateurs (Tableau, … )- Identifier des cas d'usages avec les analystes risques- Traduire les besoins en termes de données afin de les analyser et de transcrire les résultats d'analyse en plans d'action pour la direction","Banking, Insurance, Finance",,CNP Assurances,"Membre du Grand Pôle Financier Public, le Groupe CNP Assurances est un acteur de référence de l’assurance de personnes (assurance vie, retraite, emprunteur, prévoyance, santé, services, …), en France, en Europe et en Amérique Latine. CNP Assurances élabore ses offres en liaison étroite avec chacun de ses partenaires (La Banque Postale, BPCE, Banco Santander, etc.). Animée par une vocation citoyenne, nous agissons pour une société inclusive et durable en apportant au plus grand nombre des solutions d’assurance qui protègent et facilitent tous les parcours de vie. Nous sommes membre du Groupe La Banque Postale.",Issy-les-Moulineaux,2024-01-14T22:08:30Z
2024-01-13T00:21:12Z,CDI,Senior Data Scientist -  Deep Learning (x/f/m),"At Doctolib, we're on a mission to transform the way healthcare is delivered by leveraging the power of AI. As a Data Scientist, you'll play a critical role in developing and implementing cutting -edge AI solutions that will enable us to create an AI medical assistant that will support the Healthcare Professionals in their day to day job. In this role, you'll have the opportunity to work with a team of talented data scientists, software engineers, machine learning engineers and healthcare professionals to develop and deploy AI models that will have a real impact on people's lives. Doctolib is looking for a Senior Data Scientist to join our dedicated feature team in charge of shaping the new consultation experience powered by a medical assistant. Let’s make a direct impact of your work with easy access to final users (practitioners) or subject matter experts to empower our Clinical Product with AI. Your responsibilities include but are not limited to: Create, find or adapt model architecture, annotation or validation strategies to improve our speech recognition, summarization and medical data structuration engines Implement your ideas and test them Deploy your algorithms in production guided by our ML platform team Measure the uplift and continuously improve your approach  Who you are If you don’t meet all the requirements below but believe this opportunity matches your expectations and experience, we still encourage you to apply! You could be our next team mate if you:  Have analytical skills, are result oriented and user first Have 3 years of experience in the domain or shorter but with significant contribution (papers, open source) Are proficient in Deep Learning framework: Pytorch or Tensorflow Have knowledge of the latest NLP architecture (Transformer, LLM) and methods (fine tuning, distillation…) Now, it would be fantastic if you:  Have already launched large scale model training Have experience in collaborating with end users to refine  your modeling approach What we offer A stock -option program for each Doctoliber Quarterly bonuses and a competitive package A 6 -month dedicated onboarding program  - the Doctolib Academy Continuous training programs on all key competencies (English, soft skills, expertise)  Transparent internal mobility opportunities you're welcome to apply for 2 days per year to help health charities and create a positive social impact  - the Solidarity Days Mental health and wellbeing offer in partnership with moka.care The Doctolib Parent Care Program, including extended parental leave, meet -ups and inspiring conferences High -quality office spaces supporting collaboration, health and wellbeing A subsidy from the work council to refund part of the membership to a sport club or a creative class A competitive health insurance paid 100% by the company  Subsidy for lunch and various food offers in our offices  A flexible workplace policy offering both hybrid and office -based mode Flexibility days allowing to work in EU countries and the UK 10 days per year  A support for relocation in case of international mobilities and new joiners arriving to France, Germany and Italy from another country The interview process  HR Screen Interview with 2 members of the Data Science team Case Study & Case restitution Final interview with the DS Director At least one reference check  Job details Permanent position Full Time  Workplace : Paris area Start date: asap Remuneration : fix + bonus on objectives (according to your profile) A stock options plan for every Doctoliber At Doctolib, we believe in improving access to healthcare for everyone  - regardless of where you come from, what you look like. This translates into our recruitment process: Doctolib is an equal opportunity employer. We don't just accept diversity at Doctolib, we respect and celebrate it! The more diverse ideas are heard, the more our product will truly improve healthcare for all. You are welcome to apply to Doctolib, regardless of your gender, religion, age, sexual orientation, ethnicity, disability, or place of origin. If you have a disability, let us know if there's any way we can make the interview process smoother for you!  All the information transmitted via this form is processed by Doctolib for the purpose of managing applications. For more information on how Doctolib processes your application data, click  here . If you wish to exercise your rights or if you have any questions about the processing of your data, you can write to us at  hr.dataprivacy@doctolib.com .","Mobile Apps, Software, SaaS / Cloud Services, Health",,Doctolib,"Doctolib is a purpose-led company that strives for a healthier world with more than 2,800 employees across France, Italy, and Germany. Since 2013, Doctolib has been improving the daily lives of more than 340,000 healthcare professionals by providing them with new-generation technology and services.  Doctolib also serves more than 70 million patients, offering a fast, frictionless and secure journey for all their care needs.",Levallois-Perret,2024-01-15T00:18:19Z
2024-01-12T23:51:26Z,CDI,Data Scientist (PhD Graduates),"👫  About the team At Equativ, we’re on a mission to develop advertising technologies that empower our customers to reach their digital business goals. This means that we rely on massively scalable, widely distributed, highly available, and efficient software systems;  the platform deals with over 100 billions requests per day and above 40 Gbps of network traffic.   Our innovation team based in Paris, Nantes, Limoges, Krakow and Berlin is composed of 90 straightforward and energetic engineers working in an Agile environment and ready to tackle the most complex technical challenges.  Your mission 👇 You will join the data-science team based in Paris and be responsible for designing awesome machine learning algorithms and deploying them in a constrained dynamic environment with tough competition. We train our models in Google Cloud Platform with billions of logs, and serve them in our own data centers. We use Google Dataflow, AI Platform and Tensorflow. Our neural networks generate 1 million predictions per second, each prediction processed in less than 2 ms. You will have the chance to work on all kinds of machine learning problems (classification/regressions, time series, NLP, recommandation, reinforcement learning...) with all the data you can dream of (even more than that ;) ) and see the impact of your work every day. What you'll do ✏️ Translate business problems and feature needs to machine learning problems Design deep learning algorithms to enhance our products Implement always-on training pipelines in GCP with the help of the ML engineers Investigate and fix production problems of our models Keep learning on the latest technologies by discussing academic papers with the team, benchmarking open-source models, illimited access to Coursera... About you 💪 Young PhD Graduate in a scientific discipline (first job) (Minimum qualifications) Product-focused mindset: deliver real deep learning to solve our customers problems Familiarity with deep learning frameworks Knowledge developing performant Python code Understanding of data structures and algorithm complexity (Prefered qualifications) Young PhD Graduate in machine learning, statistic, control theory or computer science (first job) Proficiency in an object oriented language like Java or Scala Personal projects demonstrating your self-learning skills Experience in designing ML models with Google Cloud Platform products including but not limited: AI Platform, BigQuery and Dataflow 👋  About us   Equativ is the new single name for Smart Adserver, DynAdmic, LiquidM and Nowtilus — four proven innovators in advertising technology. The vertically integrated company provides brand and privacy-safe solutions that empower its clients to achieve maximum impact while respecting the rights of consumers. The union combines client expertise and engineering excellence to serve the interests of both the supply- side and demand-side with equal professionalism and technical sophistication. Headquartered in Paris and New York, Equativ operates globally with a team of more than 550 people in 20 offices. Equativ offers the market its own independent ad server, SSP, buyer tools, and media services to fulfill the promise of advertising technology. Learn more at  Equativ.com . The company is ranked on the Deloitte Technology Fast 500 EMEA and in the Financial Times’ FT 1000:  Europe’s Fastest-Growing Companies. Equativ (formerly Smart AdServer) has been awarded the  HappyIndex@Work label  and is proud to be among the best companies in the  ChooseMyCompany  ranking, recognized for its  flexible working environment. Come and lead the charge with us in  building a transparent ecosystem based on quality! ---------------------- Equativ is an equal opportunity employer. Equal access to employment, services, and programs are available to everyone, regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, or Veteran status. If you require reasonable accommodation throughout the application and/or interview process, please contact the recruitment team at ta-team@equativ.com",AdTech / MarTech,,Equativ,"Equativ is a French AdTech offering an advertising monetization platform for the most important websites in the world. Our objective ?  Disrupt the digital advertising industry through high-performance solutions, innovative formats, and exceptional quality. Based in the heart of Paris (IXᵉ), the company continues its international development around the world (opening of the Singapore office in 2019). We have been recognized in the “Champions de la Croissance” rankings by Les Echos and the”Fast 500 EMEA” by Deloitte. Our pride?  A team of over 500 employees who flourish through a corporate culture advocating ownership and who live through 3 essential values: Be brave, Be thoughtful, Be together.",Paris,2024-01-14T23:48:36Z
2024-01-12T23:45:09Z,Stage,Stage – Data Scientist / ML Engineer - F/H ,"Au sein de l’équipe Big Data de la Direction Informatique, Organisation & Data (DIOD) de Direct Assurance (groupe AXA), et en tant que ML Engineer junior, vous serez un élément clé de notre équipe d’experts en IA et en ML, et vous aurez l’opportunité de contribuer activement à l’innovation dans l’automatisation de l’entraînement et du déploiement des modèles grâce à l’utilisation de technologies MLOps de pointe (Databricks (Spark), MLFlow, Kedro).    Vos missions seront les suivantes : Apprendre et grandir: ·       Vous travaillerez aux côtés d'experts en IA et en ML qui vous accompagneront dans votre développement professionnel. Vous devrez prendre en main de nouveaux outils que vous n’aurez pas vu pendant votre formation afin de vous approprier le rôle du ML Engineer et ainsi vous intégrer à un environnement exigeant et stimulant. ·       Vous devrez apprendre à écrire du code de très haute qualité permettant d’industrialiser rapidement vos projets.   Participer à l’innovation : ·       Vous devrez exploiter les nouvelles technologies à notre disposition pour concevoir et implémenter des pipelines de traitement de données et d’entraînement de modèles permettant de toujours avoir des modèles performants en production. ·       Vous devrez participer à la diffusion de ces outils au sein des autres équipes de Direct Assurance afin de contribuer au développement de notre culture MLOps.   Développer de nouveaux outils : ·       Vous devrez contribuer à différents projets de R&D permettant de développer des fonctionnalités ou des librairies n’existant pas ailleurs qui nous permettront d’aller plus loin que l’état de l’art.","Banking, Insurance, FinTech / InsurTech",Bac +4,AXA,"Avec 6 000 recrutements par an en France rejoignez AXA, un leader mondial de l’assurance et de la gestion d’actifs. Ils accompagnent plus de 93 millions de clients qui leurs font confiance pour leurs biens, leur famille, leurs collaborateurs, leur patrimoine ou les actifs de leur entreprise. Chaque jour, ils agissent ensemble pour vous protéger en donnant à chacun les moyens de vivre une vie meilleure.  Un challenge qui donne le sourire !",Suresnes,2024-01-14T23:41:59Z
