date_publication,type_contrat,intitule,description,secteur_activite,niveau_etudes,entreprise,description_entreprise,ville,code_postal,date_modif
2024-01-11T12:15:40Z,full_time,"Chef de projet data analyst « méthodologie, protocole et exploitation d'enquêtes » - Ministère de l'Intérieur","Vos activités principales : Après avoir assuré la refonte du dispositif d’enquêtes de victimation, le SSMSI conduit l’enquête statistique nationale Vécu et Ressenti en matière de Sécurité (VRS) depuis 2022. La diffusion de résultats départementaux et l’approfondissement de certaines thématiques chaque année (relations police-population en 2022, santé et victimation en 2023) constituent notamment des avancées du nouveau dispositif. En tant que chef(fe) de projet : -            concevoir et ajuster le protocole des enquêtes du SSMSI et notamment de l’enquête VRS, -            piloter des travaux méthodologiques d’enquêtes afin notamment d’améliorer le protocole et d’apurer les données, -            superviser l’aval de ces enquêtes, -            concevoir le système d’information associé : mise en place de la collecte des données, définition des variables, conception de l’architecture fonctionnelle des bases de données,… -            valoriser les travaux méthodologiques via des communications et/ou publications scientifiques, -            participer au rapport méthodologique de l’enquête VRS (cf. Comité du label), -            coordonner scientifiquement les exploitations : harmonisation des exploitations/concepts et fiches du rapport VRS, veillle sur les projets d’études et les notes d’intention, relecture des études mobilisant les exploitations des enquêtes Genese et VRS. En outre, pour concevoir et valoriser l’enquête : -            contribuer à la conception des questionnaires et documents de collecte à destination des enquêteurs et des enquêtés, -            piloter les groupes de travail «  méthodologie d’enquête » et « diffusion des données », -            organiser et co-animer les réunions du Comité de concertation, -            participer aux projets de publications à partir des données produites dans la section.",Public Administration,Bac +4,Ministère de l'Intérieur et des Outre-mer,"Le ministère de l’Intérieur et des Outre-mer assure la sécurité des citoyens au quotidien. Il est aussi un acteur essentiel de la vie démocratique en organisant les élections et en garantissant les libertés publiques. Sur tout le territoire, les préfectures organisent la vie locale sous l’autorité du préfet dont les missions sont les suivantes : action interministérielle et la coordination des politiques publiques sécurité des personnes et des biens citoyenneté, la réglementation et la garantie des libertés publiques contrôle administratif des collectivités locales et des organismes publics.",Paris,,2024-01-11T12:15:42Z
2024-01-11T11:00:49Z,internship,Data Analyst - Internship - Paris,"About Stockly Stockly is a retail-tech company that targets to solve the problem of out-of-stock products in e-commerce. With our technology, e-retailers can keep selling out-of-stock products, making other retailers ship them directly to consumers. Our product is live across Europe and convinces more clients every day. Our mission is to create the world first global inventory for retail. To better understand what we do, check out  our French pitch at BFMTV , or  our English pitch at Techstars . We are looking for a smart and talented Data Analyst Intern to join the BI team working closely with our CTO  Oscar , our Head of Network  Pierre , our Financial Officer  Etienne  and our Business Developers (e.g.  Matthieu  &  Yann) . The BI is currently composed of  Maria  and  Anouar . You can apply even if it is to start in 6 months! Position [This is not a Data “Scientist” position, there are no Machine Learning or Artificial Intelligence components for now] To tackle our cross team challenges, you are a candidate willing to actively participate to the company development. In our growing team, everyone is key including you as you will be working on the frontier of several domains: Develop and maintain SQL dashboards, to monitor data and analyse performance Extract and interpret data for business requirements Train colleagues on data extraction & interpretation Identify new features to make our product evolve according to usage and needs Everytime you will face recurring tasks or pain points, you will be in charge of finding and implementing solution to tackle this and help the company and team move to next stage. Challenges Tackling an international market in a fast growing startup, you’ll have three main challenges: •  Complexity : a lot can happen in an e-commerce transaction, specially when you connect multiple players. •  Performance : Stockly manages tens of millions of articles, that’s a hell of a lot of web requests per day. •  Scalability : Being focus on growth, we require that published code still work with ten times more volume. 💝 About your future benefits Competitive packages : for this position, package range is typically  1500-2000€  depending on the profile (e.g. basic knowledge to expert). We have a well defined and objective salary grid that is based on both  skills level  and  scarcity of profiles  💸 Meal vouchers  by Swile 🍽️ 50%  reimbursement of your  Navigo Pass  🚋 A central and amazing  working environment  in  le Sentier  (Paris) 💼 Flexible and  remote-friendly policy  🏡 Possibility to take a  few paid days-off  to be discussed with Team Leader 🏄 Stockly dinners  together every other Thursday 🍻 Stockly breakfasts together  every other Friday 🥐 Coffee, tea and fruits  available everyday 🍇 Climbing, football & more  teams 🧗 If your internship goes well for both you and Stockly, why not join us?  We are growing fast, there is space for every amazing people! ⚙️ About how we work Every team has a  daily meeting  to align on priorities and solve issues ⇒  You won’t be left alone! Every Monday we have a global  weekly meeting  where every team shares what they are working on and what they will do for the coming week ⇒  You will have visibility on the whole company! Every quarter we have our  OKR meeting  ( Objectives, Key Results)  where each team shows the results of the previous quarter and the objectives of the following one ⇒  You will see the company grow and your own role inside of it! During all these meetings  everyone can challenge  each other and all questions are more than welcome ⇒  Transparency is one of our key values, and we are always open to new ideas!","Software, E-commerce",Bac +4,Stockly,"🔭  Stockly  is a  tech-retail company  solving the supply/demand mismatch in e-commerce. With our technology,  we connect in real-time e-commerce websites  in need for stock  with the inventory of hundreds of other retailers  who have the same products available, and who can fulfill the order on their behalf. E-retailers can  sell products they don’t own , while others can gain additional sales, in a  seamless experience for the end-consumer . 🏆 Our mission is to create the  world’s 1st globally shared inventory  for retail. To better understand what we do, check out  our french pitch at BFMTV  (🇫🇷), or  our English pitch at Techstars  (🇬🇧). 🚀 We’ve already raised  $20M+  with European top-tier investors among which  Daphni ,  Eurazeo  and  Raise . Our  proprietary technology , coded in-house from scratch,  is already live across Europe with 450+ e-retailers , we  grow x4 each year  and won’t stop there.",Paris,,2024-01-11T11:00:50Z
2024-01-11T09:49:08Z,full_time,DATA ANALYST,"Poste et missions  Le/la Data Analyst a pour mission d'exploiter et d'interpréter les données pour en dégager des observations métier utiles. - Identifier, extraire et analyser les données internes ou externes: * Exploiter et analyser les données à l'aide de ses connaissances analytiques et informatiques dans le but de résoudre les problématiques métiers - Apporter un appui analytique à l'analyse des besoins métier et des besoins des dirigeants: * Recueillir les demandes, identifier les enjeux et besoins, collecter les indicateurs et données nécessaires pour y répondre * Présenter les résultats des analyses pour faciliter la prise de décision * Créer des tableaux de bord, mettre en place des KPIs et reporting de performance pour donner une vision cohérente des résultats aux différentes équipes * Participer à la construction des objectifs commerciaux ainsi qu'à la déclinaison de ces objectifs dans les outils de pilotage - Contribuer à la modélisation et l'architecture des données: * Participer au choix des outils et de l'infrastructure Data * Donner des préconisations autour des variables utilisées / à utiliser / disponibles * Participer à l'industrialisation des outils de pilotage - Maintenir et documenter: * Produire des documents qui décrivent les produits, services, composants, procédures, indicateurs de gestion ou applications * Identifier et résoudre la cause initiale des incidents * Contribuer à la formalisation du support de démo - Contribuer à l'acculturation et à la sensibilisation de l'entreprise: * Vulgariser et synthétiser les informations pour les rendre compréhensibles par tous * Contrôler la qualité des données * Promouvoir et accompagner la prise en main des outils de pilotage de la performance","Banking, FinTech / InsurTech, Finance",Bac +5,Groupe BPCE,"Au sein du Groupe BPCE, venez découvrir un champ des possibles unique pour vous révéler et intégrer une communauté professionnelle multiactivité et multimarque ! Le Groupe BPCE est le deuxième acteur bancaire en France. Il est présent dans la banque de proximité et l’assurance en France avec ses deux grands réseaux Banque Populaire et Caisse d’Epargne ainsi que la Banque Palatine et Oney. Il déploie également au niveau mondial les métiers de gestion d’actifs et de fortune, avec Natixis Investment Managers, et de banque de grande clientèle avec Natixis  Corporate & Investment Banking. BPCE met au service du Groupe, de ses entreprises et de leurs clients, les expertises de ses équipes en charge de la stratégie, de la coordination et de l’animation du Groupe (les entités du pôle Solutions Expertises Financières, les opérateurs informatiques, les fonctions risques, finances, marketing, conformité… incluant l’organe central). ",Marseille,,2024-01-11T09:49:09Z
2024-01-11T09:28:34Z,internship,Data Analyst Intern,"We are looking for a  Data Analyst Intern  to support our growth and assist Benjamin, co-founder, and the whole team on all our Data topics. You main missions will be: Build, maintain and update our data dashboards stack Derive KPIs from multi-source data to track our business performance Build a reporting pipeline with the strategic team to enable data-driven business decisions Coordinate efforts between the tech and business teams on data related topics Do precise analysis on Business Case and/or on specific metrics (e.g.: analysis of the share of wallet) Understand and prepare product-related improvements through product data Gradually, you may have some missions related to Data Science / Data Engineer: Explore Machine Learning opportunities and implement our first data science-based features Improve and automate our data pipelines along with their monitoring tools Continuously improve our data stack Develop any data projects that can improve the team efficiency This internship is available from  March 2024  for a duration of  6 months .","Software, FinTech / InsurTech, SaaS / Cloud Services",Bac +4,JUST,"1-click & chill ✨ We are JUST, the magic button which turns any online shopping experience into an unforgettable ride.  Our purpose? Make shopping easy, fun and smooth. Just as it should be!  For brands, we simplify the checkout step by offering a 1-click buying option. What for? To optimise your buying journey, increase your conversion rates and make your clients come back, and not only once. As e-commerce experts, we are here to help you develop your online business.  For shoppers, we remove everything that can make online shopping frictional: passwords, forms and accounts. In a word, we make them gain time AND spend a great moment.  Created in 2021, and supported by Otium Capital, BPI France and top business angels, our headquarters are based in Paris.  Wanna get to know us a little more? Discover our job offers right now! Our JUSTers can’t wait to meet you!",Paris,,2024-01-11T09:28:35Z
2024-01-11T09:53:56Z,internship,Data Scientist / Data Analyst,"Les Risques Non financiers sont au cœur des préoccupations du Groupe par le coût qu'ils engendrent et les contraintes réglementaires fortes s'y attachant. Ils découlent de la défaillance d'un processus, du personnel, d'un système interne ou d'un événement extérieur. Dans le cadre de l'évolution de son organisation, la direction des Risques Non Financiers et du Contrôle Permanent s'est doté d'un datalabDatalab dont la mission est de construire, mettre à disposition et produire des analyses de Risques destinées à l'ensemble des acteurs du Groupe concernés par ces problématiques. Les activités liées à la gestion des Risques Non Financiers et du Contrôle Permanent sont en profonde transformation, en lien avec l'extension des capacités de stockage, de calcul et de traitement des données. Nous vous proposons de rejoindre le Datalab  des Risques N on-Financiers en qualité de Data Scientist / Data Analyst. Concrètement, vous serez amené(e) à : Porter un sujet orienté « recherche et développement » sur la gestion des Risques Non Financiers avec l'apport de la science des données (détection de signaux faibles, création d'indicateurs avancés de risque, développement de modèles de prédiction, exploitation de données internes et externes, …). Contribuer, en collaboration avec les autres Data Scientists et les équipes IT dédiées, à la mise en œuvre des solutions envisagées pour répondre aux besoins métiers exprimés (identification et organisation de la collecte des données, développement des modèles/algorithmes, mise en production, communication des résultats et des analyses, …). Participer à des activités transverses, que ce soit au niveau du datalab ou plus globalement des fonctions risques du groupe (définition de l'offre de service du datalab, sensibilisation/formation des métiers, veille technologique, …).","Banking, FinTech / InsurTech, Finance",Bac +5,Société Générale,"Fondée par un groupe d’entrepreneurs en 1864 pour financer le développement de l’économie française, Société Générale est aujourd’hui l’un des tout premiers groupes européens de services financiers.  Depuis près de 160 ans, nous accompagnons nos clients – particuliers, professionnels, entreprises, institutions – dans le développement de leurs projets en leur apportant des solutions financières responsables et innovantes. Mais notre engagement n’est pas tourné uniquement vers nos client(e)s. Il s’adresse aussi à vous, nos collaborateurs, présents et futurs, et à tout ce que vous pourrez entreprendre à nos côtés. Chacun(e) a son histoire, ses envies, ses idées, ses forces et ses faiblesses. Que vous nous rejoigniez pour quelques mois, quelques années ou toute votre carrière, il y a suffisamment de champs d’expertises, de défis à relever, de technologies à maîtriser pour que chacun trouve sa place. Où sera la vôtre ? C’est à vous de le décider !",Puteaux,,2024-01-11T09:53:58Z
2024-01-11T07:48:14Z,full_time,Data Analyst - 100% remote ,"Pourquoi nous recrutons 🔥 : BoondManager  ne cesse de  grandir  ! 🦊 Afin de répondre à notre  roadmap ambitieuse, Nous ouvrons  notre 1er poste de Data Analyst  au sein de l’équipe BI/Performance 🦊 Tout ça, c’est magnifique, mais on reste un peu sur notre faim… nos plus grands rêves sont : Devenir le  leader européen des ERP  pour les  sociétés de conseils  (on a de l’ambition). Aider l’ensemble des acteurs d’une entreprise à travailler “autrement”. Et pour ça, on a besoin de  toi  ! Nos grands principes 👌 : ✅ Mieux vaut s’excuser que de demander la permission. On encourage à 300 % la prise d’initiative ! ✅ Ne sois jamais satisfait de ton niveau de connaissance actuel. Apprends, cultive-toi, lis, écoute ! La (super) team 🏆 : L’équipe Performance est composée de talents pluridisciplinaires ! François  s’occupe de la data (ton futur binôme) Guillaume des projets de refactoring Manu de la stack ELK Rémi côté DevOps. Florens, ton futur manager La performance touche l’ensemble des équipes tech, tu travailles donc avec l’ensemble des  BoondBuilders,  soit 35 personnes autour de sujets Features, Mobile, Support N3, QA, Infra. Plutôt sympa donc ! Tes activités : 👇 Ce qui est méga cool, c’est que tu vas travailler sur des projets Data de bout en bout avec les services internes (produit, engineering). On te propose côté Dataviz : Création dashboard via superset (ou autre outil) R&D autour des outils Dataviz (on adore l’open source) Intégration des dashboards dans boondmanager en marque blanche et gestion des interactions avec l’application existante Accompagnement des diverses parties prenantes sur les sujets nécessitant de la dataviz (Sales, RH & Recrutement, CSM, PO, Market et nos clients) Conduite et aide au changement pour faire adopter l’outil de manière transverse Spécification et conception de dashboard de A à Z Côté Data Analyst Création de KPI via sql Challenger les perfs de nos Kpi (améliorer les temps de résultats) Réaliser les croisements de données pour la construction et le maintien du data warehouse Assurer la maintenance et l’évolution des KPI du produit Boond Côté Engineering Suivi de l’intégrité de la donnée (topologie, audit) Participer à l’alimentation du Datawarehouse Développement, maintien et l’évolution de l’architecture des données Recueillir les besoins des parties prenantes et spécifier les besoins en data Notre Stack technique 🌈 : Backend/Frontend  : Java, Python (à venir), PHP Data :  Trino, Pinot, Kafka, Outil Dataviz Comment travaille l’équipe Perfs 🦊 : On se retrouve tous les  lundis matin  avec l’ensemble de l’équipe Perfs Un One/one avec Florens toutes les semaines pour suivre ton évolution et te faire grandir Coworking virtuel 2x par semaine (non obligatoire) pour échanger avec le reste de la team Weekly avec toute l’équipe tech (les BB pour les intimes) le mercredi à 14h Ton Onboarding 🚀  : 1 mois : Prise en main de l’infra, de la data, notre architecture et le cycle d’alimentation Montée en compétence sur notre solution au travers de notre Boondgame Montée en compétence sur le métier/secteur de nos clients 3 mois : Autonomie dans l’analyse d’un KPI (debug prod d’un client sur son environnement, analyse et calcul valeur, enrichissement des données qui permet de calculer cette valeur, résolution). Être capable de mettre les mains dans l’intégration à boond des KPI (manipulé le backend) 6 mois : Capacité de créer des nouveaux KPI à partir des demandes de PO (requête sql permettant de le calculer) Capable d’intégrer de la dataviz. L’idée est que tu sois dans les  meilleures dispositions  en maîtrisant notre environnement 💪","Software, SaaS / Cloud Services",,BoondManager,"C’est en 2009 que l’aventure commence 🚀 Anthony et Tanguy  se lancent dans l’aventure dans l’entrepreneuriat et décident de créer une solution  SAAS ERP  à destination des ESN & sociétés de conseil, afin de “travailler autrement”.  BoondManager est ainsi né 🦊 Au cœur de  BoondManager , il y a l’idée que chacun(e) devrait avoir la possibilité de se réaliser dans son travail et sa carrière, de pouvoir “les” concilier avec sa vie personnelle. 🫶 Notre ADN ❤️ : Nos 70  Boonders  sont en  full remote/100% télétravail  dans toute la France. Le télétravail, on connait bien, on le pratique depuis 14 ans. Notre mission ⭐⭐⭐⭐⭐  : Fédérer sur un même outil aussi bien les consultants, les recruteurs, les commerciaux, les administratifs et les dirigeants autour de divers modules (Recrutement, RH, CRM, gestion des opportunités, facturation, CRA) pour “travailler autrement”  On connaît une ascension fulgurante chez BoondManager : On est passé leader de notre marché avec près de   1500 clients  et une croissance de 30% 🤝 On dénombre pas moins  70.000 utilisateurs  partout dans le monde !  Boond est rentable et  autofinancée  💵 La Boondfamily est passée de  30 à 75 personnes  en 2 ans 🥰  Liens utiles  : Un podcast sur notre culture d’entreprise :  https://urlr.me/8gtjV Voici à quoi ressemble notre solution :  https://bit.ly/41WfKZ5 Ce que nos clients pensent de Boond :  https://bit.ly/3l7TvPb Et toi, partant.e pour l’aventure ? 👇",Brest,,2024-01-11T07:48:14Z
2024-01-11T02:18:45Z,internship,Data Analyst Internship - Strategic Partnerships m/f/d,"As a Data Analytics intern specializing in Strategic Partnerships, your role will be instrumental in bolstering the team's success in partnerships through comprehensive data analysis.At Deezer, our data analysts play a crucial role in ensuring that every strategic move is grounded in robust data-driven insights. They maintain a dynamic and progressive approach, constantly evolving their methodologies, analytical proficiency, and business acumen. Key responsibilities of your role: Collaborate closely with commercial and partnerships stakeholders to grasp their objectives and obstacles. Keep a vigilant eye on critical business Key Performance Indicators (KPIs) and conduct in-depth analyses, empowering stakeholders with valuable insights for informed decision-making. Develop, construct, and manage data visualizations and dashboards to render data accessible and comprehensible. Enhance and automate routine business reports, establishing a foundation for consistent data analysis for stakeholders.","Media, Music, Digital",,Deezer,"LIVE THE MUSIC WITH US   From a pioneer tech start-up created in 2007, Deezer has become one of the first French unicorns and the second largest independent music streaming platform in the world. At sixteen years old, we’re only just coming of age. Now listed on #EuroNext, Deezer is a rapidly-growing, cutting-edge player in the music streaming market. If you want an environment where you can make your voice heard and be at the forefront of music and tech, look no further!",Paris,,2024-01-11T02:18:46Z
2024-01-11T00:08:13Z,full_time,Consultant Confirmé Data Scientist / Data Analyst (H/F),"Vous intégrerez le Pôle Data Science, constitué de 90 personnes intervenant directement chez le client ou depuis le siège. Nous accompagnons nos clients sur toutes les problématiques métier qui touchent à la Data : - La connaissance client pour accompagner les annonceurs dans la personnalisation et l’optimisation du parcours client (dont la mise en place d’outils de modélisation tels que des segmentations, scores…) -  L’Intelligence Artificielle et la Data Science pour mettre en place des outils permettant d’optimiser les processus d’entreprises et proposer de nouveaux services apporteurs de valeur -  Le développement de l’insight sur des données CRM, Digitales et Média pour apporter une vision 360 aux annonceurs afin de les aider dans leur prise de décision, dans leurs choix d’investissements médias et digitaux (modèles d’attributions et de contribution, MMM…) et dans le développement d’outils permettant d’acquérir des nouvelles cibles à travers des analyses de parcours et des look alike. QUE FAIT UN CONSULTANT CONFIRME DATA SCIENTIST/DATA ANALYST (H/F)  - Réalisez des études statistiques (data management, reporting, scoring, segmentation, analyses de résultats d’enquêtes …) adaptées aux besoins de nos clients - Déployez les méthodes de Machine Learning adaptées pour répondre aux problématiques    posées, - Restituez les résultats au client dans le respect des engagements de qualité et de délai, - Mesurez l’efficacité des actions marketing et digitales mises en place, - Participez au développement de nouvelles approches.","Marketing / Communications, Advertising, Digital, Public Relations, AdTech / MarTech, Event Management, Design",,Publicis France,"Leader français du marketing, de la communication et de la transformation digitale des entreprises, le groupe Publicis s’appuie sur un modèle unique qui allie créativité, technologie, médias avec au cœur la data.  Présidé par Agathe Bousquet, Publicis Groupe en France est une Talent company riche de plus de 5 000 collaborateurs, répartis dans 26 agences, qui accompagnent près de 600 clients. En France, le groupe est organisé autour des activités de création avec les agences Publicis Conseil, Marcel, Leo Burnett Paris, Saatchi & Saatchi, Publicis Consultants, PublicisLive, Carré noir, Publicis Luxe, Prodigious, Razorfish. Le groupe est également un acteur puissant des medias avec ses agences Publicis Media, Starcom, Zenith, Spark Foundry, Blue449, Performics. Enfin il intervient dans la transformation numérique avec Publicis Sapient, et dans la data avec Epsilon. Ainsi grâce à une puissante alchimie, de la créativité et de la technologie, Publicis pilote la transformation des entreprises sur toute la chaine de valeur.  La responsabilité sociétale de l’entreprise (RSE) irrigue tous ces métiers et fait partie intégrante de la stratégie globale de Publicis. Le groupe est par ailleurs le premier réseau en nombre d’agences à avoir obtenu le label RSE Agences Actives délivré par l’AACC avec 12 agences labellisées.  Publicis, c’est aussi « Viva la différence ! ». Persuadé que la diversité est un puissant moteur de créativité et de performance, Publicis s’engage sur de nombreux sujets pour promouvoir l’égalité des chances et renforcer l’égalité des origines. Le groupe est convaincu que la somme de ses différences fait sa richesse. ",Wasquehal,,2024-01-11T00:08:13Z
2024-01-10T23:08:36Z,full_time,Data Analyst au sein de la Digital Services Factory F/H,"Dans le cadre de sa transformation digitale, le Support et Services Safran Aircraft Engines, au sein de sa Digital Services Factory (DSF), recrute un Data Analyst. Dans le cadre de la mise en place des Data Stores au sein du Support et Services (MRO, gestion de flotte, données de vol, etc…), le Data Analyst met en œuvre des outils informatiques, des techniques et des méthodes statistiques pour permettre d'organiser, synthétiser et traduire efficacement des données, « les faire parler » pour faciliter la prise de décision en fonction des besoins des opérationnels. Il est en charge de : • Mettre en place des tableaux de bord de consolidation des données des Stores • Fournir un appui analytique à la conduite d'exploration et à l'analyse complexe des données • Identifier et gérer les données structurées et non structurées, en collaboration avec les Data Stewards, et créer une structure d'information pour permettre leur exploitation • Organiser, synthétiser et traduire les informations pour faciliter la prise de décision pour le métier • Vulgariser et restituer de manière pertinente et sous un format exploitable les résultats aux décideurs • Produire la documentation en lien avec toutes les activités menées : documentation de synthèse d'analyse, de modélisation, procédures de tests et résultats de tests, support informatif/tutoriel Il est intégré au sein d'un pool Data Office et travaille en étroite collaboration avec le Data Manager SRV.",Aeronautics / Space,Bac +5,Safran Aircraft Engines,"Safran Aircraft Engines conçoit, développe, produit, commercialise et supporte, seul ou en coopération, des moteurs aéronautiques civils et militaires aux meilleurs niveaux de performance. La société est notamment, à travers CFM International, le leader mondial de la propulsion d’avions commerciaux courts et moyen-courriers avec les gammes de moteurs CFM56 et LEAP qui équipent les dernières générations d’avions de la famille Airbus A320neo et Boeing 737 MAX.  Dans le domaine de la propulsion militaire, la société a intégralement conçu, développé et produit le M88 et le M53 qui équipent respectivement le Rafale et le Mirage 2000 et sera intégrateur du moteur du futur avion de combat européen (Next Génération Fighter) du SCAF, dont l’entrée en service est prévue d’ici 2040.  En 2021, Safran a signé aux côtés des leaders de l’industrie aéronautique la déclaration de l’ATAG qui vise à garantir la neutralité carbone du secteur en 2050. Cet engagement se traduit par l’activation de plusieurs leviers, dont le développement de moteurs en rupture ultra-efficaces qui seront compatibles avec 100% de biocarburants et de l’hydrogène.  Safran Aircraft Engines travaille sur cet axe dans le cadre du programme RISE de CFM.",Évry-Courcouronnes,,2024-01-10T23:08:36Z
2024-01-10T19:57:38Z,full_time,ESG Data Analyst - Operations,"We are an ambitious impact start up with a goal of making sustainability data more standardized and available. We are looking for an employee at a core position between our ESG Expert Team and our Data Team to handle regular customer data management processes. Purpose and responsibilities include: Helping with regular processes for servicing client data Mandating the data team for tools for data extraction, analysis, and manipulation Ensuring data quality in the app, under the supervision of our team of ESG Experts","Software, Artificial Intelligence / Machine Learning, SaaS / Cloud Services",,APIDAY,Apiday is a next-generation of sustainability software. It helps measure the environmental and social impact of any kind of company and investment firm. Apiday is built on the philosophy that sustainability should be easy while creating tangible value.,Paris,,2024-01-10T19:57:39Z
