date_publication,contrat,intitule,description,secteur_activite,niveau_etudes,entreprise,description_entreprise,ville,date_modif
2024-01-10 16:27:22+00:00,CDI,Data Engineer (3 ans d'exp min) (H/F),"Chez Datayett, une entreprise jeune et dynamique spécialisée dans les solutions de traitement des données, nous recherchons un(e) Data Engineer passionné(e) et motivé(e) pour rejoindre notre équipe. Si vous êtes prêt(e) à relever des défis stimulants, à travailler dans un environnement innovant alors nous sommes impatients de vous rencontrer !Description de l'emploi :En tant que Data Engineer chez Datayett, vous jouerez un rôle clé dans la conception, le développement et la mise en œuvre de solutions Data. Vous travaillerez en étroite collaboration avec notre équipe talentueuse et multidisciplinaire pour résoudre des problèmes complexes et relever les défis liés à la gestion des données. En tant que Data Engineer, vous participerez à la conception, au développement et à la mise en œuvre de solutions Data, BI & Analytics.Responsabilités :Collaborer avec l'équipe pour comprendre les besoins Data et les objectifs du projet.Concevoir et développer des pipelines Data robustes et évolutifs à l'aide d'outils tels qu'Informatica, DBT et Airflow pour l'ingestion, le traitement et la transformation des données.Participer à l'optimisation des performances des systèmes de traitement des données.Assurer la qualité et l'intégrité des données tout au long du processus.Exigences :Diplôme universitaire en informatique, en génie logiciel, en statistiques ou dans un domaine connexe.4 ans d'expériences dans le domaine de la Data.Solides compétences en programmation, de préférence en Python, SQL et/ou R.Expérience avec les plateformes cloud Azure, GCP ou AWS pour le déploiement et la gestion des solutions de données.Connaissance des outils ETL tels qu'Informatica, Dbt et Airflow pour le traitement et la transformation des données.Compréhension des concepts de bases de données relationnelles et de l'architecture des entrepôts de données et des outils tels que Snowflake, MangoDB Redshift etc...Capacité à travailler en équipe, à communiquer efficacement et à s'adapter rapidement.Passion pour les données, la résolution de problèmes et la recherche de solutions innovantesLocalisation: Bordeaux.Rejoignez notre équipe chez Datayett pour contribuer à façonner l'avenir des solutions Data.",Conseil en systèmes et logiciels informatiques,,DATAYETT CONSULTING,,Bordeaux,2024-01-15 09:32:18+00:00
2024-01-10 12:23:14+00:00,CDI,Tech Lead Data Engineer (Lyon) H/F (H/F),"A propos de JEMSNous sommes le seul industriel de la donnée en Europe. Notre métier est de créer, manager et exploiter le patrimoine data de nos clients.Nous avons la conviction que chaque entreprise peut adopter une démarche innovante de gestion de la donnée et créer des cas d'usage disruptifs en réduisant l'impact écologique et en diminuant la dette technique.Nous comptons plus de 900 collaborateurs en mission chez nos clients grands comptes dans tout secteur d'activité : banque, assurance, santé, énergie, e-commerce, automobile, luxe, retail, transport, agritech Nous recherchons un(e) Tech Lead Data Engineer capable de trouver des solutions innovantes et robustes à l'ensemble des problématiques Data.Vous aurez la charge de :Assurer la mise en œuvre de l'accès, du référencement et de la qualité de la donnéeAssurer l'industrialisation, la supervision et l'intégration des solutionsRédiger les normes de développementParticiper à la rédaction du manuel d'exploitationEn tant que Tech Lead, vous savez vous présenter et promouvoir des architectures data face au client. Vous savez identifier et comprendre les besoins métiers.Vous savez identifier et comprendre les besoins métiers.Vous formez, encadrez et faites évoluer les consultants juniorsVous participez à la réponse aux appels d'offres (avant-vente)En tant que Tech Lead Data Engineer vous maîtrisez :Le langage SQLUn langage objet (Python, JAVA, Scala)Un framework de calcul distribuéUn bus de messages: Kafka, RabbitMQDes Outils d'alimentation de données: Talend, Matillion, StambiaDes Moteurs de recherche: suite ELK (ElasticSearch, Logstash, Kibana), SolR, services CloudLe Stockage des données: stockage objet et/ou distribué (HDFS, deltalake ou blob/S3)L'intégration continue (Git, JUnit, SonarQube, Jenkins)Un cloud provider (AWS, GCP, Azure) ou une distribution Big Data (Hortonworks, Cloudera, Datastax)Les concepts de la modélisation relationnelle et non-relationnelleVotre profilDiplômé(e) d'une école d'ingénieur ou d'une université, vous justifiez d'une expérience professionnelle dans un contexte projet Data. Rigoureux, proactif et autonome vous restez en veille technologique et êtes force de proposition. Vous êtes capable de prendre de la hauteur et vous adapter aux enjeux du projet.Avantages à travailler chez JEMSUne JEMS Académie au service de votre montée en compétences (formations et certifications sur les technologies de pointe)Un accompagnement personnalisé et un management de proximité pour vous proposer des évolutions de carrièreUne intégration dans des communautés techniques et de pratiques JEMS (encadrement par des experts, échanges sur les bonnes pratiques, favoriser l'innovation...)Une entreprise reconnue ""Great Place To Work""Des évènements et séminaires inoubliables, des soirées d'agence convivialesMobilitéUne mobilité nationale et internationale pour vous accompagner dans vos projets de vie.DiversitéLe Groupe JEMS porte fièrement sa valeur ""Diversité"" en se mobilisant pour l'inclusion et l'égalité des chances et en luttant contre toutes formes de discrimination.Tous nos postes sont ouverts aux personnes en situation de handicap.",Conseil en systèmes et logiciels informatiques,,JEMS DATAFACTORY,,Lyon,2024-01-12 09:11:28+00:00
2024-01-09 12:25:42+00:00,CDI,Data engineer Google cloud plateforme (H/F),"Genius Tech recrute pour l'un des ses clients un Data engineer expert Google cloud plateforme Descriptif des missions :Le Data engineer Google cloud plateforme est responsable de la conception du developpement et de la maintenance de solutions de données sur la plateforme Google Cloud Misions et responsabilités:- Conception et mise en place de solutions de données sur GCP-Sécurité et conformité des données -Création et maintien des flux d'ingestion et de traitement de données -Developpement de l'algorithme , architecture et APIs-Assurer la qualité du developpement Compétences techniques requises:- Expetise sur Google cloud plteforme-Langage de programmation : Python et Java-Approche DevOps / Terraform",Conseil pour les affaires et autres conseils de gestion,,,,Paris,2024-01-15 12:41:05+00:00
2024-01-09 09:51:24+00:00,CDI,Data Engineer - (H/F),"Nous recrutons un/une Ingénieur Data Engineer junior pour rejoindre notre Business Unit INDUSTRIE au sein de la Business Line Data & Process Intelligence. Elle accompagne nos clients dans leurs problématiques associées à la transformation digitale. Nos offres se déclinent autour de la data intelligence & de la maintenance prédictive, de la digitalisation des processus industriels et du SI Métiers.Votre mission :Dans le cadre de projets, vous rejoindrez notre équipe et participerez aux missions suivantes :- Concevoir et développer des outils de traitements et processing de données- Déploiement, industrialisation et tests de solutions développées,- Monitoring et analyse de flux de données. - Rédiger les rapports d'analyse de données, et assurer la présentation au client- Savoir utiliser les outils d'analyse et de visualisation de données- Environnement cloudL'environnement technique :Bases de Données : AWS RDS, No SQL, MongoDB, Apache Cassandra, HBase et Amazon dynamoDBFramework : Hadoop, Hortonworks, Spark, AirflowOutils de containerisation : Docker / Kubernetes Cloud computing: AWS (IAM, S3, EC2, etc.)  ou équivalent chez un autre fournisseur de services cloudLangages: Java, Python, ScalaVisualisation : Dash, Grafana, PythonQui êtes-vous ?De formation Bac+5, vous avez une première expérience en Data Engineering ou Data Science, idéalement dans le secteur aéronautique.La connaissance des techniques et outils de traitement de la donnée en Python, Spark/Hadoop dans un environnement cloud vous sera demandé dans l'exercice de votre fonction. L'utilisation d'outil de data mining et analyse de données serait un plus.Un niveau d'anglais courant est requis.Vous êtes autonome et vous savez faire preuve de capacité d'analyse ? Vous êtes bon communiquant et créatif ? Alors vous êtes la pépite que nous recherchons !A compétences égales, ce poste est ouvert aux personnes en situation de handicap.Qui sommes-nous ?La Business Unit INDUSTRIE contribue aux développements de programmes dans les domaines de la simulation, la transformation digitale et le développement de systèmes critiques. Elle est un acteur référent sur l'Intelligence de la donnée (Data Engineering & Data Science), la digitalisation des processus (PLM), la simulation numérique, le développement de logiciels embarqués & certifiés ainsi que la sécurisation des systèmes (cybersécurité).",Programmation informatique,Bac +5,CS GROUP - FRANCE,,Toulouse,2024-01-12 10:43:29+00:00
2024-01-05 11:21:36+00:00,CDI,Data Architect / Data Engineer / Data Scientist - Avignon (H/F),"PRESENTATION D'ELIPCE :Experte en développement logiciel & data et interprétation métier, Elipce se positionne sur 3 axes : efficacité opérationnelle, business intelligence et centre de services logiciels.Pour accompagner nos clients, nous créons des solutions digitales adaptées, qui correspondent à leur fonctionnement et à la réalité de leur entreprise. Nous proposons également des solutions d'externalisation permettant d'assurer la maintenance, l'évolution ou le développement d'applications logicielles pour le compte de nos clients, via la mise à disposition de pool de compétences au sein des équipes client et sur nos plateaux techniques.Nous nous engageons à fournir des solutions de qualité, à promouvoir l'innovation et à cultiver une véritable cohésion au sein de notre équipe.DESCRIPTION DU POSTE : Au sein d'une équipe, vous assurez le cycle de vie des applications développées avec de grands challenges techniques et organisationnels pour accompagner nos clients dans la transformation de leurs SI. MISSIONS PRINCIPALES : Modéliser, traiter et transformer des données complexesConcevoir une solution de stockage de données (modèle en étoile)Développer des connecteurs ou passerelles de données à l'aide des outils ETL (Talend)Lire, comprendre et rédiger des documents techniques en lien avec le poste de Data Architect / Data Engineer : dictionnaire de données, modélisation Merise, UML, matrice de busRester à jour et en veille sur les différentes technologies et méthodes liées au poste de Data Architect / Data Engineer par le biais de l'auto formation ou la formation professionnelleDes compétences en machine learning / IA au sens large sont appréciéesPROFIL RECHERCHÉ : Vous êtes Data Architect et / ou Data Engineer et / ou Data Scientist confirmé ou aguerri ? Vous souhaitez intégrer une équipe jeune, dynamique et relever de nouveaux challenges ? Vous avez besoin de transversalité, d'autonomie et ne pas être cantonné à une seule tâche ? Vous êtes curieux et souhaitez explorer des données en provenance de différents secteurs (industrie, finance, transport, service  ) ?Le poste est fait pour vous !Vous êtes ou avez été analyste programmeur ? Vous êtes curieux de savoir la différence entre une base de données et un entrepôt de données ? Vous avez envie d'aller plus loin que le simple stockage et vous souhaitez apprendre à valoriser les données ? Ce poste vous permettra de vous épanouir par la formation aux technologies et techniques en business intelligence. N'hésitez pas à postuler !QUALITÉS REQUISES : Couteau SuisseOrganisé, réactif et rigoureuxGoût du travail en équipeEtre créatif, avoir le sens de l'innovationAvoir un état d'esprit analytique et de synthèseForce de propositionBONUS :Mutuelle Prise en charge à 100%Accord d'intéressementVélo électrique de fonction (à la demande)Séance de sport en entrepriseVous recherchez un cadre de vie qui allie le bien-être, la nature et la modernité. La Drôme, 1er département bio de France, offre cette vie agréable et propice à la détente sous un climat favorable : ensoleillement majeur, montagne, vigne, lavande, etc.  ! Vous êtes à 2 H de la mer et des stations alpines",Programmation informatique,,ELIPCE INFORMATIQUE,,Avignon,2024-01-15 12:09:44+00:00
2024-01-05 11:17:43+00:00,CDI,Data Architect / Data Engineer / Data Scientist - Valence (H/F),"PRESENTATION D'ELIPCE :Experte en développement logiciel & data et interprétation métier, Elipce se positionne sur 3 axes : efficacité opérationnelle, business intelligence et centre de services logiciels.Pour accompagner nos clients, nous créons des solutions digitales adaptées, qui correspondent à leur fonctionnement et à la réalité de leur entreprise. Nous proposons également des solutions d'externalisation permettant d'assurer la maintenance, l'évolution ou le développement d'applications logicielles pour le compte de nos clients, via la mise à disposition de pool de compétences au sein des équipes client et sur nos plateaux techniques.Nous nous engageons à fournir des solutions de qualité, à promouvoir l'innovation et à cultiver une véritable cohésion au sein de notre équipe.DESCRIPTION DU POSTE : Au sein d'une équipe, vous assurez le cycle de vie des applications développées avec de grands challenges techniques et organisationnels pour accompagner nos clients dans la transformation de leurs SI.MISSIONS PRINCIPALES : Modéliser, traiter et transformer des données complexesConcevoir une solution de stockage de données (modèle en étoile)Développer des connecteurs ou passerelles de données à l'aide des outils ETL (Talend)Lire, comprendre et rédiger des documents techniques en lien avec le poste de Data Architect / Data Engineer : dictionnaire de données, modélisation Merise, UML, matrice de busRester à jour et en veille sur les différentes technologies et méthodes liées au poste de Data Architect / Data Engineer par le biais de l'auto formation ou la formation professionnelleDes compétences en machine learning / IA au sens large sont appréciéesPROFIL RECHERCHÉ : Vous êtes Data Architect et / ou Data Engineer et / ou Data Scientist confirmé ou aguerri ? Vous souhaitez intégrer une équipe jeune, dynamique et relever de nouveaux challenges ? Vous avez besoin de transversalité, d'autonomie et ne pas être cantonné à une seule tâche ? Vous êtes curieux et souhaitez explorer des données en provenance de différents secteurs (industrie, finance, transport, service  ) ?Le poste est fait pour vous !Vous êtes ou avez été analyste programmeur ? Vous êtes curieux de savoir la différence entre une base de données et un entrepôt de données ? Vous avez envie d'aller plus loin que le simple stockage et vous souhaitez apprendre à valoriser les données ? Ce poste vous permettra de vous épanouir par la formation aux technologies et techniques en business intelligence. N'hésitez pas à postuler !QUALITÉS REQUISES : Couteau SuisseOrganisé, réactif et rigoureuxGoût du travail en équipeEtre créatif, avoir le sens de l'innovationAvoir un état d'esprit analytique et de synthèseForce de propositionBONUS :Mutuelle Prise en charge à 100%Accord d'intéressementVélo électrique de fonction (à la demande)Séance de sport en entrepriseVous recherchez un cadre de vie qui allie le bien-être, la nature et la modernité. La Drôme, 1er département bio de France, offre cette vie agréable et propice à la détente sous un climat favorable : ensoleillement majeur, montagne, vigne, lavande, etc. Vous êtes à 2 H de la mer et des stations alpines",Programmation informatique,,ELIPCE INFORMATIQUE,,Valence,2024-01-13 18:13:47+00:00
2024-01-02 11:19:10+00:00,CDI,Senior Data Engineer     (H/F),"La Data, c'est votre dada, vous êtes câblé(e) comme ça : vous aimez collecter et traiter des données pour les mettre à disposition des autres.Votre mission, si vous l'acceptez :- Comprendre et analyser des besoins métiers.- Concevoir et réaliser des processus optimisés d'ingestion et de traitement de données dans des architectures lakehouse et data mesh.- Organiser et urbaniser le stockage des données.- Industrialiser des modèles de Machine Learning.- Exposer des données via le développement d'APIs.- Réaliser des tests de validation des traitements.C'est comment être consultant.e chez dcube ?Nos consultant.e.s sont toutes et tous en CDI, ils interviennent en mission chez nos clients, mais ils ont aussi le choix de travailler depuis les locaux de dcube ou depuis chez eux en télétravail ponctuel.Ils travaillent parfois à plusieurs sur un projet, parfois en solo, mais ils peuvent toujours compter sur le soutien de leur manager référent et de leur lead practice pour échanger sur des sujets techniques et/ou humains !Nos clients sont majoritairement des PME, mais 30% d'entre eux sont des grands groupes. Nous proposons à nos consultant.e.s des missions dans toutes sortes de secteurs : finance, assurances, BTP, médias, services...Nos consultant.e.s sont fier.e.s de leur apporter leur expertise pour répondre à leurs problématiques techniques et métiers en leur proposant des solutions sur mesure.Vous seriez parfait(e) pour rejoindre nos équipes si : - Vous êtes ceinture noire en Data Engineering avec une expérience d'au moins 5 ans. - Vous êtes rodé(e) à la mise en place de pipelines de données en mode batch et/ou streaming autour des technologies Azure Data Factory, Spark, Spark Streaming, Azure Event Hub, Kafka, Azure Stream Analytics, SQL, Python, Scala. - Vous avez un peu travaillé sur des architectures lakehouse et/ou data mesh implémentées sur Azure Synapse Analytics, Databricks, Snowflake. - Vous maîtrisez les principes de modélisation Data Vault et schéma en étoile.- Quand votre grand-mère vous demande quel est votre métier, pour faire simple, vous répondez que vous êtes facilitateur(trice) de la vie des gens. Vous aimez rendre service en accompagnant les clients dans leur transformation, en leur apportant de la valeur et en les aidant à résoudre leurs problèmes grâce à votre savoir-faire technologique.Bonus :- Curieux(se) et gourmand(e), vous vous enfilez de grosses tartines d'Azure au petit déj. - Vous êtes une star du NoSQL, Machine Learning ou développement d'APIs Pourquoi choisir dcube ?Notre vision :dcube rassemble des femmes et des hommes de valeur, engagés avec leurs partenaires, pour partager une expérience humaine et technique enrichissante.Quelques avantages :- Rémunération à partir de 50k.- Télétravail hybride et flexible.- Un accompagnement tout au long de votre carrière par un référent technique et un manager dédié hyper sympas.- Une montée en compétence continue avec le financement de nombreuses formations et certifications, ainsi que la possibilité d'échanger entre experts sur vos sujets techniques de prédilection lors de nos dcube learning.- L'organisation d'événements internes qui rassemblent (Afterworks, Meetups, Webinars, etc.)- Votre pass Navigo pris en charge à 100%.- Un ordinateur portable et un package télétravail pour équiper votre bureau.- Une mutuelle réactive et généreuse (Alan) et une carte ticket restaurant (Swile).",Programmation informatique,,DCUBE,,Boulogne Billancourt,2024-01-06 21:50:08+00:00
2023-12-26 21:12:10+00:00,CDI,DATA ENGINEER - MADONNE (H/F),"Description de l'entrepriseActeur financier d'envergure internationale, Natixis Corporate & Investment Banking met à disposition des entreprises, institutions financières, sponsors financiers, souverains et supranationaux une palette de services en conseil, investment banking, financements, banque commerciale et sur les marchés de capitaux.Ses équipes d'experts, présentes dans 30 pays, conseillent les clients sur leur développement stratégique en les accompagnant dans la croissance et la transformation de leurs activités tout en maximisant leur impact positif. Natixis Corporate & Investment Banking s'est engagée à soutenir la transition environnementale en alignant son bilan financier sur une trajectoire de +1,5 °C d'ici à 2050.Natixis Corporate & Investment Banking fait partie du pôle Global Financial Services du Groupe BPCE, 5e établissement financier européen et 2e acteur bancaire en France à travers ses réseaux Banque Populaire et Caisse d'Epargne.Si vous êtes enthousiaste à l'idée de relever des défis passionnants, d'avoir un impact et de contribuer à la construction du monde de demain, rejoignez-nous et faites bien plus qu'un simple job.En tant qu'employeur responsable et engagé à construire un environnement de travail inclusif, nous offrons les mêmes opportunités aux talents de tous horizons, indépendamment de votre âge, origine, orientation sexuelle, handicap...Poste et missionsVous rejoignez l'équipe Core en charge de la maintenance évolutive des applications Madonne (Récolte, Explication et Validation du PnL) et BOP (Base transactionnelle unifiée au coeur de l'IT Risque). Au quotidien vous avez pour missions de :Participer à l'adaptation de nos applications en adéquation avec les besoins métiers (nouveaux produits, nouvelles règlementations, nouveaux SI Front) ;Participer activement à la modernisation de nos outils, modernisation de notre chaîne CI/CD, bascule des process Legacy vers notre stack technique cible (Hadoop, Spark/Scala, SingleStore) ;Monter en compétences sur le domaine fonctionnel de l'analyse et de la certification du PL. Vous développerez une compréhension globale des chaînes de traitements ;Participer à tous les travaux de modernisation de notre SI, et être donc engagé dans la migration de nombreux process vers le DataLake Risk. #Transformativefinance Ce poste est basé à Paris avec la possibilité de télétravailler.En tant que Top Employer, nous plaçons nos collaborateurs au centre de nos attentions. Des dispositifs de mobilité interne, développement de carrière et de formation vous permettent de grandir et de vous épanouir tout au long de votre parcours.Vous évoluez dans un environnement de travail hybride, inclusif et favorisant le collaboratif.Vous avez également la possibilité de vous engager en faveur de la société et de causes qui vous tiennent à cœur via notre fondation d'entreprise. A propos du processus de recrutementVous serez contacté par l'un de nos recruteurs avant de rencontrer nos experts métier (manager, membre de l'équipe ou de la filière métier).Profil et compétences requisesQui êtes-vous ? Si vous vous reconnaissez dans la description suivante vous êtes fait pour travailler avec nous :Vous souhaitez bénéficier d'une première expérience significative en développement Spark et Scala.Vous maîtrisez :- Les méthodes agiles, notamment SCRUM ;- Le langage C#, en vous permettant de comprendre et intervenir sur du code legacy ;- Le langage SQL et vous avez une appétence pour la manipulation de la data.Vous êtes :- Reconnu par votre esprit d'équipe ;- Capable de communiquer avec des publics différents, notamment avec le métier ;- Autonome et ntéressé par l'environnement finance de marché.Vous maitrisez l'anglais avec un niveau B1.Dites-nous que vous êtes intéressé en répondant à cette annonce.",Autres organisations fonctionnant par adhésion volontaire,,FEDERATION POUR L'ENTREPRENEURIAT DURABL,,Paris (Dept.),2024-01-12 16:46:16+00:00
2023-12-21 15:40:15+00:00,CDI,Data Engineer (H/F),"Qui sommes-nous ?Nous sommes passionnés par les nouvelles technologies, et vous ?Rejoindre Amiltone, c'est intégrer des équipes dynamiques et soudées dans le cadre de projets novateurs et ambitieux. Nous relevons les challenges techniques de nos clients et les accompagnons dans leur transformation digitale.Pourquoi choisir Amiltone ?Amiltone, plus qu'une entreprise, un état d'esprit !Notre objectif ? Votre épanouissement professionnel !Nous avons à cœur de :- Vous accompagner au mieux au travers d'un suivi personnalisé ;- Vous faire monter en compétences en vous proposant des formations tout au long de votre carrière ;- Comprendre vos besoins et respecter nos engagements ;- Vous proposer des missions de qualité avec des technologies innovantes ;- Cultiver votre potentiel grâce à notre programme de développement personnel Addvise.Votre bien-être passe aussi par des activités extraprofessionnelles, c'est pourquoi nous vous proposons des séances sportives animées par nos coachs, soirées pour se retrouver et animations (à l'agence ou en visio), Gaming nights Les missions d'un Amiltonien :En tant que Data Engineer (H/F), vous serez en charge des missions suivantes :- En lien avec l'équipe DevOps, construire, maintenir et faire évoluer la plateforme de données;- Définir et piloter la cohérence de la collecte, la gestion et l'alimentation des données internes et externes, en différents modes : batch, streaming, API (architecture micro-services);- Préparer et mettre en qualité les données pour les rendre disponibles dans les différents environnement de travail (datalake, datawarehouse, datamart);- Vérifier la qualité des données, de leur bonne et régulière exécution ainsi que de leur utilisation adéquate (gestion des coûts);- Travailler en étroite collaboration avec les data analysts, scientists et data stewards et business de l'entreprise ;- En lien avec l'IT et la sécurité, veiller aux règles d'intégrité et de sécurité des données;- Veille technologique.La stack technique :- Nifi pour Injestion- Spark/Java pour le traitement/nettoyage- Hadoop pour le stockageLe profil d'un Amiltonien :- Diplômé Bac+4/5 (Ecole d'ingénieur/Master), vous disposez de 2 années d'expérience dans le développement de data.- Toujours sur le qui-vive des nouveautés technologiques, vous êtes force de proposition sur des technos, des outils ou des process qui permettent  d'améliorer la qualité du code et la stabilité de nos applications.Outre vos compétences techniques, nous nous intéressons également à votre potentiel et votre motivation.Nos postes sont ouverts aux personnes en situation de handicap.",Programmation informatique,,AMILTONE,,Lille,2024-01-15 13:31:29+00:00
2023-12-18 10:03:09+00:00,CDI,DATA ENGINEER - BUSINESS INTELLIGENCE (H/F),"Chez K-LAGAN & Kereon, nous parions sur vous ! Vous êtes à la recherche d'un projet stable et durable ? Vous cherchez à vous épanouir professionnellement jour après jour ? N'hésitez pas à rejoindre notre équipe ! Vous êtes intéressé ?Alors, je vous laisse l'opportunité d'en lire plus...Nous sommes à la recherche d'un(e) ingénieur(e) / analyste de données hautement qualifié(e) et motivé(e) pour rejoindre notre équipe de données financières : Data Engineer BI.Contexte : Vous jouerez un rôle essentiel dans la conception, le développement et la maintenance des solutions de données qui soutiennent les opérations financières et processus de prise de décision chez notre client, acteur majeur du marché de l'assurance (en France et à l'international).Responsabilités :Concevoir, développer et maintenir des pipelines de données et des processus ETL pour ingérer, transformer et charger des données provenant de diverses sources financières dans notre plateforme de données.Vous dirigez la mise en place de l'organisation et de la gestion de l'ensemble des activités de l'entreprise, de la mise en place de l'organisation et de la gestion de l'ensemble des activités de la société. Développer et optimiser des requêtes SQL, des scripts PySpark, des calculs DAX et des transformations Power Query M pour extraire et manipuler des données.Vous avez l'habitude de travailler dans un environnement sandbox sur Power BI Services (l'utilisation de Dax et Query M est obligatoire).Utiliser efficacement les services et outils Azure pour construire des solutions de données évolutives et performantes.Vous travaillez en étroite collaboration avec l'équipe de gestion des données pour soutenir la gouvernance des données et garantir le respect des normes et des meilleures pratiques en matière de données.Vous superviserez l'élaboration et de la mise en œuvre d'un plan d'action pour l'amélioration de la qualité de l'eau et de l'assainissement.Livrables demandés :Contribuer à la livraison et au succès d'un portefeuille de projets, y compris des tâches backend telles que l'extraction de données, l'ingestion, la préparation de tables et la transformation de données, ainsi que des tâches front-end telles que les aspects de visualisation sur Power BI.Documentation claire et complète des processus d'ingénierie des donnéesEnvironnement technique : Shine, Azure Devops, Azure et Power BI.Expérience souhaitée :Baccalauréat en informatique, en systèmes d'information ou dans un domaine connexe.Expérience confirmée en tant que Data Engineer ou Data Analyst, de préférence dans le domaine de la finance ou de l'assurance. 3 ans d'expérience (hors stage-alternance).","Ingénierie, études techniques",,SAS K-LAGAN FRANCE,,Paris,2024-01-15 01:57:23+00:00
