date_publication,contrat,intitule,description,secteur_activite,niveau_etudes,entreprise,description_entreprise,ville,date_modif
2024-01-12 13:34:01+00:00,CDI,Data Scientist en Recherche Appliquée - Confirmé (H/F),"Au sein de notre service de recherche appliquée, vous intégrez une équipe en charge du développement de l'intelligence artificielle dans nos systèmes dédiés à la mesure, l'analyse et le pilotage d'équipements et d'installations électriques.Dans ce cadre, vos missions consistent à :-	Comprendre précisément les problématiques métier et les traduire de manière analytique ;-	Identifier, collecter, préparer les données et réaliser une première analyse statistique ;-	Développer des algorithmes permettant de répondre aux problèmes posés et veiller à leur industrialisation ;-	Communiquer vos résultats et vos solutions en les confrontant avec les équipes Métier ;-	Accompagner les équipes pour permettre leur montée en compétences.Votre profil	Titulaire d'un diplôme d'ingénieur en science des données / intelligence artificielle ou en génie électrique / électronique avec une expérience significative en science des données sur des projets.Vous disposez de connaissances en systèmes embarqués (C / C++) et êtes rompus à la gestion de projets. Votre ouverture d'esprit alliée à votre force de proposition et votre capacité à synthétiser en vulgarisant les sujets vous permettent d'optimiser vos échanges avec les métiers.Au regard de la dimension internationale du Groupe mais également des sujets développés, la maitrise de l'anglais (niveau B2 minimum) est impérative.Vous avez envie de relever ce défi ? Alors rejoignez-nous et venez, vous aussi, contribuer au développement de Socomec, à la qualité de nos produits et services, notre performance et notre notoriété.Référence : H-SSA-GTD-2023-2151",Fabrication de matériel de distribution et de commande électrique,,SOCOMEC,,Benfeld,2024-01-12 13:34:05+00:00
2024-01-10 12:20:42+00:00,CDD,Ingénieur data scientist spécialité industrie et logistique H/F (H/F),"PRESENTATION DE L'ENTREPRISE :Mgib un cabinet spécialisé dans la maximisation des espaces de stockages dans les bâtiments industriels et logistiques. Nous optimisons le remplissage des marchandises dans les bâtiments en analysant les marchandises, leur volumétrie, leur rotation et déterminons les engins de manutention ainsi que le meilleur choix de l'aménagement. Notre démarche d'amélioration continue intègre des outils numériques tels que la réalité augmentée et la digitalisation des processus logistiques. Notre engagement repose sur la recherche et l'innovation, associant la gestion des flux physiques aux données informatiques via des systèmes ERP. Le poste à pouvoir se situe à Épinal et Nancy centre, dans les Vosges (88) et dans la Meurthe-et-Moselle (54).MISSION PRINCIPALE :Formuler des connaissances en utilisant une approche ontologique et des graphes de connaissances dans le domaine de la logistique interne et de la gestion de l'organisation logistique 4D, en se concentrant sur des outils d'acquisition de données spatiales et informatiques ainsi que sur des jumeaux numériques permettant de traiter ces données. L'objectif principal est de concevoir des algorithmes pour : l'identification visuelle assistée par ordinateur, déterminer les taux de remplissage et traduire dans un environnement réel l'aménagement optimal à travers un environnement virtuel. DESCRIPTION DU POSTE : - Une revue de la littérature sur les ontologies et les graphes de connaissances, avec une focalisation sur le domaine de la logistique interne.- Identifier et définir une approche d'ingénierie ontologique pour la modélisation des connaissances statiques dans le cadre du jumeau numérique prédictif.- Automatiser l'adaptation des connaissances déjà formalisées par l'entreprise et créer une base de connaissances.- Utiliser le formalisme des graphes de connaissance pour optimiser les performances des inférences logiques.- Transformer la représentation des connaissances de l'ontologie à la représentation graphique.- Utilisation d'algorithmes de classification (IA, FCA) pour extraire des connaissances des données collectées.- Elaboration d'un algorithme dans le cadre du « computer vision » afin de traiter les données du scan 3D, permettant une détection et une interprétation automatique précise des zones de stockage.- Qualifier, analyser et visualiser les données logistiques statiques et dynamiques pour évaluer leur pertinence par rapport au projet.- Concevoir un algorithme novateur sur le taux de remplissage, exploitant les capacités de la ""computer vision"" pour définir des règles de classification améliorée.- Comprendre les données ERP en vue de les intégrer dans nos outils.- Définir des règles de structuration des données ERP afin d'automatiser l'intégration de ces données dans nos outilsCOMPETENCES SOUHAITEES : -	Familiarité avec les algorithmes d'extraction de données.-	Compréhension des jumeaux numériques et des simulations des opérations de dimensionnements statiques et des flux logistiques.-	Compétence dans les langages de programmation tels que Python, C++, Java.-	Connaissance des langages de formalisation de la connaissance tels qu'OWL, RDF, RFDS.-	Connaissance des statistiques descriptives et inférentielles-	Maîtrise des logiciels statistiquesCONTEXTE DE TRAVAIL :Au sein du département ISET du laboratoire CRAN, le/la chercheur/chercheuse sera amené(e) à travailler dans une équipe multidisciplinaire dont l'objectif est la création de méthodes pour la formalisation de la connaissance dans le cadre industriel. Les outils mathématiques de travail seront extraits du domaine de l'intelligence artificielle et de la géométrie abstraite.EMPLOI :-	Type de contrat : CDD temps plein de 12 mois -	Date d'embauche prévue : 04/03/24-       Grande mobilité nationale-       Niveau d'étude : master/doctorat/ingénieur",Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les services,Bac +5,MG INDUSTRIAL BUSINESS,Notre mission est d'analyser les différents espaces de travail et de stockage afin d'agencer les mètres carrés des entreprises. Notre but ultime est d'aider à améliorer les performances des sociétés au-delà de leurs ambitions.,Epinal,2024-01-15 11:02:00+00:00
2024-01-09 13:09:25+00:00,CDD,Data scientist H/F (H/F),"Vous serez rattaché(e) au service Recherche et Développement de l'entreprise et serez supervisé(e) par notre Data Scientiste. Vous contribuerez dans le déploiement et développement de projets internes et vous aurez l'opportunité de travailler en équipe sur un projet bientôt breveté.VOS MISSIONS :- Collecter les normes et exigences lié à la cyber sécurité (NIST, ISO27001 )- Développer et automatiser la récupération de données en ligne- Structurer et nettoyer les données collectées- Implémenter et tester des algorithmes (modules) en se basant sur des méthodes Machine Learning et Deep- Learning (Python, Py Spark)- Analyser et interpréter les résultats- Améliorer la pertinence des résultats- Tester, contrôler la qualité et la cohérence des résultats- Faire des recherches bibliographiques en fonction des nouveaux concepts en IA- Documentation des modules développés- Anticiper la faisabilité technique, ainsi que la charge et délais nécessaires à la réalisation de chaque étape- Réalisation de présentation- Veille technologique (IA et Cyber Sécurité)PROFIL :- Vous préparez une Licence, un Bachelor ou un Master spécialisé en data et recherchez un contrat d'alternance (contrat d'apprentissage) d'1 an ou 2 ans.COMPÉTENCES TECHNIQUES : - Nous attendons du Data Scientist qu'il/elle soit fort(e) de proposition, qu'il/elle est une bonne capacité et qualité rédactionnelle.- Maîtrise des systèmes de gestion base de données SQL, NoSQL, et HDF ainsi que les langages de programmation pour modélisations Spark, Python, et R. - Vous savez réaliser des supports de data visualisation pour faciliter les prises de décisions.- La compréhension de l'anglais est importante. - Une maîtrise du Pack Office est un plus.COMPÉTENCES RELATIONNELLES :- Doté(e) d'un bon relationnel, vous êtes reconnu(e) pour votre autonomie, votre rigueur, votre organisation, vos qualités de communication ainsi que votre capacité à appréhender les besoins métiers.- Vos capacités d'analyse sont un point fort chez vous et vous savez recueillir et utiliser les informations pertinentes.CONTRAT ET JOURS/HORAIRES :- Contrat d'alternance de 1 an ou 2 ans : Lundi au Vendredi avec une période de travail de 7 heures (horaires flexibles)- Rémunération : fixe + variable : Jusqu'à 20 966,40€ par an + prime - Lieu : Île-De-France Travail en journée TélétravailAVANTAGES :- Participation aux transports- Titres-restaurantsDate de début prévue : Dès que possible","Activités spécialisées, scientifiques et techniques diverses",,HIVE'INK DS,,Carrieres Sur Seine,2024-01-15 13:55:43+00:00
2024-01-08 18:39:19+00:00,CDI,Senior Data Scientist (H/F),"Nous agrandissons notre équipe d'Aix-en-Provence et recherchons un Data Scientist senior pour développer des techniques d'extraction et de distillation de connaissances pour notre graphe de connaissances d'investissement à l'échelle du milliard.d'extraction et de distillation des connaissances pour notre graphe de connaissances sur les investissements à l'échelle d'un milliard de personnes. Rejoignez notre équipede 7 data scientists et travaillez sur des projets de pointe en utilisant une pile de données moderne construite autour de Databricks et Azure.Databricks et Azure. C'est l'occasion idéale de grandir et de contribuer à des projets significatifs dans unedans une startup multiculturelle qui valorise les approches centrées sur l'humain.En tant que data scientist avec un doctorat et une expertise en Large Language Models (LLMs), vous mènerez une initiative de distillation d'informations en tirant parti de nos connaissances graphiques.distillation de l'information en tirant parti de notre graphe de connaissances pour fournir aux investisseurs guidés par les données des réponses et des informations en langage naturel.des réponses et des informations en langage naturel. Cela inclut l'IA générative avec des LLM spécialisés et des LLM basés sur des faits, ainsi que des modèles sémantiques et neuronaux.ainsi que la recherche sémantique et neuronale sur le graphe de connaissances.Les principales responsabilités sont, entre autres, les suivantes  Diriger le projet de distillation d'informations basé sur les LLM  Participer aux phases d'exploration, de prototypage et d'industrialisation des composants de la science des données.  Participer à des ateliers scientifiques pour définir les composants ML d'ALPHA10X  Collaborer étroitement avec l'équipe technique pour mettre en œuvre les modèles de ML  Partager les analyses et les résultats dans le cadre de projets transversaux.Qualifications :  Doctorat en science des données appliquée, en intelligence artificielle ou dans un domaine connexe.Connaissances et compétences :Obligatoires  Très bonne maitrise de l'anglais  Expérience avec l'IA générative, y compris les grands modèles de langage.  Maîtrise d'au moins un cadre d'apprentissage profond (PyTorch, Tensorflow/Keras)  Familiarité avec les outils de ML (Numpy, Pandas, Scikit-Learn)  Forte expérience en NLP  Connaissance de la recherche sémantique  Solides connaissances en mathématiques, probabilités, statistiques et algorithmes  Compétences en codage Python  Capacités d'analyse et de résolution de problèmes  Maîtrise de l'anglais et bonnes capacités de communicationBon à avoir  Expérience Spark/PySpark (idéalement avec Databricks)  Compréhension du Big Data, en particulier de la formation et du calcul distribués  Expérience avec un framework d'agents d'intelligence artificielle (LangChain, HF transformer agents, LlamaIndex, ...)  Expérience avec une base de données vectorielle (Milvus, ChromaDB, QDrant, Pinecone, ...)  Expérience du déploiement/service de modèles ML en production  Expérience des plateformes cloud (Azure, AWS, Google Cloud, etc.).",Programmation informatique,Bac +5,ALPHA10X,,Aix En Provence,2024-01-14 02:48:22+00:00
2024-01-06 16:32:19+00:00,CDI,Data scientist (H/F),"Description du poste :Nous recherchons un Data Scientist confirmé pour rejoindre notre équipe dynamique. Le candidat idéal doit posséder une formation solide en statistique et modélisation, avec une approche analytique critique. Il doit démontrer une maîtrise avancée de PySpark et Python, ainsi qu'une expertise dans la gestion de volumes importants de données. Le candidat doit être autonome, indépendant et force de proposition.Responsabilités :Utiliser son expertise en statistique et modélisation pour résoudre des problèmes complexes.Travailler avec des outils tels que Dataiku et PySpark pour développer des solutions analytiques.Gérer efficacement des volumes importants de données.Être autonome dans la conception et l'implémentation de solutions analytiques.Proposer des améliorations continues dans les processus analytiques.Exigences :Formation solide en statistique et modélisation.Expérience confirmée en tant que Data Scientist.Maîtrise avancée de PySpark et Python.Capacité à gérer des volumes importants de données.Approche analytique critique.Autonomie et force de proposition.Atouts supplémentaires :Expérience préalable en tant que Data Engineer.Compétences en création de webapps.Environnements Techniques :-Dataiku-PySpark-QliksenseSi vous êtes passionné par le domaine de la Data Science, possédez les compétences requises, et souhaitez contribuer à des projets stimulants, nous vous encourageons à postuler.Trois postes à pourvoir.",Conseil pour les affaires et autres conseils de gestion,Bac +5,XPERT CONSULTING,,Paris,2024-01-15 12:42:10+00:00
2024-01-06 16:24:50+00:00,CDI,Data scientist (H/F),"Nous sommes à la recherche d'un Data Scientist / Data Engineer talentueux pour rejoindre notre équipe à Paris. Le candidat idéal doit :-Être un expert en Data Analysis, Data Science et Intelligence Artificielle. -Avoir une expérience significative en tant que Data Engineer, collaborant sur des projets IA innovants.Responsabilités :Travailler avec une équipe IA pour développer des modèles de reconnaissance d'émotions.Mettre en place des pipelines ETL Déployer des modèles avec des pratiques MLOps.Construire des tableaux de bord interactifs avec Looker.Collecter et explorer des données avec Python, Py Spark , Big Query, Optimiser les systèmes de recommandation en utilisant des modèles NLP.Exigences :Master 2 en Ingénierie en Intelligence Artificielle.Compétences avancées en Data Engineering et Data Science.Expérience pratique avec Python, Big Query, ELK, Looker, Certifications pertinentes telles que Google Cloud Certified, IBM Data Engineering,Compétences en bases de données : BigTable, Big Query, Maîtrise des outils de visualisation de données : Tableau, PowerBIExpérience en gestion de projet avec méthodologies Agiles (Jira), Connaissance en programmation web avec NodeJS,Trois postes à pourvoir.",Conseil pour les affaires et autres conseils de gestion,,XPERT CONSULTING,,Paris,2024-01-15 12:12:32+00:00
2024-01-05 11:21:36+00:00,CDI,Data Architect / Data Engineer / Data Scientist - Avignon (H/F),"PRESENTATION D'ELIPCE :Experte en développement logiciel & data et interprétation métier, Elipce se positionne sur 3 axes : efficacité opérationnelle, business intelligence et centre de services logiciels.Pour accompagner nos clients, nous créons des solutions digitales adaptées, qui correspondent à leur fonctionnement et à la réalité de leur entreprise. Nous proposons également des solutions d'externalisation permettant d'assurer la maintenance, l'évolution ou le développement d'applications logicielles pour le compte de nos clients, via la mise à disposition de pool de compétences au sein des équipes client et sur nos plateaux techniques.Nous nous engageons à fournir des solutions de qualité, à promouvoir l'innovation et à cultiver une véritable cohésion au sein de notre équipe.DESCRIPTION DU POSTE : Au sein d'une équipe, vous assurez le cycle de vie des applications développées avec de grands challenges techniques et organisationnels pour accompagner nos clients dans la transformation de leurs SI. MISSIONS PRINCIPALES : Modéliser, traiter et transformer des données complexesConcevoir une solution de stockage de données (modèle en étoile)Développer des connecteurs ou passerelles de données à l'aide des outils ETL (Talend)Lire, comprendre et rédiger des documents techniques en lien avec le poste de Data Architect / Data Engineer : dictionnaire de données, modélisation Merise, UML, matrice de busRester à jour et en veille sur les différentes technologies et méthodes liées au poste de Data Architect / Data Engineer par le biais de l'auto formation ou la formation professionnelleDes compétences en machine learning / IA au sens large sont appréciéesPROFIL RECHERCHÉ : Vous êtes Data Architect et / ou Data Engineer et / ou Data Scientist confirmé ou aguerri ? Vous souhaitez intégrer une équipe jeune, dynamique et relever de nouveaux challenges ? Vous avez besoin de transversalité, d'autonomie et ne pas être cantonné à une seule tâche ? Vous êtes curieux et souhaitez explorer des données en provenance de différents secteurs (industrie, finance, transport, service  ) ?Le poste est fait pour vous !Vous êtes ou avez été analyste programmeur ? Vous êtes curieux de savoir la différence entre une base de données et un entrepôt de données ? Vous avez envie d'aller plus loin que le simple stockage et vous souhaitez apprendre à valoriser les données ? Ce poste vous permettra de vous épanouir par la formation aux technologies et techniques en business intelligence. N'hésitez pas à postuler !QUALITÉS REQUISES : Couteau SuisseOrganisé, réactif et rigoureuxGoût du travail en équipeEtre créatif, avoir le sens de l'innovationAvoir un état d'esprit analytique et de synthèseForce de propositionBONUS :Mutuelle Prise en charge à 100%Accord d'intéressementVélo électrique de fonction (à la demande)Séance de sport en entrepriseVous recherchez un cadre de vie qui allie le bien-être, la nature et la modernité. La Drôme, 1er département bio de France, offre cette vie agréable et propice à la détente sous un climat favorable : ensoleillement majeur, montagne, vigne, lavande, etc.  ! Vous êtes à 2 H de la mer et des stations alpines",Programmation informatique,,ELIPCE INFORMATIQUE,,Avignon,2024-01-15 12:09:44+00:00
2024-01-05 11:17:43+00:00,CDI,Data Architect / Data Engineer / Data Scientist - Valence (H/F),"PRESENTATION D'ELIPCE :Experte en développement logiciel & data et interprétation métier, Elipce se positionne sur 3 axes : efficacité opérationnelle, business intelligence et centre de services logiciels.Pour accompagner nos clients, nous créons des solutions digitales adaptées, qui correspondent à leur fonctionnement et à la réalité de leur entreprise. Nous proposons également des solutions d'externalisation permettant d'assurer la maintenance, l'évolution ou le développement d'applications logicielles pour le compte de nos clients, via la mise à disposition de pool de compétences au sein des équipes client et sur nos plateaux techniques.Nous nous engageons à fournir des solutions de qualité, à promouvoir l'innovation et à cultiver une véritable cohésion au sein de notre équipe.DESCRIPTION DU POSTE : Au sein d'une équipe, vous assurez le cycle de vie des applications développées avec de grands challenges techniques et organisationnels pour accompagner nos clients dans la transformation de leurs SI.MISSIONS PRINCIPALES : Modéliser, traiter et transformer des données complexesConcevoir une solution de stockage de données (modèle en étoile)Développer des connecteurs ou passerelles de données à l'aide des outils ETL (Talend)Lire, comprendre et rédiger des documents techniques en lien avec le poste de Data Architect / Data Engineer : dictionnaire de données, modélisation Merise, UML, matrice de busRester à jour et en veille sur les différentes technologies et méthodes liées au poste de Data Architect / Data Engineer par le biais de l'auto formation ou la formation professionnelleDes compétences en machine learning / IA au sens large sont appréciéesPROFIL RECHERCHÉ : Vous êtes Data Architect et / ou Data Engineer et / ou Data Scientist confirmé ou aguerri ? Vous souhaitez intégrer une équipe jeune, dynamique et relever de nouveaux challenges ? Vous avez besoin de transversalité, d'autonomie et ne pas être cantonné à une seule tâche ? Vous êtes curieux et souhaitez explorer des données en provenance de différents secteurs (industrie, finance, transport, service  ) ?Le poste est fait pour vous !Vous êtes ou avez été analyste programmeur ? Vous êtes curieux de savoir la différence entre une base de données et un entrepôt de données ? Vous avez envie d'aller plus loin que le simple stockage et vous souhaitez apprendre à valoriser les données ? Ce poste vous permettra de vous épanouir par la formation aux technologies et techniques en business intelligence. N'hésitez pas à postuler !QUALITÉS REQUISES : Couteau SuisseOrganisé, réactif et rigoureuxGoût du travail en équipeEtre créatif, avoir le sens de l'innovationAvoir un état d'esprit analytique et de synthèseForce de propositionBONUS :Mutuelle Prise en charge à 100%Accord d'intéressementVélo électrique de fonction (à la demande)Séance de sport en entrepriseVous recherchez un cadre de vie qui allie le bien-être, la nature et la modernité. La Drôme, 1er département bio de France, offre cette vie agréable et propice à la détente sous un climat favorable : ensoleillement majeur, montagne, vigne, lavande, etc. Vous êtes à 2 H de la mer et des stations alpines",Programmation informatique,,ELIPCE INFORMATIQUE,,Valence,2024-01-13 18:13:47+00:00
2024-01-05 09:06:27+00:00,CDI,Data scientist (H/F),"Au sein de nos équipes de data science, nous recherchons notre futur data scientist pour nous accompagner dans différents projets mettant en oeuvre les techniques fondamentales de statistiques prédictives (Machine Learning).Vous aurez de nombreuses missions telles que : - Analyse et synthèses des attentes fonctionnelles et techniques - Analyse du patrimoine de données - Définition d'une modélisation statistique qui permette de répondre aux attentes- Sourcer et rassembler l'ensemble des sources de données structurées ou non structurées nécessaires à l'analyse- Etude et comparaison des méthodes statistiques (ACP, régression logistique, random forest)- Mise en oeuvre et exploitation des méthodes et modèles (R, SAS, Python, SPSS)- Recherche d'optimisation des performances des algorithmes - Analyse et synthèse des informations et des résultats- Veille technologique autour du Big Data, machine learning et de la statistique décisionnelle- Participer à la qualification de la solution--Vous êtes diplômé(e) d'une école d'ingénieur ou universitaireLa pratique quotidienne de l'anglais ne vous fait pas peur. Alors venez vivre l'expérience au sein d'une société dynamique et innovante !","Ingénierie, études techniques",,CLEEVEN SE,"Cleeven, Cabinet de conseil en technologie s'est construit autour de deux fortes convictions :
L excellence des Ingénieurs européens doit assurer la compétitivité mondiale
Notre mission humaine ; l'accompagnement de nos collaborateurs dans leur développement personnel.
Ces convictions se déclinent en implications concrètes dans le quotidien de chacun.",Biot,2024-01-15 00:51:33+00:00
2024-01-04 10:41:58+00:00,CDD,Data scientist / Alternance (H/F),"Au sein du Laboratoire Vekia, tu participes au développement des algorithmes numériques au cœur des motorisations Vekia, s'appuyant sur le Machine Learning, la Recherche Opérationnelle et l'Apprentissage par Renforcement.Tu participeras à l'ensemble du processus de conception et développement : de l'apport de nouvelles idées et de la veille scientifique, à l'implémentation industrielle, en passant par le prototypage et les simulations numériques.En synthèse, les principales missions du poste sont :-	Participation à la vie et à l'animation de l'équipe (séminaires, reading groups, brainstormings...)-	Développement de pipelines de Machine Learning liées aux problématiques clients-	Prototypage de nouveaux algorithmes et simulations de performances-	Implémentation industrielle des algorithmes au sein des toolkits Vekia-	Veille scientifiqueQuelles sont les principales technologies utilisées au sein du Lab ?-	Python et son écosystème (Numpy/Scipy/Pandas/Tensorflow...)-	Scala-	Spark-	SQL-	GitTon profil :-	Tu es actuellement en Master II d'une formation ingénieur, avec une orientation forte sur les sujets Machine Learning et data sciences-	Tu es force de proposition-	Tu as bon niveau en anglais -	Idéalement tu as une appétence et / ou expérience dans le secteur de la supplychainBref, si en plus tu as envie de travailler chez un éditeur logiciel, que tu aimes l'aventure startup, l'utilisation pointue de la datascience et du Machine Learning et enfin que le monde de la supplychain t'intéresse, tu es fait pour travailler avec nous !Les + VEKIA : -	Un parcours d'intégration pour découvrir VEKIA-	Environnement convivial-	Happy Team (évènements internes conviviaux et interactifs)-	Télétravail / mode hybrideNous rejoindre, c'est aussi s'épanouir en étant acteur de notre développement et en partageant des valeurs communes :-	Team player, tu aimes le travail en équipe et fais preuve de solidarité et d'ouverture aux autres.-	Ambitieux pour tes projets et ton entreprise, tu as un esprit aventurier et aimes relever des défis en faisant preuve d'engagement et de ténacité dans tes actes.-	Fun & serious, tu aimes t'investir tout en privilégiant la convivialité et le plaisir.-	Humble et honnête, tu connais tes qualités et tes défauts et recherches continuellement à progresser.Le type de contrat Apprentissage ou de Professionnalisation sera déterminé selon l'Ecole partenaire et le salaire brut sera fixé par des grilles conventionnelles selon la situation du candidat;",Édition de logiciels applicatifs,Bac +5,VEKIA SAS,,Lille,2024-01-15 11:34:29+00:00
